,name,price,colour,description,about_me,brand,category
0,& Other Stories velvet jacquard ruched mini skirt in black,101.9,Black,Coming soon to your Saved Items Stretch waistband Ruched design Ruffled hem Bodycon fit A tight cut to the body,"           Velvet jacquard Drapey fabric with an intricate, interwoven pattern  Main: 95% Polyester, 5% Elastane.",& Other Stories,skirts
1,ASOS DESIGN neon boucle suit skirt,55.58,Check,For your daytime thing Check design High-rise waist    Zip-side fastening Slim fit Cut close to the body,"           Textured boucléLooped fabric with a woolly finish Body: 68% Acrylic, 25% Polyester, 7% Viscose, Lining: 100% Polyester.",ASOS DESIGN,skirts
2,Liquorish pleated midaxi skirt in pink neon colour block,101.9,Pink,For that thing you have to go to Pleated design High rise Stretch waistband    Midi length Regular fit Just select your usual size,           Smooth woven fabric It's light and floaty  Fabric: 100% Polyester.,Liquorish,skirts
3,Vila faux leather skirt,55.58,Black,Add-to-bag potential: considerable    High-rise waist Kick split    Zip-back fastening    Regular fit Just select your usual size,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Body: 100% Polyester.",Vila,skirts
4,People Tree velvet mini skirt,120.43,Black,Easily dressed up or down High-rise waist Button detail Regular fit Just select your usual size,           Soft velvet One smooth operator Body: 100% Cotton.,People Tree,skirts
5,ASOS DESIGN kilt mini suit skirt in green check,46.32,Green check,Part of a co-ord set Top sold separately Check pattern High-rise waist    Pleated design    Regular fit True to size,"           Lightweight woven fabric The kind that doesn't stretch  Body: 67% Polyester, 33% Viscose.",ASOS DESIGN,skirts
6,AllSaints lena oba snake print zip front mini skirt,181.56,Black white snake,For your daytime thing Snake-effect finish High rise Zip front Regular fit Just select your usual size,"           Faux leather Let's be honest, no one can tell the difference  Lining: 97% Polyester, 3% Elastane, Main: 100% Polyurethane.",AllSaints,skirts
7,ASOS DESIGN co-ord rib knit midi skirt,40.76,Camel,Part of a co-ord set Bralet sold separately High rise Stretch waistband Slim fit Cut close to the body,           Ribbed knit For a textural switch-up  Body: 100% Acrylic.,ASOS DESIGN,skirts
8,Lipsy bandage midi skirt co ord in camel,83.37,Camel,Part of a co-ord set Top sold separately     High-rise waist    Panelled design     Zip-back fastening    Kick split    Slim fit Cut close to the body,"           Bandage-style fabric The kind that stretches   Fabric: 97% Polyester, 3% Elastane.",Lipsy,skirts
9,The Ragged Priest satin midi skirt with side zip detail,74.11,Pink,It's already got your attention    High-rise waist Zipped sides High splits Regular fit Just select your usual size,"           Satin-style fabric Silky and super smooth Fabric: 96% Polyester, 4% Elastane.",The Ragged Priest,skirts
10,ASOS DESIGN ruched side bias midi skirt in ditsy floral,59.29,Floral print,Easily dressed up or down High rise All-over print Ruched side    Midi cut     Regular fit Just select your usual size,           Lightweight viscose Soft and drapey Main: 100% Viscose.,ASOS DESIGN,skirts
11,Collective The Label tailored a line skirt in pink sateen,61.14,Pale pink,Add-to-bag potential: considerable    High waist    Zip-side fastening    Notched hem Bodycon fit A tight cut to the body,"           Silky sateen Smooth with a slight sheen Kinda like satin, but its own thing Fabric: 100% Polyester, Lining: 100% Polyester.",Collective The Label,skirts
12,New Look Maternity side button ruffle midi skirt in red floral pattern,42.59,Red,For your daytime thing    Floral print    Button placket Ruffle hem Regular fit Designed to fit through all stages of pregnancy,           Lightweight viscose Soft and drapey Main: 100% Viscose.,New Look Maternity,skirts
13,4th + Reckless wrap mini skirt with hook and eye detail in black,64.84,Black,Worth making plans for Mid-rise waist Wrap front Hook-and-eye detail Slim fit Cut close to the body,"           Smooth woven fabric The kind that doesn't stretch  Lining: 100% Polyester, Main: 100% Polyester.",4th & Reckless,skirts
14,Signature 8 double waist mini skirt,66.7,Dark denim,An alternative to your jeans Dark-blue wash High rise Contrast waistband Concealed fly Functional pockets Regular fit Just select your usual size,"           Stretch denim For a tight cut without the restriction Body: 97% Cotton, 3% Spandex.",Signature 8,skirts
15,ASOS DESIGN bias cut jersey midi slip skirt with split,29.64,Orange,Surprise your monochrome palette with this High rise Elasticated waistband Side leg split Bodycon fit A tight cut to the body,"           Stretch jersey A soft, versatile fabric  Main: 97% Viscose, 3% Elastane.",ASOS DESIGN,skirts
16,Mango knitted mini skirt co ord in brown,55.56,Brown,Part of a co-ord set Top sold separately High rise Slit to hem Regular fit Just select your usual size,"           Lightweight knit For blended comfort  Main: 54% Viscose, 26% Polyester, 20% Polyamide.",Mango,skirts
17,ASOS DESIGN denim pelmet skirt in washed black,46.32,Black,Part of our responsible edit High-rise waistband    Belt loops Concealed fly    Five pockets    Raw-cut hem Regular fit Just select your usual size,           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,skirts
18,NA-KD overlapped faux leather midi skirt,83.37,Black,No need for a dress to impress Wrap style High-rise waist    Belted waist Slim fit Cut close to the body,"           Faux leather Let's be honest, no one can tell the difference Lining: 100% Polyester, Main: 100% Polyurethane, Inner: 100% Polyester.",NA-KD,skirts
19,Hope & Ivy contrast print ruffle midi skirt in red floral,120.43,Red floral,Worth making plans for High rise All-over floral print Ruffle hem Zip-back fastening Regular fit Just select your usual size,"           Smooth woven fabric It's light and floaty  Lining: 100% Polyester, Shell: 100% Polyester.",Hope and Ivy,skirts
20,New Look buckle mini skirt in rust,37.04,Rust,Add it to your everyday line-up High rise Concealed fly with hook and bar fastening Belted waist Buckle detail Side pockets Regular fit Just select your usual size,"           Lightly textured woven fabric It's got a little give Main: 63% Polyester, 32% Viscose, 5% Elastane.",New Look,skirts
21,ASOS DESIGN mini skirt with ruched detail in spot,33.35,Mono spot,Part of our responsible edit All-over polka-dot print High rise Ruffle trim Regular fit Just select your usual size,"           Lightweight, soft Lenzing™ Eco Vero™ comes from renewable sources It's made from wood pulp from responsibly managed forests Showing a fully transparent supply chain The process saves water and reduces greenhouse gas emissions by 50%  Main: 94% Viscose, 6% Elastane.",ASOS DESIGN,skirts
22,ASOS DESIGN Petite plisse column maxi skirt,33.35,Black,Easily dressed up or down    High-rise waistband Elasticated waist    Straight cut     Regular fit Just select your usual size,           Lightweight plisse Finely pleated fabric Main: 100% Polyester.,ASOS DESIGN,skirts
23,ASOS DESIGN Maternity maxi skirt with button front and split detail,29.64,Green,Add it to your everyday line-up High rise Elasticated waistband Button detail Split to front Regular fit Just select your usual size    Designed to fit through all stages of pregnancy,"           Stretch jersey A super-soft, versatile fabric  Main: 96% Viscose, 4% Elastane.",ASOS DESIGN,skirts
24,New Look tube mini skirt in check,18.51,Black pattern,For your daytime thing Check design High rise Bodycon fit A tight cut to the body,"           Lightweight woven fabric The kind that stretches  Main: 63% Polyester, 32% Viscose, 5% Elastane.",New Look,skirts
