,title,brand,price,description,colour,category
0,Pimkie acid mom jean in blue,Pimkie,39.56,     It's all in the jeans   High rise    Belt loops    Concealed fly       Five pockets      Straight cut      Relaxed fit  Think baggy and casual ,Blue,jeans
1,Reclaimed Vintage The '90 skinny jeans in washed black,Reclaimed Vintage,53.97,     You can always depend on denim  Zip fly  Functional pockets  Skinny fit   A tight cut for a sleek shape  Exclusive to ASOS ,Washed black,jeans
2,COLLUSION x005 straight leg jeans in vintage wash,COLLUSION,35.98,     They're long-term relationship material      Light wash  High rise      Concealed fly with button closure      Functioning pockets  Regular fit  Just select your usual size ,Blue,jeans
3,Missguided riot mom jeans in black,Missguided,44.98,      They're long-term relationship material    High rise   Concealed fly       Functional pockets       Cropped length  Regular fit  Just select your usual size ,Black,jeans
4,ASOS DESIGN Lisbon mid rise skinny jeans in clean black in ankle grazer length,skinny jeans,39.58,     They're long-term relationship material  Mid-rise waist  Zip fly  Belt loops      Five pockets  Skinny fit  Cut closely from hips to hem ,Clean black,jeans
5,New Look Tall skinny jeans in black,New Look ,28.77,     The perfect partner for all your nice tops  Mid-rise waist  Concealed fly  Functional pockets  Skinny fit  Cut very closely from hips to hem ,Black,jeans
6,Miss Selfridge mom jeans mid wash blue,Miss Selfridge,68.37,      It's all in the jeans    High-rise waist       Concealed fly      Five pockets      Straight leg      Sits on the ankle      Relaxed fit ,Blue,jeans
7,ASOS DESIGN Ridley high waisted skinny jeans in dark stone wash with raw hem detail,ASOS DESIGN,50.37,     A go-to pair  Concealed fly  Functional pockets  Raw-cut hem  For an unfinished finish  Skinny fit   A tight cut for a sleek shape ,Dark stonewash blue,jeans
8,New Look Petite ripped skinny jean in blue,New Look,52.16,     Add them to your everyday line-up  High rise  Belt loops  Button fastening  Concealed fly   Side pockets  Ripped-knee details  Skinny fit  Cut very closely from hips to hem ,Blue pattern,jeans
9,G-Star D-staq high waist crop wide leg jean,G Star,224.89,"      Add them to your everyday line-up    High rise   Concealed fly   Button fastening   Side and back pockets  Wide leg  Fitted at the top, flowing at the bottom ",Authentic black,jeans
10,Reclaimed Vintage The '89 slim tapered leg jean in black,Reclaimed Vintage,57.57,"     Add-to-bag potential: considerable  Mid-rise waist  Concealed fly  Functional pockets  Slim, tapered fit  Cut closely around the thigh with a narrow shape through the leg ",Black,jeans
11,ASOS DESIGN Tall Recycled Florence authentic straight leg jeans in washed black,ASOS DESIGN,57.57,     Wear them again and again  High rise  Concealed fly  Functional pockets  Straight fit  Down the line  Part of the Eco Edit ,Washed black 1,jeans
12,ASOS DESIGN Recycled Florence authentic straight leg jeans in mid vintage blue,ASOS DESIGN,57.57,     Some serious daytime inspiration right here  Mid-rise waist  Mid-wash finish  Zip fly  Functional pockets  Straight fit  Down the line  ,Mid blue,jeans
13,Topshop Jamie skinny jeans in black,Topshop,71.96,"      For today, tomorrow and every day after   High-rise waist  Belt loops  Zip fly  Five-pocket styling  Ankle-grazer style  Skinny fit  Cut very closely from hips to hem ",Black,jeans
14,ASOS DESIGN Farleigh high waisted slim mom jeans in light stone wash,ASOS DESIGN,57.57,     A wardrobe staple   Extreme high rise  Concealed fly      Functional pockets  Slim fit  A narrow cut that sits close to the body ,Blue,jeans
