,title,brand,price,description,colour,category
0,Lindex eco viscose soft revere pyjama bottom in black,Lindex,26.99,      You're invited to this PJ party    Stretch waist    Contrast piping    Regular fit    Just select your usual size  ,missing,lingerie
1,ASOS DESIGN Odeda metallic rust cut out underboob crop bra,ASOS DESIGN,28.79,     For those ultra-fem vibes  Square neck  Cut-out design      Adjustable straps      Hook closure ,missing,lingerie
2,City Chic Smooth & Chic Control Brief,City Chic,50.37 ,"     Smooth stretch fabric       High rise      Control panel       Gives a streamline silhouette      Full-cut brief       Wipe wit a damp cloth       76% Nylon, 24% Elastane ",missing,lingerie
3,ASOS DESIGN Petite mix & match pyjama trouser,ASOS DESIGN,21.59, Part of our responsible edit  Drawstring waist  Wide-cut leg  Regular fit  Just select your usual size ,missing,lingerie
4,ASOS DESIGN mix & match jersey trouser with satin detail,ASOS DESIGN,25.19,"     Part of our responsible edit  For when plans get cancelled, but you weren't going anyway  Drawstring waist with satin-style tie  Wide leg  Relaxed fit  For a slouchy silhouette ",missing,lingerie
5,ASOS DESIGN Curve Victoria velvet thong with lace,ASOS DESIGN,17.99,      Give your basics a day off    High-rise   Cut-out detail  Lace insert      Thong cut ,missing,lingerie
6,ASOS DESIGN Geur mesh elastic everyday thong,ASOS DESIGN,14.39, A little something for your lingerie drawer      Low-rise waist      Thong cut ,missing,lingerie
7,ASOS DESIGN Asli thong with fishnet & delicate lace,ASOS DESIGN,17.99,     A little something for your lingerie drawer  Elasticated strapping      Thong cut ,missing,lingerie
8,ASOS DESIGN Virika eyelash lace & contrast mesh underwire bra,ASOS DESIGN,32.38,     A little something for your lingerie drawer      Non-padded cups      Underwire support      Adjustable straps      Hook-and-eye closure ,missing,lingerie
9,ASOS DESIGN Curve off shoulder all I need is coffee & mascara sleep tee,ASOS DESIGN,32.38,     For cosy nights and lazy days      Off-shoulder style       Short sleeves      Slogan design to back  Relaxed fit  For a slouchy silhouette  ,missing,lingerie
10,Bluebella cutout hardwear detail thong in white,BlueBella,25.19,     A little something for your lingerie drawer      High-rise waist      Strappy design       Thong cut ,missing,lingerie
11,ASOS DESIGN Tall satin stripe trouser set,ASOS DESIGN,46.78,     You're invited to this PJ party  Long-sleeved shirt with a notch collar and button placket  Drawstring bottoms  Both have a striped print ,missing,lingerie
12,Hunkemoller velour lace pyjama cami in grey,ASOS DESIGN,30.58,     Add-to-bag potential: considerable  Adjustable straps  Lace insert  Regular fit  Just select your usual size ,missing,lingerie
13,Fashion Forms tape dispenser,Fashion Forms,17.99,     Dress and lingerie tape      Double sided  So versatile      Easy to apply and remove      Cut to customise fit ,missing,lingerie
14,Missguided Tall houndstooth pyjama set in pink,Fashion Forms,59.37,missing,missing,lingerie
15,Savage x Fenty logo mesh string thong in black,SAVAGE X FENTY,35.98,      A little something for your lingerie draw     Low-rise    Fenty print    Diamante detail    String design       Thong cut ,missing,lingerie
16,Figleaves Curve The Luxe lace highwaisted knicker in black,Figleaves,25.19,     A little something for your underwear drawer  High rise  Elasticated waistband  Brief cut  ,missing,lingerie
17,ASOS DESIGN Ella lace triangle bra,ASOS DESIGN,21.59,"     Yeah, we like this one, too  Triangle cups      Supportive underband      Adjustable straps      Hook-and-eye closure ",missing,lingerie
18,Hunkemoller Ariana lace bralette in black,Hunkemöller,34.18,     A little something for your lingerie drawer  High neck  Cut-out front      Hook-and-eye closure ,missing,lingerie
19,Lindex Kelyn embroidery thong in dark purple,Lindex,23.39,  They’re everything you’ve been scrolling for    Low-rise waist       Floral embroidery       Thong cut ,missing,lingerie
20,ASOS DESIGN Ethel mix & match lace thong,ASOS DESIGN,10.79,     A little something for your lingerie drawer  Low-rise waist      Thong cut ,missing,lingerie
21,Coco De Mer X Playboy Gilded Heart eyelash lace plunge bra in black,Coco De Mer,116.94,     Designed in collaboration with Playboy   Non-padded  cups   Adjustable straps      Underwire support  Plunge style      Glitter finish      Hook-and-eye closure ,missing,lingerie
22,Lipsy Lonnie high waist lace knicker in red,Lipsy,32.38, A little something for your lingerie drawer       High rise    Stretch waistband       Gold-tone heart detail  Cut-out design  Form-fitting design ,missing,lingerie
23,ASOS DESIGN koala tee & short jersey pyjama set,ASOS DESIGN,35.98,     Live your best pyjama life   Crew-neck T-shirt  Drop shoulders  Koala print to chest  'Hug Me' slogan  Matching pyjama shorts  All-over print  Elasticated waistband  T-shirt is an oversized fit  Shorts are a regular fit ,missing,lingerie
24,& Other Stories underwire lace bra in green and black,& Other Stories,52.17,     Give your basics a day off  Lace cups   Underwired      Adjustable straps      Hook-and-eye closure ,missing,lingerie
25,Tommy Hilfiger Iconic Cotton Bralette,Tommy Hilfiger,48.58,     Scoop neck      Non-padded cups      Branded underband      For that logo lifestyle      Racer back      Form-fitting design ,missing,lingerie
26,ASOS DESIGN mix & match stripe lettuce pyjama vest,ASOS DESIGN,14.39,     You're invited to this PJ party      High neck      Cami straps       Frill hem ,missing,lingerie
27,Spanx Maternity Mama Shapewear Shorts,Spanx,53.97,     Ticks all your comfort boxes  High-rise waistband  Non-compression bump band grows with you  Provides bump and lower back support  Cotton gusset helps eliminate VPL  Close-cut bodycon fit  Designed to fit you from bump to baby ,missing,lingerie
28,ASOS DESIGN Curve Luna hook & eye soft body with satin & lace,ASOS DESIGN,39.58,      A little something for your lingerie draw    V-neck       Adjustable straps      Hook-and-eye front      Frill-lace trims      High-leg   Thong cut ,missing,lingerie
29,ASOS DESIGN Charlisa high apex pleated plunge bra and thong,ASOS DESIGN,46.77,missing,missing,lingerie
30,Tommy Hilfiger 3 pack bikini brief in multi,Tommy Hilfiger,62.97,"     Pack of three pairs   Contrast colours  We know you like options   Branded, stretchy waist       Brief cut  ",missing,lingerie
31,ASOS DESIGN Curve Masako strappy underwire bra and pant,Tommy Hilfiger,57.57,missing,missing,lingerie
32,Lindex Emelie Velvet Love high apex bra in black,Lindex,35.98,      A little something for your lingerie drawer       Underwire support      Lace insert       Adjustable straps      Hook-and-eye closure ,missing,lingerie
33,New Look Maternity weekend I love you pyjama set in multi,New Look,23.37,"      Sweet dreams, sleepyhead    Round neck    Short sleeves     Slogan to chest       Trouser bottoms      Stretch waist   Love heart print  Regular fit  Just select your usual size ",missing,lingerie
34,Free People brianna longline underwired bra,Free People,68.37 ,     Start with the basics  Notch neck  Adjustable straps  Underwire support  Cut longer than standard length ,missing,lingerie
35,Bluebella Karolina Bra,BlueBella,61.17,"     Hey, fancy pants  Elasticated strapping  Boned, non-padded cups  Underwire support      Adjustable straps      Hook-and-eye closure ",missing,lingerie
36,Missguided Petite houndstooth pyjama set in pink,BlueBella,64.76,missing,missing,lingerie
37,Thinx period proof hi-waist brief in black,THINX,59.37,"     High rise  Absorbent, leak-resistant design  Traps odours  Ideal for heavier days  Can also be used as backup on heavier days  Holds up to two tampons' worth  Great for travelling, exercise and overnight use  Brief cut  For when you want that extra coverage ",missing,lingerie
38,Calvin Klein body unlined bralette,Calvin Klein,53.97,     For when comfort is key   Scoop neck and back  Non-padded cups  The next best thing to wearing no bra at all      Branded underband  Cut-out detail ,missing,lingerie
39,ASOS DESIGN Amalda exposed underboob high neck cut out underwire bra and pant,Calvin Klein,53.97,missing,missing,lingerie
40,Hunkemoller Cora lace trim underwire bra in auburn,Hunkemöller,52.17,      A little something for your lingerie drawer    Non-padded cups       Underwire support      Adjustable straps  Lace trim      Hook-and-eye closure ,missing,lingerie
41,Tommy Hilfiger Remix cami bralette & thong set in tango red,Hunkemöller,86.35,missing,missing,lingerie
