,title,brand,price,description,colour,category
0,ASOS DESIGN Petite lounge jogger,asos petite,35.98,     Drawstring waistband      Welcome to the cosy life      Side pockets      Fitted cuffs      Relaxed fit      Think baggy and casual ,Black,bottoms
1,ASOS DESIGN shell jogger in navy colour block,ASOS DESIGN,57.57,     Throw on and go  Stretch waistband      Side pockets      Fitted cuffs      Regular fit  Just pick your usual size ,Navy,bottoms
2,ASOS 4505 neon colourblock legging with bum sculpt seam detail,ASOS 4505,39.58," Activewear, but make it fashion  Colour-block design  High rise  Elasticated waistband  Sculpting design  4505 logo to reverse  Bodycon fit  A tight cut to the body  ",Black/neon yellow,bottoms
3,Puma Iridescent Joggers,PUMA,107.95,      For the gym or your everyday thing    Drawstring waistband   Side pockets  PUMA logo  Fitted cuffs  Regular fit  True to size ,missing,bottoms
4,Tommy Jeans organic jogger pant,Tommy Jeans Capsule,116.94,     Part of our responsible edit  High rise  Drawstring waist  Functional pockets  Fitted cuffs  Slim fit   Cut close to the body ,Tommy black,bottoms
5,River Island Petite cigarette trousers in coral,River Island,64.77,"     Surprise your monochrome palette with these   Mid rise        Concealed fly with button fastening      Side pockets  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",Coral,bottoms
6,New Look high waist paperbag trousers in black,New Look,35.96,     Coming soon to your Saved Items  Paper-bag waist  Side pockets  Regular fit  True to size  ,Black 1,bottoms
7,ASOS DESIGN premium pinstripe suit mensy trousers,ASOS DESIGN,68.37,     Add-to-bag potential: considerable      High-rise waist      Concealed fly       Side pockets  Pinstripe design       Regular fit  Just select your usual size ,Pinstripe,bottoms
8,ASOS DESIGN textured wide leg trouser with buckle,ASOS DESIGN,53.97,"     Easily dressed up or down  High rise  Belted waist  Wide leg  Fitted at the top, flowing at the bottom ",Blue,bottoms
9,Monki wide leg cropped trousers in beige,Monki,53.97," New garms?  We’ve got you covered  High-rise waist  Concealed fly  Wide-cut leg  Fitted at the top, flowing at the bottom ",Beige,bottoms
10,ASOS DESIGN Petite crop sweat and jogger tracksuit with neon piped detail,Monki,61.17,     Part of our responsible edit  Tracksuit set  Crew neck  Neon piping  Ribbed trims  Cropped length  Jogging bottoms  Drawstring waist  Functional pockets  Fitted cuffs  Regular fit  Just select your usual size ,Black,bottoms
11,Lavish Alice corset detail mid rise trousers in mink,Lavish Alice,125.94,      For that thing you have to go to     Mid-rise waist        Concealed fly    Jet back pockets       Hook-and-eye detail      Regular fit  True to size ,Beige,bottoms
12,Reclaimed Vintage inspired quilted jogger in silver,Reclaimed Vintage,62.97,     They've already got your attention      Drawstring waist  Side pockets  Fitted cuffs  Relaxed fit  For a slouchy silhouette  Exclusive to ASOS ,missing,bottoms
13,Rare London glitter flare trouser co ord,Rare,80.96, Part of a co-ord set  Blazer sold separately      High rise        Side-zip fastening   Flared shape  Cut with a skinny leg that flares at the knee ,missing,bottoms
14,Weekday regina PU wide leg trouser in black,Weekday,80.96,"     Easily dressed up or down  High-rise waist  Concealed fly  Functional pockets  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
15,ASOS DESIGN slinky co-ord in khaki,Weekday,64.77,missing,missing,bottoms
16,Hollister structured utility jogger in camo,Weekday,70.16,     They've already got your attention  Camouflage print       High rise       Side and back pockets      Fitted cuffs  Regular fit  Just select your usual size ,missing,bottoms
17,ASOS DESIGN beach trousers with tiered ruffle hem in white,Weekday,44.98,     For that holiday you haven't booked yet  Semi-sheer finish      High rise  Stretch-back waistband      Ruffle hem      Regular fit  Just select your usual size ,missing,bottoms
18,Puma High Waisted Joggers in red exclusive at ASOS,PUMA,89.96,"     Coming soon to your Saved Items  Drawstring waist  Contrast piping and logo  Side pockets  Fitted cuffs  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg  Exclusive to ASOS ",missing,bottoms
19,Oasis faux leather cigarette trousers in black,Oasis,71.96,      Add-to-bag potential: considerable    Regular rise    Concealed fly with hook-and-bar fastening        Side pockets      Regular fit  Just select your usual size ,missing,bottoms
20,ASOS DESIGN grunge belted peg trouser in check,ASOS DESIGN,62.97,     Cue the party playlist  Checked design  High rise  Belted waist  Functional pockets  Elasticated cuffs  Regular fit  Just select your usual size ,missing,bottoms
21,Nike black wide leg high waist joggers,Nike,86.36,"     Your casual vibe, sorted   High rise      Drawstring waistband       Side pockets  Nike Swoosh logo       Wide leg   Fitted at the top, flowing at the bottom ",missing,bottoms
22,ASOS DESIGN Petite exaggerated 80s tapered suit trousers in coral,ASOS DESIGN,57.57,"     Worth making plans for  Fully lined  High-rise waist  Concealed fly  Side pockets  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
23,Reebok Training colourblock leggings in navy and beige,Reebok,62.97,"     Level up your activewear      Colour-block design      Elasticated, wide-cut waistband      Signature Reebok branding       Bodycon fit      A tight cut to the body ",missing,bottoms
24,Stradivarius rustic pants in Beige,Stradivarius,53.96,     Put the jeans away for a day off      High rise  Belted waist      Concealed fly      Functioning pockets      Cropped leg  Regular fit  Just select your usual size ,missing,bottoms
25,Simonett Comma PU wide leg trousers,Simonett,187.11,"      For that thing you have to go to    High rise   Stretch waistband  Concealed fly       Functional pockets   Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
26,Wolf & Whistle tie curve dye sports bra and leggings with mesh panel in pink,Simonett,107.95,missing,missing,bottoms
27,Public Desire Curve relaxed tracksuit bottoms in acid wash co-ord,Public Desire,41.36,     Part of a co-ord set      Top sold separately       Stretch waist       Acid wash   Relaxed fit  For a slouchy silhouette  ,missing,bottoms
28,ASOS DESIGN Petite wide leg trousers with clean high waist,ASOS DESIGN,44.98,     Put the jeans away for a day  High rise  Elasticated waistband  Wide leg  Regular fit  Just select your usual size  ,missing,bottoms
29,Nike burgundy snake print woven joggers,Nike,86.36,      Add-to-bag potential: considerable    Snake print   Drawstring waist  Fitted cuffs  Regular fit  Just select your usual size ,missing,bottoms
30,ASOS DESIGN belted dad suit,Nike,156.52,missing,missing,bottoms
31,ASOS DESIGN Tall jersey basic wide leg trousers,ASOS DESIGN,35.98,     Plain design   Why complicate things?  High-rise waist  Elasticated waistband      Wide-cut leg  Regular fit - true to size ,missing,bottoms
32,Puma Heavy Fleece Joggers in Beige,PUMA,98.95 ,"     Your casual vibe, sorted  Drawstring waistband  Side pockets  Fitted cuffs  Regular fit  Just select your usual size  Exclusive to ASOS ",missing,bottoms
33,ASOS DESIGN tracksuit sweat / basic jogger with tie with contrast binding,PUMA,57.57,     Part of our responsible edit  Tracksuit set  Lightweight sweatshirt  Crew neck  Matching joggers  Drawstring waistband  Contrast binding  Fitted cuffs  Regular fit  Just select your usual size ,missing,bottoms
34,ASOS DESIGN lounge travel high waist legging,ASOS DESIGN,25.19,"     Your casual vibe, sorted   High rise       Elasticated waistband       Skinny fit   Cut very closely from hips to hem ",missing,bottoms
35,ASOS DESIGN lace up side vinyl skinny trouser,ASOS DESIGN,50.37 ,     Worth making plans for       High rise  Stretch waist  Lace-up sides   Skinny fit  Cut very closely from hips to hem ,missing,bottoms
36,ASOS DESIGN Petite basic jersey smart skinny trousers in ponte,ASOS DESIGN,32.38,"     For doing your office thing, or when you clock off      High-rise waist  Elasticated to back       Zip fly with hook and bar fastening      Side pockets      Cropped cut   Skinny fit   Cut closely from hips to hem ",missing,bottoms
37,COLLUSION mixed print trousers,COLLUSION,39.58,"     They've already got your attention  Mixed prints      Drawstring waist  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
38,ASOS DESIGN tracksuit jogger with you print co-ord,ASOS DESIGN,62.97,     Part of a co-ord set  Jacket sold separately       Stretch waistband       Side pockets  Printed design      Fitted cuffs      Regular fit  Just select your usual size ,missing,bottoms
39,New Look Maternity seamless legging,New Look Maternity,17.97,     One for your wardrobe      High-rise waist to support your growing bump  Seamless design      Close-cut bodycon fit      Designed to fit through all stages of pregnancy ,missing,bottoms
40,ASOS DESIGN Maternity slim leg combat trousers in black with under bump waistband,ASOS DESIGN,50.37,      Add them to your everyday line-up    Combat style     Jersey bump waistband    Side and back pockets  Slim fit  A narrow cut from hips to hem      Designed to fit through all stages of pregnancy ,missing,bottoms
41,ASOS DESIGN Petite tailored clean culottes,ASOS DESIGN,44.98,"     An alternative to your jeans  High-rise waist  Functional pockets  Zip-side fastening  Midi length  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
42,COLLUSION trousers with relfective panel,COLLUSION,44.98,     Part of our responsible edit      High rise       Drawstring waistband    Functional pockets with u tility-style pockets to leg  Reflective detailing  Fitted cuffs  Regular fit  Just select your usual size ,missing,bottoms
43,ASOS DESIGN Tall oil wash combat trouser,ASOS DESIGN,62.97,"     Part of our responsible edit   High rise  Elasticated waistband  Belt loops  Zip fly  Side pockets and single back pocket  Contrast cargo pockets  Elasticated cuffs  Regular, tapered fit  A standard cut around the thigh with a narrow shape through the leg ",missing,bottoms
44,PrettyLittleThing vinyl wide leg trouser in black,PrettyLittleThing,50.37,"     It's high-shine season      High rise  Tie waist  Zip front with ring pull  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
