,title,price,description,colour,category
0,ribbed mock turtleneck dress,24.99,"straight cut dress in ribbed jersey with a mock turtleneck and long sleeves. polyester 58%, viscose 33%, elastane 9%",black,dress
1,super push up lace bra,19.99,"super push up bra in lace with thickly padded, underwire cups to maximize bust and cleavage. narrow, adjustable shoulder straps and a narrow section at back with two pairs of hook and eye fasteners. lace: polyamide 88%, elastane 12%",black beige,lingerie
2,strapless balconette bra,17.99,"balconette bra in microfiber and lace with padded underwire cups for lifting and shaping. narrow, detachable shoulder straps with multiple fastening options. hook and eye fasteners at back. cup lining: polyester 100%",light beige,lingerie
3,h&m+ slacks,24.99,"ankle length slacks in a stretch cotton blend with a regular waist. concealed, elasticized waistband and zip fly with concealed hook and eye fasteners. side pockets, mock welt back pockets, and tapered legs with creases. cotton 50%, polyester 46%, elastane 4%",black,plus size
4,super push up nightgown,29.99,"nightgown in lace and mesh with an integral, super push up bra with thickly padded, underwire cups to maximize bust and cleavage. narrow, adjustable shoulder straps. hook and eye fastening at back. lace: polyamide 88%, elastane 12%",black,loungewear
5,2 pack push up bras,19.99,"push up bras in jersey with mesh and lace details. molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps and narrow section at back with hook and eye fasteners. cotton 95%, elastane 5%",light pink dark gray melange,lingerie
6,jacquard knit sweater,24.99,"soft, jacquard knit sweater with glittery threads. ribbed turtleneck, long raglan sleeves, and ribbing at cuffs and hem. acrylic 98%, metallized fiber 2%",light gray white black silver-colored light gray patterned,outerwear
7,h&m+ wrap dress,29.99,"short dress in airy, woven chiffon with a ruffle trimmed v neck. attached wrapover at front with concealed snap fastener at top. long sleeves, elasticized cuffs with flounce, and elasticized seam at waist. gently flared skirt with ruffled hem. partly lined. polyester 100%",black pink black pink floral,dress
8,cable knit sweater,49.99,"conscious. boxy sweater in a soft cable knit with wool content. heavily dropped shoulders and ribbing at neckline, cuffs, and hem. polyester content is recycled. polyester 50%, acrylic 45%, wool 5%",orange,outerwear
9,h&m+ sports tank top,29.99,"loose fit sports tank top in fast drying, functional fabric with an integral sports bra and low cut back. lined sports bra with elasticized lower edge and opening at back with crossover straps. mesh: polyamide 74%, elastane 26%",dark blue light pink dark blue patterned,tops
10,mama jumpsuit with ties,49.99,"ankle length jumpsuit in soft, gently draped fabric. opening at back, button at back of neck, and elasticized seam below bust with a tie belt. short, flared sleeves and straight, wide legs. polyester 93%, elastane 7%",black dark red red black floral,jumpsuit
11,4 pack cotton bikini briefs,12.99,"conscious. bikini briefs in organic cotton with a low waist, lace trim, and medium coverage at back. lined gusset. gusset lining: cotton 100%",dark blue white light blue gray melange dark blue white,lingerie
12,3 pack microfiber thong briefs,12.99,"conscious. briefs in microfiber with a low waist, thong back, and lined gusset. polyamide content is recycled. gusset lining: cotton 100%",beige,lingerie
13,lace hipster briefs,6.99,"hipster briefs in lace with wide sides, cutaway coverage at back, and a regular waist. lined gusset. lace: polyamide 94%, elastane 6%",red,lingerie
14,h&m+ skinny high jeans,34.99,"5 pocket jeans in superstretch denim with a high waist, zip fly with button, and skinny legs. cotton 77%, polyester 21%, elastane 2%",black,jeans
15,jacquard knit skirt,59.99,"calf length skirt in heavily draped, jacquard knit fabric. high waist and wide, elasticized waistband. viscose 65%, polyamide 35%",black beige,skirts
16,h&m+ sports shorts,12.99,"conscious. sports shorts in fast drying, functional fabric. elasticized drawstring waistband with mesh key pocket. short slits at hems. polyester content is partly recycled. polyester 100%",black,shorts
17,fine knit sweater,24.99,"sweater in a fine knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. slits at sides. slightly longer at back. acrylic 52%, polyester 27%, polyamide 12%, elastane 6%, wool 3%",dark gray melange,outerwear
18,fine knit cashmere sweater,129.00,"premium quality. long sleeved, fine knit sweater in soft cashmere. turtleneck, twisted side seams, and ribbing at cuffs and hem. cashmere 100%",dark blue,outerwear
19,fine knit dress,29.99,"fitted sweater in soft, fine knit viscose blend fabric with a mock turtleneck and long sleeves. viscose 70%, polyamide 30%",khaki green,dress
20,winter running tights,39.99,"running tights in fast drying functional fabric with brushed, thermal inner surface. regular waist with concealed drawstring, open leg pocket, and zip at hems. reflective details. polyester 85%, elastane 15%",burgundy,bottoms
21,mama nursing blouse,29.99,"sleeveless, v neck blouse in woven fabric with a wrapover front. pleats at shoulders, pleat at back, and narrow, elasticized hem. concealed snap fastener at front and practical liner top for easier nursing access. lining: polyester 100%",cream,tops
22,sports tank top with bra,29.99,"loose fit sports tank top in fast drying, functional fabric with an integral sports bra and racer back. sports bra with double layers of fabric at front, elasticized lower edge, and opening at back with crossover straps. lining: polyester 86%, elastane 14%",light pink white light pink,tops
23,pile sports top,49.99,"boxy top in soft pile with woven sections. hood with mesh and fleece lining. stand up collar, zip at top, and kangaroo pocket. dropped shoulders and long sleeves with ribbing at cuffs. soft fleece inside. polyester 100%",black,tops
24,washed linen bathrobe,49.99,"premium quality. bathrobe in washed, woven linen fabric with two front pockets and a removable tie belt at waist. unisex. linen 100%",dark blue,loungewear
25,mama 2 pack jersey briefs,14.99,"conscious. briefs in soft, organic cotton jersey. low waist, wide sides, and medium coverage at back. lined gusset. other: cotton 90%, viscose 5%, elastane 5%",light gray melange black,lingerie
26,soft cup lace bra,17.99,"soft cup bra in lace with jersey lined cups for natural shape and light support. narrow, adjustable shoulder straps and hook and eye fasteners at back. lace: polyamide 89%, elastane 11%",black black leopard print,lingerie
27,v neck cardigan,19.99,"short, fitted cardigan in a soft rib knit. v neck, buttons at front, and long sleeves. viscose 42%, acrylic 42%, polyamide 16%",beige,outerwear
28,sports bra low support,24.99,"sports bra in fast drying, functional fabric with molded, lightly padded cups to shape bust. narrow, adjustable shoulder straps crossed at back. wide, elasticized lower edge. light support. partly lined in mesh. wing lining: polyamide 82%, elastane 18%",turquoise,lingerie
29,rib knit pants,24.99,"soft, rib knit pants with a lightly brushed finish. high waist, covered, elasticized waistband with drawstring, and straight, wide legs. viscose 81%, polyester 18%, elastane 1%",light pink,pants
30,mama cotton blend dress,24.99,"short, v neck dress in soft slub jersey made from a cotton and modal blend. cap sleeves with sewn cuffs. narrow, elasticized seam at waist with removable tie belt. unlined. cotton 50%, modal 50%",dark beige black dark beige zebra print,dress
31,h&m+ sports tank top,12.99,"conscious. loose fit sports tank top in fast drying jersey made from a viscose blend. racer back, horizontal strap at back of neck, and crossover straps at back with open section. rounded hem. polyester content is partly recycled. polyester 50%, cotton 50%",white,tops
32,merino wool dress,69.99,"premium quality. fitted, knee length dress in soft, fine knit merino wool with decorative seams. mock turtleneck and long, voluminous sleeves. roll edges at neck, cuffs, and hem. wool 100%",black,dress
33,h&m+ v neck top,24.99,"sleeveless top in woven, crêped fabric with v shaped opening at front. small stand up collar, yoke at back with pleat, and rounded hem. polyester 100%",dark green,tops
34,oversized sweater,34.99,"wide cut knit sweater in a soft cotton blend. mock turtleneck, dropped shoulders, and long sleeves. ribbing at neck, cuffs, and hem. longer at back. cotton 71%, acrylic 28%, wool 1%",khaki green melange,outerwear
35,4 pack cotton hipster briefs,12.99,"conscious. hipster briefs in organic cotton jersey with lace trim. low waist, cutaway coverage at back, and lined gusset. lace: polyamide 86%, elastane 14%",black,lingerie
