,title,price,colour,category,description,brand
0,Meisel Shawl Collar Blazer,51.9,missing,outerwear,"Suit up, ladies. Gathered sleeve detail. Open front. ",Love Bonito
1,Blaise Midi Polka Dot Dress,51.9,missing,dress,Flair for the dramatic. Bold polkadot print. Ruched waist. Puff sleeves.,Love Bonito
2,Jeryl Ribbon Tie Top,36.9,missing,tops,For your day-time thing. Ribbon tie straps. Button details. V-neckline. ,Love Bonito
3,Ariah Balloon Sleeve Top,41.9,missing,tops,Flair for the dramatic. Ruffle hem. Relaxed fit. Keyhole back.,Love Bonito
4,Joie Midi Pencil Skirt,39.9,missing,skirts,Can't go wrong with a classic. Back slit. Classic pencil skirt silhouette.,Love Bonito
5,Ilova Straight Cuffed Pants,45.9,missing,bottoms,Pairs with just about everything. Chunky cuffed hem. Straight leg.,Love Bonito
6,Angelica Jaquard Maxi Skirt,56.9,missing,skirts,All dolled up. Luxurious jacquard. Embossed floral motifs.,Love Bonito
7,Krissy Raw Hem Denim Board Shorts,39.9,missing,shorts,Perfect for warm weather days. ,Love Bonito
8,Bernelle Printed Wide Leg Jumpsuit,59.9,missing,jumpsuits,One-piece wonder. Sash tie. Flare sleeves.,Love Bonito
9,Sienna Knit Cardigan,49.9,missing,outerwear,Stay cosy. Relaxed fit. Button down. ,Love Bonito
10,Gwenyth Denim Wide Leg Jumpsuit,59.9,missing,jumpsuits,One-piece wonder. Square neckline. Wide leg. Top stitch detail. Cinched waist with matching sash. ,Love Bonito
11,Yani Foldover A-line Skorts,36.9,missing,shorts,Summer day staple. Button detail. Pocket front. Classic A-line silhouette.,Love Bonito
12,Lilliana V-neck Top,36.9,missing,tops,For your daytime thing. V-neckline. Cropped.,Love Bonito
13,Connar Mixed Print A-line Dress,46.9,missing,dress,"Summer loving. Luxe, silky fabric. Contrast print.",Love Bonito
14,Anne Printed A-line Dress in Artful Bloom,43.9,missing,dress,<b>Specially designed in-house print.</b> You're a work of art. V-neckline. Ribbon tie detail.,Love Bonito
15,Serenity Printed Knit Sweater,39.9,missing,outerwear,"Stay cosy. Floral print. Soft, comfy knit. ",Love Bonito
16,Camryn Cropped Kick Flare Pants,49.9,missing,bottoms,Don't forget the matching blazer. Textured fabric. Cropped length. Subtle flare hem. ,Love Bonito
17,Roxy Sash Tie Ruffle Hem Dress,46.9,missing,dress,Love at first sight. Textured fabric. Plaid print. Ruffle hem. Sash tie. ,Love Bonito
18,Annika Polka Dot Bodycon Dress,46.9,missing,dress,Parisian chic. Polka dot print. Sits close to the body. Slit hem. ,Love Bonito
19,Baize Sash Tie Midi Skirt in Floral Symphony,51.9,missing,skirts,<b>Specially designed in-house print.</b> Hand-painted floral motifs. Sash tie. Classic midi skirt silhouette.,Love Bonito
20,Seraphine Wide Leg Pants,49.9,missing,bottoms,Leg-lengthening magic. High-waisted. Patch pocket detail.,Love Bonito
21,Jolie Denim Midi Skirt,49.9,missing,skirts,Give your skinnies a break. Button down. Sits close to the body. ,Love Bonito
22,Gaelle Knit Mock Neck Top,36.9,missing,tops,Why complicate things? Mock neck. Fitted silhouette.,Love Bonito
23,Jaime Ruffle Hem Midi Dress,49.9,missing,dress,Perfect for Sunday Brunch. V-neckline. Flutter sleeves.,Love Bonito
24,Kathleen Midi Bodycon Dress,49.9,missing,dress,Can't go wrong with a classic. Sweetheart neckline. Sits close to the body. ,Love Bonito
25,Ariadne Printed Midi Dress,51.9,missing,dress,You're a work of art. Paint stroke motifs. Sash tie. V-neckline. Slit hem. ,Love Bonito
26,Dakshi Printed Wrap Dress,46.9,missing,dress,"That's a wrap. Bold, abstract print. Tie side. Ruffle hem.",Love Bonito
27,Camryn Button Front Blazer,59.9,missing,outerwear,"Suit up, ladies. Ribbed fabric. Button detail. ",Love Bonito
28,Hailley Baby Doll Top,39.9,missing,tops,Easy on the eyes. Notch neck. Puff sleeve. ,Love Bonito
29,Elsie Satin Printed Wide Leg Pants,49.9,missing,bottoms,Bold & beautiful. Contrast floral print. Chunky belt to match. ,Love Bonito
30,Charley Sash Tie Jacket,41.9,missing,outerwear,Stay cosy. Wrap style. Tie side.,Love Bonito
31,Meisel Crossover High Waist Pants,43.9,missing,bottoms,Don't forget the matching blazer. Co-ord set. Unique crossover detail.,Love Bonito
32,Josephine Panel Midi Dress in Lunaris Jam,49.9,missing,dress,<b>Specially designed in-house print.</b> Hand-painted galaxy motifs. Desk to dinner hero. Contrast fabric.,Love Bonito
33,Elsie Satin Printed Blouse,39.9,missing,tops,Bold & beautiful. Contrast floral print. High neckline. ,Love Bonito
34,Thara Printed Crop Pants,46.9,missing,bottoms,Some days call for a little extra. Sash tie. Cropped length.,Love Bonito
