,title,price,brand,description,colour,category
0,resa dress,49.00,Runway Bandits,"faux wrap designs are a highly popular feature in both blouses and dresses, and it’s not hard to see why. the",sky,dress
1,ninya dress,49.00,Runway Bandits,"long, flowy, and feminine, the",blush,dress
2,resa dress,49.00,Runway Bandits,"faux wrap designs are a highly popular feature in both blouses and dresses, and it’s not hard to see why. the",dark pine green,dress
3,jireh dress,42.00,Runway Bandits,think of the,navy,dress
4,gilbet shirt,33.00,Runway Bandits,"everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the",emerald,tops
5,nava dress,39.00,Runway Bandits,"easy and breathable, the",black,dress
6,breno top,30.00,Runway Bandits,textured sleeveless button-down top.,khaki,tops
7,greta tee,26.00,Runway Bandits,basic round neck tee.,black,tops
8,oriel dress,34.00,Runway Bandits,short-sleeved collared dress with tortoiseshell buttons and a self-tie sash.,navy,dress
9,gilbet shirt,33.00,Runway Bandits,"everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the",white,tops
10,nava dress,39.00,Runway Bandits,"easy and breathable, the",cinnamon,dress
11,gilbet shirt,33.00,Runway Bandits,"everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the",maroon,tops
12,nava dress,39.00,Runway Bandits,"easy and breathable, the",navy,dress
13,gilbet shirt,33.00,Runway Bandits,"everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the",black,tops
14,nava dress,39.00,Runway Bandits,"easy and breathable, the",olive,dress
15,gilbet shirt,33.00,Runway Bandits,"everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the",navy,tops
16,jireh dress,42.00,Runway Bandits,think of the,black,dress
17,ninya dress,49.00,Runway Bandits,"long, flowy, and feminine, the",sky,dress
18,resa dress,49.00,Runway Bandits,"faux wrap designs are a highly popular feature in both blouses and dresses, and it’s not hard to see why. the",blush,dress
19,ninya dress,49.00,Runway Bandits,"long, flowy, and feminine, the",dark pine green,dress
20,haberly dress,43.00,Runway Bandits,the,coral pink,dress
21,lila dress,40.00,Runway Bandits,the,slate blue,dress
22,ilya dress,40.00,Runway Bandits,"inspired by japanese origami, the",navy,dress
23,haberly dress,43.00,Runway Bandits,the,casper blue,dress
24,lila dress,40.00,Runway Bandits,the,black,dress
25,haberly dress,43.00,Runway Bandits,the,maroon,dress
26,ilya dress,40.00,Runway Bandits,"inspired by japanese origami, the",black,dress
27,lila dress,40.00,Runway Bandits,the,contessa,dress
28,haberly dress,43.00,Runway Bandits,the,navy,dress
29,ilya dress,40.00,Runway Bandits,"inspired by japanese origami, the",teal,dress
30,rilter trousers,38.00,Runway Bandits,"a wide-legged silhouette accented with edgy frays, the rilter trousers are crafted from cotton-twill. this pair is tailored to sit flatteringly at the waist; highlights include a silver button closure and functional pockets. we like it best paired with platform sneakers for a boyish look.
due to the nature of the fabric, slubs, dark spots and lines are present and are not considered as defects.",white,bottoms
31,cybil culottes,40.00,Runway Bandits,"sitting high on your waist, the",oatmeal,bottoms
32,libby dress,45.00,Runway Bandits,the,sky,dress
33,tulsi culottes,39.00,Runway Bandits,"is a pair of wide-legged culottes that sits high on your waist while giving your form some shape. tailored from wrinkle-resistant polyester blend, this uber sleek piece not only holds the a-line silhouette perfectly, but also ensures that your outfit looks office-appropriate no matter what. highlights include a concealed back zip and two pressed vertical pleats that give it some dimension. go for that girl boss look with a crisp white button-down.",white,bottoms
34,cybil culottes,40.00,Runway Bandits,"sitting high on your waist, the",olive,bottoms
35,libby dress,45.00,Runway Bandits,the,dark pine green,dress
36,lyon dress,42.00,Runway Bandits,"cut from breathable cotton-blend, the lyon dress is one maxi style that we foresee ourselves reaching out for when it’s warm out. its design is simple – a long column silhouette coupled with a classic round neckline – save for a slanted seam near the hem that adds a bit of dimension to the piece. lined, we suggest you not pass up on this number.",white,dress
37,finnes top,32.00,Runway Bandits,business in front and back in the back – that’s one way we’d describe the,black,tops
38,melio shirt,38.00,Runway Bandits,say hi to the,barn red,outerwear
39,lyon dress,42.00,Runway Bandits,"cut from breathable cotton-blend, the lyon dress is one maxi style that we foresee ourselves reaching out for when it’s warm out. its design is simple – a long column silhouette coupled with a classic round neckline – save for a slanted seam near the hem that adds a bit of dimension to the piece. lined, we suggest you not pass up on this number.",navy,dress
40,finnes top,32.00,Runway Bandits,business in front and back in the back – that’s one way we’d describe the,grey,tops
41,lyon dress,42.00,Runway Bandits,"cut from breathable cotton-blend, the lyon dress is one maxi style that we foresee ourselves reaching out for when it’s warm out. its design is simple – a long column silhouette coupled with a classic round neckline – save for a slanted seam near the hem that adds a bit of dimension to the piece. lined, we suggest you not pass up on this number.",dark sea green,dress
42,melio shirt,38.00,Runway Bandits,say hi to the,olive,outerwear
43,lyon dress,42.00,Runway Bandits,"cut from breathable cotton-blend, the lyon dress is one maxi style that we foresee ourselves reaching out for when it’s warm out. its design is simple – a long column silhouette coupled with a classic round neckline – save for a slanted seam near the hem that adds a bit of dimension to the piece. lined, we suggest you not pass up on this number.",black,dress
44,melio shirt,38.00,Runway Bandits,say hi to the,white,outerwear
45,lyon dress,42.00,Runway Bandits,"cut from breathable cotton-blend, the lyon dress is one maxi style that we foresee ourselves reaching out for when it’s warm out. its design is simple – a long column silhouette coupled with a classic round neckline – save for a slanted seam near the hem that adds a bit of dimension to the piece. lined, we suggest you not pass up on this number.",spiced coral,dress
46,quiney dress,47.00,Runway Bandits,"an elegant and sophisticated number, the",rose tan,dress
47,fion pants,42.00,Runway Bandits,"tailored from wrinkle-resistant poly-blend, the",white,bottoms
48,quiney dress,47.00,Runway Bandits,"an elegant and sophisticated number, the",glacier grey,dress
49,joi dress,44.00,Runway Bandits,the,black,dress
50,quiney dress,47.00,Runway Bandits,"an elegant and sophisticated number, the",navy,dress
51,fion pants,42.00,Runway Bandits,"tailored from wrinkle-resistant poly-blend, the",black,bottoms
52,joi dress,44.00,Runway Bandits,the,navy,dress
53,quiney dress,47.00,Runway Bandits,"an elegant and sophisticated number, the",black,dress
54,ivers outerwear,40.00,Runway Bandits,"made from midweight cotton-blend, the",teal,outerwear
55,noelle shirtdress,39.00,Runway Bandits,"a casual number great for chill weekends, the",olive,dress
56,hedrix jumpsuit,42.00,Runway Bandits,"a simple jumpsuit made for relaxed weekends, the",black,jumpsuits
57,zahn cami,30.00,Runway Bandits,the,black gingham,tops
58,hedrix jumpsuit,42.00,Runway Bandits,"a simple jumpsuit made for relaxed weekends, the",olive,jumpsuits
59,ivers outerwear,40.00,Runway Bandits,"made from midweight cotton-blend, the",black,outerwear
60,hedrix jumpsuit,42.00,Runway Bandits,"a simple jumpsuit made for relaxed weekends, the",navy,jumpsuits
61,symin top,32.00,Runway Bandits,"cut from high quality polyester that is smooth to the touch, the",oatmeal,tops
