,url,brand,title,price,description,colour,material
0,https://www.aforarcade.com/product/women/clothing/dresses/kit-vintage-florals-swing-dress-in-black,A for Arcade,KIT VINTAGE FLORALS SWING DRESS IN BLACK,$36.00,"Swing your heart out and don't hold back. The&nbsp;<em>Kit Swing Dress</em>&nbsp;features a V-neckline and tie waist detail, accentuating the natural feminine silhouette. With such an effortless flow,&nbsp;this piece works whether you’re out skating or just chilling with girlfriends! Dress is lined, has functional side pockets and a concealed back zip.",BLACK,Made of Polyester blend 
1,https://www.aforarcade.com/product/women/clothing/dresses/kit-vintage-florals-swing-dress-in-kelly-green,A for Arcade,KIT VINTAGE FLORALS SWING DRESS IN KELLY GREEN,$36.00,"Swing your heart out and don't hold back. The&nbsp;<em>Kit Swing Dress</em>&nbsp;features a V-neckline and tie waist detail, accentuating the natural feminine silhouette. With such an effortless flow,&nbsp;this piece works whether you’re out skating or just chilling with girlfriends! Dress is lined, has functional side pockets and a concealed back zip.",KELLY GREEN,Made of Polyester blend 
2,https://www.aforarcade.com/product/women/clothing/skirts/harriet-wrap-skirt-in-black,A for Arcade,HARRIET WRAP SKIRT IN BLACK,$36.00,"Celebrate the year-end festivities in a wrap skirt that’ll easily elevate your party ensemble. Elegant, with a fancy asymmetrical hem, <em>Harriet</em> can be worn with simple chic tops to create a classy look from top to toe. It’s a real wrap skirt that comes with two snap buttons and a loop button for extra security. Partially lined.",BLACK,Made of Polyester blend 
3,https://www.aforarcade.com/product/women/clothing/skirts/harriet-wrap-skirt-in-autumn,A for Arcade,HARRIET WRAP SKIRT IN AUTUMN,$36.00,"Celebrate the year-end festivities in a wrap skirt that’ll easily elevate your party ensemble. Elegant, with a fancy asymmetrical hem, <em>Harriet</em> can be worn with simple chic tops to create a classy look from top to toe. It’s a real wrap skirt that comes with two snap buttons and a loop button for extra security. Partially lined.",AUTUMN,Made of Polyester blend 
4,https://www.aforarcade.com/product/women/clothing/skirts/harriet-wrap-skirt-in-olive,A for Arcade,HARRIET WRAP SKIRT IN OLIVE,$36.00,"Celebrate the year-end festivities in a wrap skirt that’ll easily elevate your party ensemble. Elegant, with a fancy asymmetrical hem, <em>Harriet</em> can be worn with simple chic tops to create a classy look from top to toe. It’s a real wrap skirt that comes with two snap buttons and a loop button for extra security. Partially lined.",OLIVE,Made of Polyester blend 
5,https://www.aforarcade.com/product/women/clothing/dresses/harper-midi-dress-in-navy,A for Arcade,HARPER MIDI DRESS IN NAVY,$42.00,"Looking superb comes easy with the right dress. A charming midi dress that looks impeccably refined, <em>Harper</em> can merely be worn with the simplest of heels for an effortlessly polished look. Featuring elastic ruching at the back, the top half of the dress is slightly stretchable and tremendously comfortable, and its flowy skirt adds that extra bit of feminine charm. Lined. Side zip.",NAVY,Made of Cotton blend 
6,https://www.aforarcade.com/product/women/clothing/dresses/harper-midi-dress-in-aurora-red,A for Arcade,HARPER MIDI DRESS IN AURORA RED,$42.00,"Looking superb comes easy with the right dress. A charming midi dress that looks impeccably refined, <em>Harper</em> can merely be worn with the simplest of heels for an effortlessly polished look. Featuring elastic ruching at the back, the top half of the dress is slightly stretchable and tremendously comfortable, and its flowy skirt adds that extra bit of feminine charm. Lined. Side zip.",AURORA RED,Made of Cotton blend 
7,https://www.aforarcade.com/product/women/clothing/dresses/harper-midi-dress-in-white,A for Arcade,HARPER MIDI DRESS IN WHITE,$42.00,"Looking superb comes easy with the right dress. A charming midi dress that looks impeccably refined, <em>Harper</em> can merely be worn with the simplest of heels for an effortlessly polished look. Featuring elastic ruching at the back, the top half of the dress is slightly stretchable and tremendously comfortable, and its flowy skirt adds that extra bit of feminine charm. Lined. Side zip.",WHITE,Made of Cotton blend 
8,https://www.aforarcade.com/product/women/clothing/tops/ivy-pleated-top-in-black,A for Arcade,IVY PLEATED TOP IN BLACK,$34.00,"Say yes, yes, yes to a top entirely made out of pleats! Perfect for the year-end festivities, <em>Ivy</em> is an exquisite option for a party outfit, best paired with a gorgeous midi skirt or floor-length palazzo pants. All you’d have to do is have a glass of champagne in hand to complete that classy party look. Partially lined. Elastic band at the neckline.",BLACK,Made of Polyester blend 
9,https://www.aforarcade.com/product/women/clothing/tops/ivy-pleated-top-in-midnight-blue,A for Arcade,IVY PLEATED TOP IN MIDNIGHT BLUE,$34.00,"Say yes, yes, yes to a top entirely made out of pleats! Perfect for the year-end festivities, <em>Ivy</em> is an exquisite option for a party outfit, best paired with a gorgeous midi skirt or floor-length palazzo pants. All you’d have to do is have a glass of champagne in hand to complete that classy party look. Partially lined. Elastic band at the neckline.",MIDNIGHT BLUE,Made of Polyester blend 
