web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1572772914-2318","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","ASOS 4505 Bow back topSGD$29.64","https://www.asos.com/asos-4505/asos-4505-bow-back-top/prd/12458685?clr=black&colourWayId=16439711&SearchQuery=&cid=26091","ASOS 4505 Bow back top","SGD$29.64","Black","For exercise or everyday wear    Round neck    Short sleevesBranded detailingOpen back Tie fasteningSlim fit A narrow cut to the sleeves and chest","1487940","ABOUT ME
            Smooth stretchy fabric
For unrestricted movement

Body: 88% Polyester, 12% Elastane.","ASOS 4505","T-shirt"
"1572770955-1669","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Reebok Training leggings in cloud printSGD$79.67","https://www.asos.com/reebok/reebok-training-leggings-in-cloud-print/prd/12356528?clr=pink&colourWayId=16408248&SearchQuery=&cid=26091","Reebok Training leggings in cloud print","SGD$79.67","Pink","Part of our responsible editStretch waistbandCloud print    Close-cut bodycon fit","1479759","ABOUT ME
            Stretch jersey
Made from recycled polyesterPlastic bottles and textile waste are processed into plastic chips and melted into new fibresThis saves water and energy and reduces greenhouse gas emissions, tooCool, right?
Body: 85% Polyester, 15% Elastane.","Reebok","Leggings"
"1572771636-1880","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS 4505 crop with macramé back detail sports bra and leggingFrom SGD$105.60","https://www.asos.com/asos-4505/asos-4505-crop-with-macrame-back-detail-sports-bra-and-legging/grp/26022?clr=black&colourWayId=0&SearchQuery=&cid=26091","ASOS 4505 crop with macramé back detail sports bra and legging","SGD$40.76","Black","null","null","null","null","null"
"1572772821-2290","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Nike Air Running crop leggings in blackSGD$74.11","https://www.asos.com/nike-running/nike-air-running-crop-leggings-in-black/prd/12504425?clr=black-white&colourWayId=16391389&SearchQuery=&cid=26091","Nike Air Running crop leggings in black","SGD$74.11","Black/white","Your casual vibe, sortedHigh-rise waist    Elasticated waistbandNike Air logo detailBodycon fitA tight cut to the body","1491549","ABOUT ME
            Body: 83% Polyester, 17% Elastane, Mesh: 81% Nylon, 19% Elastane, Rib: 90% Polyester, 10% Elastane.","Nike","Leggings"
"1572771066-1694","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Puma exclusive to ASOS all over print bra in blueSGD$64.84","https://www.asos.com/puma/puma-exclusive-to-asos-all-over-print-bra-in-blue/prd/13678604?clr=blue&colourWayId=16556954&SearchQuery=&cid=26091","Puma exclusive to ASOS all over print bra in blue","SGD$64.84","Blue","Working out just got techyScoop neckSupportive underband for a secure fitBranded designRacer backNo clasps or fasteningsSlips on over the headBodycon fitA tight cut to the bodyExclusive to ASOS","1585101","ABOUT ME
            Smooth stretchy fabric
For unrestricted movement

Body: 70% Polyester, 30% Elastane.","PUMA","bra"
"1572772763-2270","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Reebok Training long sleeve t-shirt in blackSGD$42.61","https://www.asos.com/reebok/reebok-training-long-sleeve-t-shirt-in-black/prd/12356462?clr=black&colourWayId=16385976&SearchQuery=&cid=26091","Reebok Training long sleeve t-shirt in black","SGD$42.61","Black","Level up your activewearV-neckLong sleevesLogo print to left shoulderReflective details increase visibility in low lightingBreathable mesh back panelFlat seams feel smooth against skinRegular fitJust select your usual size","1479740","ABOUT ME
            Silky-smooth, stretchy fabric
Uses sweat-wicking technology to help keep you cool and dry

Body: 100% Polyester.","Reebok","T-shirt"
"1572771875-1958","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Reebok Training long sleeve t-shirt in blueSGD$42.61","https://www.asos.com/reebok/reebok-training-long-sleeve-t-shirt-in-blue/prd/12356090?clr=blue&colourWayId=16385952&SearchQuery=&cid=26091","Reebok Training long sleeve t-shirt in blue","SGD$42.61","Blue","Activewear, but make it fashionRound neckDropped shouldersLong sleevesSplit sides for ease of movementRelaxed fitFor a slouchy silhouette","1479704","ABOUT ME
            Go-with-everything jerseyIt's a soft all-rounder

Body: 65% Polyester, 35% Viscose.","Reebok","T-shirt"
"1572771675-1892","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","ASOS 4505 icon legging with bum sculpt seam detailSGD$33.35","https://www.asos.com/asos-4505/asos-4505-icon-legging-with-bum-sculpt-seam-detail/prd/12829735?clr=blue&colourWayId=16463588&SearchQuery=&cid=26091","ASOS 4505 icon legging with bum sculpt seam detail","SGD$33.35","Blue","Activewear, but make it fashionHigh riseStretch waistbandBranded detailingContrast seam for sculpting and support","1517197","ABOUT ME
            Smooth stretchy fabricFor unrestricted movement
Body: 83% Polyester, 17% Elastane, Mesh: 90% Polyamide, 10% Elastane.","ASOS 4505","Leggings"
"1572771331-1765","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Reebok Crossfit vest in navySGD$61.14","https://www.asos.com/reebok/reebok-crossfit-vest-in-navy/prd/12126819?clr=navy&colourWayId=16365909&SearchQuery=&cid=26091","Reebok Crossfit vest in navy","SGD$61.14","Navy","Level up your activewearCrew neck    Reebok logo detailRegular fitJust select your usual size","1462872","ABOUT ME
            Body: 44% Nylon, 36% Polyester, 20% Cotton.","Reebok","Vest"
"1572770801-1622","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Nike Air Running Plus t-shirt in blueSGD$64.84","https://www.asos.com/nike-running/nike-air-running-plus-t-shirt-in-blue/prd/11719821?clr=sanded-purple&colourWayId=16328121&SearchQuery=&cid=26091","Nike Air Running Plus t-shirt in blue","SGD$64.84","Sanded purple","Your new running buddy Boat neck Dropped shouldersNike Air branding Swoosh logo detailingV-backRelaxed fitThink baggy and casualBralet not included","1431537","ABOUT ME
            Breathable, perforated fabricSoft, stretchy and lightweight 
Body: 67% Nylon, 33% Elastane.","Nike","Plus-size top"
