web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1573030956-1193","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","COLLUSION Unisex logo hoodie in off-whiteSGD$33.35","https://www.asos.com/collusion/collusion-unisex-logo-hoodie-in-off-white/prd/11754648?clr=ecru&colourWayId=16343802&SearchQuery=&cid=11321","COLLUSION Unisex logo hoodie in off-white","SGD$33.35","Ecru","For when comfort is key    Drawstring hood    Dropped shoulders    Pouch pockets    Fitted trimsRelaxed fitUnisex style Designed to fit everyone","1434218","ABOUT ME
            Soft-touch sweatshirt fabricCos style and comfort aren't mutually exclusive
Main: 57% Polyester, 43% Cotton, Trim: 51% Cotton, 48% Polyester, 1% Elastane.","COLLUSION","Hoodie"
"1573030738-1106","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","ASOS DESIGN Curve oversized super soft sweat in charcoalSGD$40.76","https://www.asos.com/asos-curve/asos-design-curve-oversized-super-soft-sweat-in-charcoal/prd/13095555?clr=charcoal&colourWayId=16529389&SearchQuery=&cid=11321","ASOS DESIGN Curve oversized super soft sweat in charcoal","SGD$40.76","Charcoal","Cosy never looked so goodCrew neckDropped shouldersRibbed trimsOversized fitMore room for activities","1538577","ABOUT ME
            Soft sweatshirt fabric
Style and comfort - it's a lifestyle

Main: 67% Polyester, 27% Viscose, 6% Cotton.","ASOS DESIGN","sweatshirt"
"1573029149-648","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","Polo Ralph Lauren love hoodieSGD$213.06","https://www.asos.com/polo-ralph-lauren/polo-ralph-lauren-love-hoodie/prd/12972690?clr=light-sport-heather&colourWayId=16430956&SearchQuery=&cid=11321","Polo Ralph Lauren love hoodie","SGD$213.06","Light sport heather","Throw on and go    Drawstring hood    Raglan sleeves    Pouch pockets    Fitted trims    Regular fitNo surprises, just a classic cut","1527070","ABOUT ME
            Soft sweatshirt fabricStyle and comfort – it's a lifestyle
Body: 84% Cotton, 16% Polyester.","Polo Ralph Lauren","Hoodie"
"1573030138-873","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","River Island loungewear hoodie in creamSGD$51.88","https://www.asos.com/river-island/river-island-loungewear-hoodie-in-cream/prd/13095570?clr=cream&colourWayId=16447621&SearchQuery=&cid=11321","River Island loungewear hoodie in cream","SGD$51.88","Cream","Your casual vibe, sortedDrawstring hoodColour-block designRibbed backRegular fitJust select your usual size","1538574","ABOUT ME
            Soft sweatshirt fabric A great chill-out partner
Body: 53% Viscose, 42% Polyester, 5% Elastane.","River Island","Hoodie"
"1573030710-1095","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","Weekday Blaze oversized hoodie with drawstring in light beigeSGD$64.84","https://www.asos.com/weekday/weekday-blaze-oversized-hoodie-with-drawstring-in-light-beige/prd/14054622?clr=light-beige&colourWayId=16588010&SearchQuery=&cid=11321","Weekday Blaze oversized hoodie with drawstring in light beige","SGD$64.84","Light beige","Throw on and go Fixed hoodDropped shouldersOver-the-head style Fitted trimsOversized fitDesigned to look baggy","1614326","ABOUT ME
            Soft sweatshirt fabricStyle and comfort – it's a lifestyle
Main: 80% Cotton, 20% Polyester.","Weekday","Hoodie"
"1573030947-1190","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","Monki round neck oversized sweatshirt in purpleSGD$55.58","https://www.asos.com/monki/monki-round-neck-oversized-sweatshirt-in-purple/prd/13857413?clr=purple&colourWayId=16571870&SearchQuery=&cid=11321","Monki round neck oversized sweatshirt in purple","SGD$55.58","Purple","Throw on and goCrew neckDropped shouldersRibbed trimsOversized fitMore room for activities","1599450","ABOUT ME
            Soft sweatshirt fabric
Style and comfort - it's a lifestyle

Main: 80% Cotton, 20% Polyester.","Monki","Sweatshirt"
"1573021216-465","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","Bershka nibbled sweat top in blueSGD$24.07","https://www.asos.com/bershka/bershka-nibbled-sweat-top-in-blue/prd/13821111?clr=blue&colourWayId=16568926&SearchQuery=&cid=11321","Bershka nibbled sweat top in blue","SGD$24.07","Blue","Your casual vibe, sortedHigh neckDropped shouldersPlain designRelaxed fitFor a slouchy silhouette","1596523","ABOUT ME
            Soft sweatshirt fabric A great chill-out partner
Main: 97% Cotton, 3% Elastane.","Bershka","Sweatshirt"
"1573030578-1042","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","ASOS DESIGN minimal sweat with wide sleeve in sageSGD$33.35","https://www.asos.com/asos-design/asos-design-minimal-sweat-with-wide-sleeve-in-sage/prd/13155674?clr=sage&colourWayId=16481005&SearchQuery=&cid=11321","ASOS DESIGN minimal sweat with wide sleeve in sage","SGD$33.35","Sage","For your daytime thingCrew neck    Long sleeves     Plain designRibbed trimsRegular fitJust select your usual size","1543729","ABOUT ME
            Soft sweatshirt fabric A great chill-out partner
Main: 100% Cotton.","ASOS DESIGN","Sweatshirt"
"1573031039-1216","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","ASOS DESIGN high neck lightweight sweatshirt in blackSGD$37.05","https://www.asos.com/asos-design/asos-design-high-neck-lightweight-sweatshirt-in-black/prd/12955671?clr=black&colourWayId=16463394&SearchQuery=&cid=11321","ASOS DESIGN high neck lightweight sweatshirt in black","SGD$37.05","Black","Do sweat itHigh neckDrop shouldersLong sleevesSplit hemRibbed trimdRelaxed fitThink baggy and casual","1526418","ABOUT ME
            Soft sweatshirt fabric
For all-day cosiness

Main: 100% Cotton.","ASOS DESIGN","Sweatshirt"
"1573030676-1081","https://www.asos.com/women/hoodies-sweatshirts/cat/?cid=11321&nlid=ww|clothing|shop+by+product","ASOS DESIGN Curve ultimate organic cotton sweat in blackSGD$29.64","https://www.asos.com/asos-curve/asos-design-curve-ultimate-organic-cotton-sweat-in-black/prd/12453056?clr=black&colourWayId=16446323&SearchQuery=&cid=11321","ASOS DESIGN Curve ultimate organic cotton sweat in black","SGD$29.64","Black","Part of our responsible editCrew neck    Dropped shoulders    Fitted trims    Regular fitJust select your usual size","1487591","ABOUT ME
            Soft sweatshirt fabricMade from organic cottonGrown with less water and no pesticidesIt's a win-win, improving the environment for both wildlife and cotton farmers
Main: 100% Organic Cotton.","ASOS DESIGN","Sweatshirt"
