,url,brand,title,price,description,colour
0,https://www.asos.com/asos-tall/asos-design-tall-ridley-high-waisted-skinny-jeans-in-rich-mid-blue-wash/prd/10737626?clr=mid-blue&colourWayId=16313610&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Tall Ridley high waisted skinny jeans in rich mid blue wash,missing,<li>High rise&nbsp;</li><li>Just like your standards&nbsp;</li><li>Zip fly</li><li>Belt loops</li><li>Five pockets</li><li>Skinny fit&nbsp;</li><li>Cut very closely to the body&nbsp;</li>,missing
1,https://www.asos.com/river-island/river-island-paperbag-waist-jeans-in-light-wash/prd/11961465?clr=light-auth&colourWayId=16397983&SearchQuery=&cid=3630,River Island,River Island paperbag waist jeans in light wash,missing,"    <li>The perfect partner for all your nice tops</li><li>High rise</li><li>Paper-bag waist</li><li>D-ring belt</li><li>Side pockets</li><li>Relaxed, tapered fit</li><li>A looser cut around the thigh with a slim shape through the leg</li>",missing
2,https://www.asos.com/miss-selfridge-petite/miss-selfridge-petite-skinny-jeans/prd/8625929?clr=black&colourWayId=15204158&SearchQuery=&cid=3630,Miss Selfridge Petite,Miss Selfridge Petite skinny jeans,missing,"    <li>Yeah, we like these, too&nbsp;</li>    <li>High-rise waist</li>    <li>Concealed fly</li>    <li>Two back pockets&nbsp;</li><li>Skinny fit&nbsp;</li><li>A tight cut for a sleek shape</li>",missing
3,https://www.asos.com/levis-plus/levis-plus-311-shaping-skinny-jeans/prd/12782583?clr=new-ultra-black&colourWayId=16465066&SearchQuery=&cid=3630,Levi's,Levi's Plus 311 shaping skinny jeans,missing,"    <li><span style=""background-color: initial;"">Part of our responsible edit</span></li><li><span style=""background-color: initial;"">Regular rise</span></li><li><span style=""background-color: initial;"">Belt loops</span></li><li>Concealed fly</li><li>Five pockets</li><li>Skinny fit</li><li>Cut very closely from hips to hem</li>",missing
4,https://www.asos.com/asos-maternity/asos-design-maternity-mid-rise-off-duty-straight-leg-jeans-in-mid-vintage-wash-with-over-the-bump-band/prd/12978954?clr=mid-vintage-wash&colourWayId=16477002&SearchQuery=&cid=3630,ASOS DESIGN,ASOS DESIGN Maternity Mid rise 'off duty' straight leg jeans in mid vintage wash with over the bump band,missing,"    <li><span style=""background-color: initial;"">It's all in the jeans</span></li><li><span style=""background-color: initial;"">Over-the-bump waistband</span></li>    <li>Belt loops</li><li>Concealed fly</li>    <li>Five pockets</li>    <li>Straight cut</li><li>Regular fit</li>    <li>Designed to fit you from bump to baby</li>",missing
5,https://www.asos.com/mango/mango-mom-jeans-in-blue/prd/12831713?clr=blue&colourWayId=16418338&SearchQuery=&cid=3630,Mango,Mango mom jeans in blue,missing,"    <li>For today, tomorrow and every day after</li><li>High rise</li><li>Concealed fly with button fastening</li>    <li>Functional pockets</li><li>Cropped length</li><li>Regular fit</li><li>Just select your usual size</li>",missing
6,https://www.asos.com/other-stories/other-stories-straight-leg-jeans-in-dark-blue/prd/12726433?clr=blue-denim&colourWayId=16448445&SearchQuery=&cid=3630,& Other Stories,& Other Stories straight leg jeans in dark blue,missing,    <li>Part of our responsible edit</li><li>Mid-rise waist</li><li>Concealed fly</li><li>Belt loops</li><li>Functional pockets</li><li>Straight leg</li><li>Regular fit</li><li>Just select your usual size</li>,missing
7,https://www.asos.com/dr-denim/dr-denim-moxy-sky-high-super-skinny-jean/prd/13250661?clr=atlantic-deep-blue&colourWayId=16468394&SearchQuery=&cid=3630,Dr Denim,Dr Denim Moxy sky high super skinny jean,missing,<li>It's all in the jeans&nbsp;</li><li>Blue wash&nbsp;</li><li>High-rise waist&nbsp;</li><li>Concealed fly</li><li>Functional pockets</li><li>Super-skinny fit</li><li>An extra-tight cut from hips to hem</li>,missing
8,https://www.asos.com/pimkie/pimkie-coated-skinny-jean-in-black/prd/13227381?clr=black&colourWayId=16461792&SearchQuery=&cid=3630,Pimkie,Pimkie coated skinny jean in black,missing,    <li>A wardrobe staple since forever</li><li>Mid-rise waist</li><li>Concealed fly</li><li>Functional pockets</li><li>Skinny fit&nbsp;</li><li>A tight cut to the body</li>,missing
9,https://www.asos.com/na-kd/na-kd-distressed-hem-skinny-cropped-jeans-in-mid-blue/prd/12952991?clr=blue-wash&colourWayId=16428960&SearchQuery=&cid=3630,,NA-KD distressed hem skinny cropped jeans in mid blue,missing,    <li>They're long-term relationship material</li><li>Mid-rise waist</li><li>Concealed fly</li><li>Distressed details</li><li>Functional pockets</li><li>Raw-cut hem</li><li>Skinny fit</li><li>Cut very closely from hips to hem</li><li>Exclusive to ASOS</li>,missing
