web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1572969831-10718","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN plated rib v neck with button cuffSGD$32.42 SGD$40.76","https://www.asos.com/asos-design/asos-design-plated-rib-v-neck-with-button-cuff/prd/12777844?clr=black&colourWayId=16458430&SearchQuery=&cid=2637","ASOS DESIGN plated rib v neck with button cuff","SGD$32.42","Black","Add-to-bag potential: considerableV-neckButton detail to cuff    Ribbed designRegular fitJust select your usual size","1513182","ABOUT ME
            Ribbed knit
Just a hint of cosy

Body: 51% Viscose, 28% Polyester, 21% Nylon.","ASOS DESIGN","Jumper"
"1572894459-9846","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN scoop neck long sleeve jumper in fine knit ribSGD$29.64","https://www.asos.com/asos-design/asos-design-scoop-neck-long-sleeve-jumper-in-fine-knit-rib/prd/13078252?clr=cream&colourWayId=16477357&SearchQuery=&cid=2637","ASOS DESIGN scoop neck long sleeve jumper in fine knit rib","SGD$29.64","Cream","For your daytime thingRibbed finishScoop neckLong sleevesRegular fitJust select your usual size","1537006","ABOUT ME
            Lightweight knit
For blended comfort

Body: 54% Viscose, 28% Polyester, 18% Nylon.","ASOS DESIGN","Jumper"
"1572972707-10770","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Monki ribbed button-down long sleeve jumper in blackSGD$37.05 SGD$46.32","https://www.asos.com/monki/monki-ribbed-button-down-long-sleeve-jumper-in-black/prd/13715488?clr=black&colourWayId=16559837&SearchQuery=&cid=2637","Monki ribbed button-down long sleeve jumper in black","SGD$37.05","Black","Add-to-bag potential: considerableHigh neckButton placketRegular fitJust select your usual size","1587917","ABOUT ME
            Soft knit
Ribbed finish

Main: 100% Cotton.","Monki","Jumper"
"1572910627-10105","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","L.F.Markey Stewart jumperSGD$203.80","https://www.asos.com/lf-markey/lfmarkey-stewart-jumper/prd/12578272?clr=midnight&colourWayId=16456462&SearchQuery=&cid=2637","L.F.Markey Stewart jumper","SGD$203.80","Midnight","Cosy level: considerable    Crew neckBalloon sleeves    Ribbed cuffs and hem    Regular fitJust select your usual size","1497227","ABOUT ME
            Chunky ribbed knit 
The kind that stretches 

Body: 100% Cotton.","LF Markey","Jumper"
"1572932624-10444","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN Maternity cable jumper in lofty yarn with volume sleeveSGD$40.76 SGD$51.88","https://www.asos.com/asos-maternity/asos-design-maternity-cable-jumper-in-lofty-yarn-with-volume-sleeve/prd/12147522?clr=red-brown&colourWayId=16443937&SearchQuery=&cid=2637","ASOS DESIGN Maternity cable jumper in lofty yarn with volume sleeve","SGD$40.76","Red/brown","For your daytime thing    Crew neck    Cable patternRibbed cuffs and hem    Relaxed fit    Designed to fit through all stages of pregnancy","1464314","ABOUT ME
            Soft-touch knit
For blended comfort

Body: 64% Acrylic, 21% Polyamide, 15% Polyester.","ASOS DESIGN","Maternity jumper"
"1572895215-9858","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN fluffy jumper with balloon sleeveSGD$40.76","https://www.asos.com/asos-design/asos-design-fluffy-jumper-with-balloon-sleeve/prd/11652440?clr=oatmeal&colourWayId=16386860&SearchQuery=&cid=2637","ASOS DESIGN fluffy jumper with balloon sleeve","SGD$40.76","Oatmeal","It’s everything you’ve been scrolling forCrew neckRaglan sleevesRibbed finishRegular fitJust select your usual size","1424967","ABOUT ME
            Soft knitThe kind that stretches
Body: 73% Acrylic, 25% Polyester, 2% Elastane.","ASOS DESIGN","Jumper"
"1572918411-10205","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN Maternity cable jumperSGD$51.88","https://www.asos.com/asos-maternity/asos-design-maternity-cable-jumper/prd/11709612?clr=cream&colourWayId=16388712&SearchQuery=&cid=2637","ASOS DESIGN Maternity cable jumper","SGD$51.88","Cream","Peak snugnessCable-knit designCrew neckDropped shouldersRibbed trimsRelaxed fitDesigned to fit you from bump to baby","1430807","ABOUT ME
            Soft, chunky knitCosy level: considerable
Body: 79% Acrylic, 21% Polyester.","ASOS DESIGN","Maternity jumper"
"1572983754-10962","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Superdry Annie skinny rib jumperSGD$64.83","https://www.asos.com/superdry/superdry-annie-skinny-rib-jumper/prd/13049223?clr=ice-grey-marl&colourWayId=16528005&SearchQuery=&cid=2637","Superdry Annie skinny rib jumper","SGD$64.83","Ice grey marl","Add-to-bag potential: considerableHigh neckLong sleevesRegular fitJust select your usual size","1533983","ABOUT ME
            Soft ribbed knit
Just a hint of cosy 

Main: 92% Viscose, 8% Elastane.","Superdry","Jumper"
"1572878754-9561","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Pieces knitted cardiganSGD$64.84","https://www.asos.com/pieces/pieces-knitted-cardigan/prd/11572428?clr=cream&colourWayId=16322319&SearchQuery=&cid=2637","Pieces knitted cardigan","SGD$64.84","Cream","Throw this on when the temperature dipsOpen front    Raglan sleevesRibbed trimsLongline styleRelaxed fit Loose but not oversized","1420075","ABOUT ME
            Ribbed knit
For a textual switch-up

Body: 83% Acrylic, 17% Polyester.","PIECES","Cardigan"
"1572876380-9486","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Stradivarius rounded neck knit in greySGD$33.33","https://www.asos.com/stradivarius/stradivarius-rounded-neck-knit-in-grey/prd/13741183?clr=grey&colourWayId=16562188&SearchQuery=&cid=2637","Stradivarius rounded neck knit in grey","SGD$33.33","Grey","Cosy level: considerableCrew neck    Dropped shouldersStepped hemRelaxed fitThink baggy and casual","1590060","ABOUT ME
            Lightweight knit
Lightly textured finish

Main: 100% Acrylic.","Stradivarius","Jumper"
"1572970523-10729","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Lipsy pearl pocket long cardigan in greySGD$88.93","https://www.asos.com/lipsy/lipsy-pearl-pocket-long-cardigan-in-grey/prd/13094791?clr=grey&colourWayId=16479572&SearchQuery=&cid=2637","Lipsy pearl pocket long cardigan in grey","SGD$88.93","Grey","Cosy never looked so good    Open front    Functioning pocketsBead embellishmentRibbed trimsRegular fitJust select your usual size","1538539","ABOUT ME
            Soft knit
Fluffy texture

Fabric: 71% Acrylic, 26% Polyester, 3% Elastane.","Lipsy","Cardigan"
"1572876264-9445","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Pull&Bear cable jumper in whiteSGD$29.62","https://www.asos.com/pullbear/pullbear-cable-jumper-in-white/prd/12804462?clr=ecru&colourWayId=16441210&SearchQuery=&cid=2637","Pull&Bear cable jumper in white","SGD$29.62","Ecru","For your daytime thingRound neckLong sleevesRibbed trimsRegular fitJust select your usual size","1515294","ABOUT ME
            Lightweight knitSoft-touch style

Main: 100% Cotton.","Pull&Bear","Jumper"
