,url,brand,title,price,description,colour
0,https://www.asos.com/lindex/lindex-eco-viscose-soft-revere-pyjama-bottom-in-black/prd/13134325?clr=black&colourWayId=16448115&SearchQuery=&cid=6046,Lindex,Lindex eco viscose soft revere pyjama bottom in black,missing,"    <li><span style=""background-color: initial;"">You're invited to this PJ party</span></li><li><span style=""background-color: initial;"">Stretch waist</span></li><li><span style=""background-color: initial;"">Contrast piping</span></li><li><span style=""background-color: initial;"">Regular fit</span></li><li><span style=""background-color: initial;"">Just select your usual size</span></li>",missing
1,https://www.asos.com/asos-design/asos-design-odeda-metallic-rust-cut-out-underboob-crop-bra/prd/11681175?clr=rust&colourWayId=16391527&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Odeda metallic rust cut out underboob crop bra,missing,    <li>For those ultra-fem vibes</li><li>Square neck</li><li>Cut-out design</li>    <li>Adjustable straps</li>    <li>Hook closure</li>,missing
2,https://www.asos.com/city-chic/city-chic-smooth-chic-control-brief/prd/8230465?clr=latte&colourWayId=15150134&SearchQuery=&cid=6046,City Chic,City Chic Smooth & Chic Control Brief,missing,"    <li>Smooth stretch fabric&nbsp;</li>    <li>High rise</li>    <li>Control panel&nbsp;</li>    <li>Gives a streamline silhouette</li>    <li>Full-cut brief&nbsp;</li>    <li>Wipe wit a damp cloth&nbsp;</li>    <li>76% Nylon, 24% Elastane</li>",missing
3,https://www.asos.com/asos-petite/asos-design-petite-mix-match-pyjama-trouser/prd/12203742?clr=coral&colourWayId=16409967&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Petite mix & match pyjama trouser,missing,<li>Part of our responsible edit</li><li>Drawstring waist</li><li>Wide-cut leg</li><li>Regular fit</li><li>Just select your usual size</li>,missing
4,https://www.asos.com/asos-design/asos-design-mix-match-jersey-trouser-with-satin-detail/prd/12553343?clr=lilac&colourWayId=16438640&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN mix & match jersey trouser with satin detail,missing,"    <li>Part of our responsible edit</li><li>For when plans get cancelled, but you weren't going anyway</li><li>Drawstring waist with satin-style tie</li><li>Wide leg</li><li>Relaxed fit</li><li>For a slouchy silhouette</li>",missing
5,https://www.asos.com/asos-curve/asos-design-curve-victoria-velvet-thong-with-lace/prd/12978098?clr=black&colourWayId=16526417&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Curve Victoria velvet thong with lace,missing,"    <li><span style=""background-color: initial;"">Give your basics a day off</span></li><li><span style=""background-color: initial;"">High-rise</span></li><li>Cut-out detail</li><li>Lace insert</li>    <li>Thong cut</li>",missing
6,https://www.asos.com/asos-design/asos-design-geur-mesh-elastic-everyday-thong/prd/11838299?clr=tonal-pink&colourWayId=16422177&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Geur mesh elastic everyday thong,missing,<li>A little something for your lingerie drawer</li>    <li>Low-rise waist</li>    <li>Thong cut</li>,missing
7,https://www.asos.com/asos-design/asos-design-asli-thong-with-fishnet-delicate-lace/prd/12465568?clr=black&colourWayId=16471163&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Asli thong with fishnet & delicate lace,missing,    <li>A little something for your lingerie drawer</li><li>Elasticated strapping</li>    <li>Thong cut</li>,missing
8,https://www.asos.com/asos-design/asos-design-virika-eyelash-lace-contrast-mesh-underwire-bra/prd/11851254?clr=pink&colourWayId=16418751&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Virika eyelash lace & contrast mesh underwire bra,missing,    <li>A little something for your lingerie drawer</li>    <li>Non-padded cups</li>    <li>Underwire support</li>    <li>Adjustable straps</li>    <li>Hook-and-eye closure</li>,missing
9,https://www.asos.com/asos-curve/asos-design-curve-off-shoulder-all-i-need-is-coffee-mascara-sleep-tee/prd/13500272?clr=black&colourWayId=16474238&SearchQuery=&cid=6046,ASOS DESIGN,ASOS DESIGN Curve off shoulder all I need is coffee & mascara sleep tee,missing,    <li>For cosy nights and lazy days</li>    <li>Off-shoulder style&nbsp;</li>    <li>Short sleeves</li>    <li>Slogan design to back</li><li>Relaxed fit</li><li>For a slouchy silhouette&nbsp;</li>,missing
