web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1573019272-204","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","ASOS DESIGN lounge zip sweat & short setSGD$51.88","https://www.asos.com/asos-design/asos-design-lounge-zip-sweat-short-set/prd/12474693?clr=black&colourWayId=16410394&SearchQuery=&cid=21867","ASOS DESIGN lounge zip sweat & short set","SGD$51.88","Black","Part of our responsible edit     Half-zip neckDropped shoulders Long sleeves    Short bottoms    Stretch waist Regular fitJust select your usual size","1489200","ABOUT ME
            Soft sweatshirt fabric 
We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals
Body: 70% Cotton, 30% Polyester.","null","ASOS DESIGN"
"1573018991-115","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","Monki eyes print pyjama set in blackSGD$46.32","https://www.asos.com/monki/monki-eyes-print-pyjama-set-in-black/prd/13472535?clr=black&colourWayId=16467181&SearchQuery=&cid=21867","Monki eyes print pyjama set in black","SGD$46.32","Black","Part of our responsible editAll-over eye printCrew neck    Short sleeves     Trouser bottoms    Regular fitJust select your usual size","1569090","ABOUT ME
            Soft jerseyMade with organic cottonGrown with less water and no pesticidesIt's a win-win, improving the environment for both wildlife and cotton farmers
Main: 95% Organic Cotton, 5% Elastane.","Monki","Pyjamas"
"1573019090-136","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","Lasula lounge crop top with contrast trim co ord in blackSGD$29.64","https://www.asos.com/lasula/lasula-lounge-crop-top-with-contrast-trim-co-ord-in-black/prd/13849799?clr=black&colourWayId=16571248&SearchQuery=&cid=21867","Lasula lounge crop top with contrast trim co ord in black","SGD$29.64","Black","Part of a co-ord setBottoms sold separately    Round neck Short sleevesPrinted underbandCropped lengthRegular fitJust select your usual size","1598933","ABOUT ME
            Stretch jerseyA soft, versatile fabric
Fabric: 100% Polyester.","Lasula","Top"
"1573019817-420","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN Maternity mix & match pyjama jersey tee and trouserFrom SGD$23.16 SGD$37.05","https://www.asos.com/asos-maternity/asos-design-maternity-mix-match-pyjama-jersey-tee-and-trouser/grp/24849?clr=coral&colourWayId=16410282&SearchQuery=&cid=21867","ASOS DESIGN Maternity mix & match pyjama jersey tee and trouser","SGD$14.82","Coral","null","null","null","null","null"
"1573018818-51","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN Maternity lounge waffle sweatSGD$33.35","https://www.asos.com/asos-maternity/asos-design-maternity-lounge-waffle-sweat/prd/11311860?clr=grey&colourWayId=16346655&SearchQuery=&cid=21867","ASOS DESIGN Maternity lounge waffle sweat","SGD$33.35","Grey","Your downtime uniformRound neckPlain designRegular fit    Designed to fit you from bump to baby","1402515","ABOUT ME
            Waffle-textured fabricOnly the same in texture, not tasteWe could go for a waffle, though
Body: 65% Cotton, 35% Polyester.","ASOS DESIGN","sweatshirt"
"1573018995-117","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","ASOS DESIGN Curve botanical tiger shirt & short 100% modal pyjamaSGD$48.17","https://www.asos.com/asos-curve/asos-design-curve-botanical-tiger-shirt-short-100-modal-pyjama/prd/13246425?clr=navy&colourWayId=16475060&SearchQuery=&cid=21867","ASOS DESIGN Curve botanical tiger shirt & short 100% modal pyjama","SGD$48.17","Navy","Part of our responsible editTiger printRevere collarChest pocketButton placket    Matching shortsRegular fitJust select your usual size","1550981","ABOUT ME
            Lightweight, soft modalIt's made from wood pulp from responsibly managed forestsIt lowers environmental impact by using less energy
Main: 100% Modal.","null","ASOS DESIGN"
"1573019658-350","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","ASOS DESIGN Maternity hoodie & jogger setSGD$44.46","https://www.asos.com/asos-maternity/asos-design-maternity-hoodie-jogger-set/prd/11586401?clr=black&colourWayId=16338175&SearchQuery=&cid=21867","ASOS DESIGN Maternity hoodie & jogger set","SGD$44.46","Black","Your downtime uniformDrawstring hoodPouch pocketTrouser bottomsDrawstring waistbandFitted cuffsRegular fitTrue to sizeDesigned to fit you from bump to baby","1421055","ABOUT ME
            Lightweight jersey
For when comfort is key

Body: 64% Polyester, 36% Cotton.","ASOS DESIGN","ASOS DESIGN"
"1573018724-23","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","ASOS DESIGN Curve satin button front cami lace short setSGD$48.17","https://www.asos.com/asos-curve/asos-design-curve-satin-button-front-cami-lace-short-set/prd/12097178?clr=black&colourWayId=16410677&SearchQuery=&cid=21867","ASOS DESIGN Curve satin button front cami lace short set","SGD$48.17","Black","Add-to-bag potential: considerableV-neckButton placketAdjustable strapsLace panel    Short bottoms    Stretch waistRegular fitJust select your usual size","1460613","ABOUT ME
            Satin-style fabricSilky and super smooth
Main: 100% Polyester, Trim: 100% Nylon.","null","ASOS DESIGN"
"1573019314-223","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","ASOS DESIGN co-ord off shoulder cable jumper in super fluffy yarnSGD$51.88","https://www.asos.com/asos-design/asos-design-co-ord-off-shoulder-cable-jumper-in-super-fluffy-yarn/prd/12664937?clr=camel&colourWayId=16520457&SearchQuery=&cid=21867","ASOS DESIGN co-ord off shoulder cable jumper in super fluffy yarn","SGD$51.88","Camel","Part of a co-ord setBottoms sold separately    Boat neckCable pattern    Ribbed cuffs and hemRelaxed fitThink baggy and casual","1504149","ABOUT ME
            Lightweight, fluffy knit
For a textural switch-up

Body: 100% Polyester.","ASOS DESIGN","Jumper"
"1573019202-184","https://www.asos.com/women/loungewear/cat/?cid=21867&nlid=ww|clothing|shop+by+product","ASOS DESIGN Tall tracksuit cute sweat / basic jogger with tie with contrast bindingSGD$59.29","https://www.asos.com/asos-tall/asos-design-tall-tracksuit-cute-sweat-basic-jogger-with-tie-with-contrast-binding/prd/12608821?clr=sand&colourWayId=16421357&SearchQuery=&cid=21867","ASOS DESIGN Tall tracksuit cute sweat / basic jogger with tie with contrast binding","SGD$59.29","Sand","Part of our responsible editTracksuit setYour casual vibe, sortedPlain sweatshirtCrew neckOver-the-head styleContrast pipingRibbed trimsTrouser bottomsDrawstring waistbandRegular fitJust select your usual size","1499841","ABOUT ME
            Soft sweatshirt fabric We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals
Fabric 1: 100% Cotton, Fabric 2: 97% Cotton, 3% Elastane.","null","ASOS DESIGN"
