web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1572847156-9250","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN co-ord mesh legging short with crystal studsSGD$37.05","https://www.asos.com/asos-design/asos-design-co-ord-mesh-legging-short-with-crystal-studs/prd/11774304?clr=pink&colourWayId=16373617&SearchQuery=&cid=9263","ASOS DESIGN co-ord mesh legging short with crystal studs","SGD$37.05","Pink","Part of a co-ord setTop sold separatelyHigh riseStretch waistbandLongline lengthBodycon fitA tight cut to the body","1435918","ABOUT ME
            Lined mesh
All-over embellishment

Main: 95% Nylon, 5% Elastane.","ASOS DESIGN","Shoes"
"1572833911-8999","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","Warehouse tailored shorts with belt in blackSGD$53.73","https://www.asos.com/warehouse/warehouse-tailored-shorts-with-belt-in-black/prd/11962548?clr=black&colourWayId=16405078&SearchQuery=&cid=9263","Warehouse tailored shorts with belt in black","SGD$53.73","Black","For your daytime thingHigh-rise elasticated waistband    Removable tie beltZip fly with hook-and-bar fastening    Side pockets    Regular fitJust select your usual size","1450867","ABOUT ME
            Thick woven fabricUnlined and stretchy
Main: 97% Cotton, 3% Elastane.","Warehouse","Shorts"
"1572844323-9196","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","Nike Cream High Waist Runner ShortsSGD$50.02","https://www.asos.com/nike/nike-cream-high-waist-runner-shorts/prd/11105564?clr=pale-ivory-black&colourWayId=16285702&SearchQuery=&cid=9263","Nike Cream High Waist Runner Shorts","SGD$50.02","Pale ivory/(black)","For your daytime thing    High rise    Drawstring waistbandBranded designCurved hemRegular fitJust select your usual size","1386832","ABOUT ME
            Soft sweatshirt fabric A great chill-out partner
Main: 100% Cotton.","Nike","Shorts"
"1572839181-9089","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","Nike Training flex 2 in 1 shorts in blackSGD$46.32","https://www.asos.com/nike-training/nike-training-flex-2-in-1-shorts-in-black/prd/11632336?clr=black&colourWayId=16320951&SearchQuery=&cid=9263","Nike Training flex 2 in 1 shorts in black","SGD$46.32","Black","For when you need a bit more motivationDouble-layer design with stretch shorts liningInternal drawstring waistNike Swoosh logoRegular fitNo surprises, just a classic cut","1424747","ABOUT ME
            Smooth, lightweight fabricUses Nike Dri-FIT technologyHelps move sweat away from the skin Sweat is then drawn out of the fabric to speed up evaporation   Keeping you cool and dry
Body: 88% Polyester, 12% Spandex.","Nike","Shorts"
"1572851748-9355","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","ASOS DESIGN Tall sweat shortSGD$22.23","https://www.asos.com/asos-tall/asos-design-tall-sweat-short/prd/13010673?clr=grey-marl&colourWayId=16459018&SearchQuery=&cid=9263","ASOS DESIGN Tall sweat short","SGD$22.23","Grey marl","Add-to-bag potential: considerableHigh riseElasticated waistSide pocketsRegular fitJust select your usual size","1528860","ABOUT ME
            Soft sweatshirt fabricStyle and comfort – it's a lifestyle
Main: 70% Polyester, 30% Cotton.","ASOS DESIGN","Tall shorts"
"1572838520-9078","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","Levi's Ribcage high waisted shorts in camoSGD$83.37","https://www.asos.com/levis/levis-ribcage-high-waisted-shorts-in-camo/prd/12782224?clr=tango-camo&colourWayId=16431262&SearchQuery=&cid=9263","Levi's Ribcage high waisted shorts in camo","SGD$83.37","Tango camo","Add-to-bag potential: considerableHigh-rise waistConcealed flyCamouflage printFunctional pocketsRaw-cut hemRegular fitJust select your usual size","1513527","ABOUT ME
            Stretch denimFor a tight cut without the restriction
Main: 99% Cotton, 1% Elastane.","Levi's","Shorts"
"1572838095-9071","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","MIX & MATCHWolf & Whistle recycled shorts with leopard print band in tealSGD$46.32","https://www.asos.com/wolf-whistle/wolf-whistle-recycled-shorts-with-leopard-print-band-in-teal/prd/13395734?clr=blue&colourWayId=16484141&SearchQuery=&cid=9263","Wolf & Whistle recycled shorts with leopard print band in teal","null","null","Part of our responsible editHigh rise     Leopard print waistbandBodycon fitA tight cut to the bodyExclusive to ASOS","1562810","ABOUT ME
            Smooth stretch fabricMade with recycled polyesterPlastic bottles and textile waste are processed into plastic chips and melted into new fibresThis saves water and energy and reduces greenhouse gas emissions, tooCool, right?
Body: 78% Polyester, 22% Elastane.","Wolf & Whistle","Shorts"
"1572850714-9323","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","Nike Pro Training 3 inch shorts with taping detailing in blackSGD$64.84","https://www.asos.com/nike-training/nike-pro-training-3-inch-shorts-with-taping-detailing-in-black/prd/11709073?clr=black&colourWayId=16328181&SearchQuery=&cid=9263","Nike Pro Training 3 inch shorts with taping detailing in black","SGD$64.84","Black","Working out just got techy    High rise    Nike Swoosh to waistbandBranded taping to sidesBodycon fitA tight cut to the body","1430752","ABOUT ME
            Smooth stretchy fabric
For unrestricted movement

Body: 83% Polyester, 17% Spandex, Fabric 2: 81% Polyester, 19% Nylon, Gusset Liner: 100% Polyester, Mesh: 81% Polyester, 19% Elastane.","Nike","Shorts"
"1572847622-9264","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN jersey suit short in floral printSGD$37.05","https://www.asos.com/asos-design/asos-design-jersey-suit-short-in-floral-print/prd/13327654?clr=floral&colourWayId=16472292&SearchQuery=&cid=9263","ASOS DESIGN jersey suit short in floral print","SGD$37.05","Floral","Add-to-bag potential: considerableFloral printHigh risePleated detailRegular fitJust select your usual size","1557610","ABOUT ME
            Go-with-everything jerseyIt's a soft all-rounder
Body: 95% Polyester, 5% Elastane.","ASOS DESIGN","Shorts"
"1572846973-9247","https://www.asos.com/women/shorts/cat/?cid=9263&nlid=ww|clothing|shop+by+product","NA-KD raw hem bermuda denim shorts in dark greySGD$62.99","https://www.asos.com/na-kd/na-kd-raw-hem-bermuda-denim-shorts-in-dark-grey/prd/12952937?clr=grey-wash&colourWayId=16442169&SearchQuery=&cid=9263","NA-KD raw hem bermuda denim shorts in dark grey","SGD$62.99","Grey wash","Add-to-bag potential: considerableMid-rise waistConcealed flyFunctional pocketsLonger lengthRaw-cut hemRegular fitJust select your usual size","1526338","ABOUT ME
            Non-stretch denimThick, rigid cotton
Main: 100% Cotton.","NA-KD","Denim shorts"
