web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1573057645-1627","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","& Other Stories velvet jacquard ruched mini skirt in blackSGD$101.90","https://www.asos.com/other-stories/other-stories-velvet-jacquard-ruched-mini-skirt-in-black/prd/14143850?clr=black&colourWayId=16594784&SearchQuery=&cid=2639","& Other Stories velvet jacquard ruched mini skirt in black","SGD$101.90","Black","Coming soon to your Saved ItemsStretch waistbandRuched designRuffled hemBodycon fitA tight cut to the body","1620801","ABOUT ME
            Velvet jacquardDrapey fabric with an intricate, interwoven pattern 
Main: 95% Polyester, 5% Elastane.","& Other Stories","Skirt"
"1573062415-2780","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN neon boucle suit skirtSGD$55.58","https://www.asos.com/asos-design/asos-design-neon-boucle-suit-skirt/prd/13027034?clr=check&colourWayId=16526849&SearchQuery=&cid=2639","ASOS DESIGN neon boucle suit skirt","SGD$55.58","Check","For your daytime thingCheck designHigh-rise waist    Zip-side fasteningSlim fitCut close to the body","1532113","ABOUT ME
            Textured boucléLooped fabric with a woolly finish
Body: 68% Acrylic, 25% Polyester, 7% Viscose, Lining: 100% Polyester.","ASOS DESIGN","Skirt"
"1573059946-1835","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Liquorish pleated midaxi skirt in pink neon colour blockSGD$101.90","https://www.asos.com/liquorish/liquorish-pleated-midaxi-skirt-in-pink-neon-colour-block/prd/12402086?clr=pink&colourWayId=16407986&SearchQuery=&cid=2639","Liquorish pleated midaxi skirt in pink neon colour block","SGD$101.90","Pink","For that thing you have to go toPleated designHigh riseStretch waistband    Midi lengthRegular fitJust select your usual size","1483327","ABOUT ME
            Smooth woven fabric
It's light and floaty

Fabric: 100% Polyester.","Liquorish","Skirt"
"1573062600-2853","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Vila faux leather skirtSGD$55.58","https://www.asos.com/vila/vila-faux-leather-skirt/prd/12933531?clr=black&colourWayId=16465243&SearchQuery=&cid=2639","Vila faux leather skirt","SGD$55.58","Black","Add-to-bag potential: considerable    High-rise waistKick split    Zip-back fastening    Regular fitJust select your usual size","1524924","ABOUT ME
            Faux leatherLooks like real leather, but it's notPointing out the obvious
Body: 100% Polyester.","Vila","Skirt"
"1573059624-1727","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","People Tree velvet mini skirtSGD$120.43","https://www.asos.com/people-tree/people-tree-velvet-mini-skirt/prd/11809090?clr=black&colourWayId=16439747&SearchQuery=&cid=2639","People Tree velvet mini skirt","SGD$120.43","Black","Easily dressed up or downHigh-rise waistButton detailRegular fitJust select your usual size","1438708","ABOUT ME
            Soft velvetOne smooth operator
Body: 100% Cotton.","People Tree","Mini skirt"
"1573061500-2419","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN kilt mini suit skirt in green checkSGD$46.32","https://www.asos.com/asos-design/asos-design-kilt-mini-suit-skirt-in-green-check/prd/13513642?clr=green-check&colourWayId=16477838&SearchQuery=&cid=2639","ASOS DESIGN kilt mini suit skirt in green check","SGD$46.32","Green check","Part of a co-ord setTop sold separatelyCheck patternHigh-rise waist    Pleated design    Regular fitTrue to size","1571978","ABOUT ME
            Lightweight woven fabric
The kind that doesn't stretch

Body: 67% Polyester, 33% Viscose.","ASOS DESIGN","Mini skirt"
"1573060185-1928","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","AllSaints lena oba snake print zip front mini skirtSGD$181.56","https://www.asos.com/allsaints/allsaints-lena-oba-snake-print-zip-front-mini-skirt/prd/13167790?clr=black-white-snake&colourWayId=16531980&SearchQuery=&cid=2639","AllSaints lena oba snake print zip front mini skirt","SGD$181.56","Black white snake","For your daytime thingSnake-effect finishHigh riseZip frontRegular fitJust select your usual size","1544825","ABOUT ME
            Faux leather
Let's be honest, no one can tell the difference

Lining: 97% Polyester, 3% Elastane, Main: 100% Polyurethane.","AllSaints","Skirt"
"1573061824-2547","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN co-ord rib knit midi skirtSGD$40.76","https://www.asos.com/asos-design/asos-design-co-ord-rib-knit-midi-skirt/prd/13033410?clr=camel&colourWayId=16449726&SearchQuery=&cid=2639","ASOS DESIGN co-ord rib knit midi skirt","SGD$40.76","Camel","Part of a co-ord setBralet sold separatelyHigh riseStretch waistbandSlim fitCut close to the body","1532696","ABOUT ME
            Ribbed knit
For a textural switch-up

Body: 100% Acrylic.","ASOS DESIGN","Midi skirt"
"1573060166-1921","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Lipsy bandage midi skirt co ord in camelSGD$83.37","https://www.asos.com/lipsy/lipsy-bandage-midi-skirt-co-ord-in-camel/prd/13094297?clr=camel&colourWayId=16470021&SearchQuery=&cid=2639","Lipsy bandage midi skirt co ord in camel","SGD$83.37","Camel","Part of a co-ord setTop sold separately     High-rise waist    Panelled design     Zip-back fastening    Kick split    Slim fitCut close to the body","1538464","ABOUT ME
            Bandage-style fabric
The kind that stretches 

Fabric: 97% Polyester, 3% Elastane.","Lipsy","Midi skirt"
"1573060705-2137","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","The Ragged Priest satin midi skirt with side zip detailSGD$74.11","https://www.asos.com/the-ragged-priest/the-ragged-priest-satin-midi-skirt-with-side-zip-detail/prd/12297963?clr=pink&colourWayId=16413312&SearchQuery=&cid=2639","The Ragged Priest satin midi skirt with side zip detail","SGD$74.11","Pink","It's already got your attention    High-rise waistZipped sidesHigh splitsRegular fitJust select your usual size","1475153","ABOUT ME
            Satin-style fabricSilky and super smooth
Fabric: 96% Polyester, 4% Elastane.","The Ragged Priest","Midi skirt"
"1573062486-2808","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN ruched side bias midi skirt in ditsy floralSGD$59.29","https://www.asos.com/asos-design/asos-design-ruched-side-bias-midi-skirt-in-ditsy-floral/prd/12595306?clr=floral-print&colourWayId=16439597&SearchQuery=&cid=2639","ASOS DESIGN ruched side bias midi skirt in ditsy floral","SGD$59.29","Floral print","Easily dressed up or downHigh riseAll-over print Ruched side    Midi cut     Regular fitJust select your usual size","1498551","ABOUT ME
            Lightweight viscoseSoft and drapey
Main: 100% Viscose.","ASOS DESIGN","Skirt"
"1573051998-1514","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Collective The Label tailored a line skirt in pink sateenSGD$61.14","https://www.asos.com/collective-the-label/collective-the-label-tailored-a-line-skirt-in-pink-sateen/prd/12032214?clr=pale-pink&colourWayId=16393801&SearchQuery=&cid=2639","Collective The Label tailored a line skirt in pink sateen","SGD$61.14","Pale pink","Add-to-bag potential: considerable    High waist    Zip-side fastening    Notched hemBodycon fitA tight cut to the body","1455876","ABOUT ME
            Silky sateenSmooth with a slight sheenKinda like satin, but its own thing
Fabric: 100% Polyester, Lining: 100% Polyester.","null","Skirt"
