web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
1572803201-7860,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,ASOS DESIGN halloween cobweb lace super crop top  in blackSGD$17.60 SGD$22.23,https://www.asos.com/asos-design/asos-design-halloween-cobweb-lace-super-crop-top-in-black/prd/13010276?clr=black&colourWayId=16465631&SearchQuery=&cid=4169,ASOS DESIGN halloween cobweb lace super crop top  in black,SGD$17.60,Black,Welcome to the dark side    Crew neck    Super-cropped lengthSlim fit A narrow cut to the sleeves,1530804,"ABOUT ME
            Delicate laceIf you're into patterns, you'll be into this
Main: 100% Polyester.",ASOS DESIGN,Top
1572798673-6451,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,Vans x Disney Nightmare Before Christmas Sally crewneck sweatshirt in patchworkSGD$148.22,https://www.asos.com/vans/vans-x-disney-nightmare-before-christmas-sally-crewneck-sweatshirt-in-patchwork/prd/13947909?clr=disneysally-patchw&colourWayId=16578801&SearchQuery=&cid=4169,Vans x Disney Nightmare Before Christmas Sally crewneck sweatshirt in patchwork,SGD$148.22,(disney)sally patchw,"Celebrating Tim Burton’s film, The Nightmare Before ChristmasCrew neckThe Nightmare Before Christmas designFitted trimsRegular fitNo surprises, just a classic cut",1605823,"ABOUT ME
            Soft sweatshirt fabricStyle and comfort – it's a lifestyle
Main: 80% Cotton, 20% Polyester.",Vans,Sweatshirt
1572785179-4004,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,ASOS DESIGN crop square neck top with tie cuff in spot printSGD$40.76,https://www.asos.com/asos-design/asos-design-crop-square-neck-top-with-tie-cuff-in-spot-print/prd/11973181?clr=mono&colourWayId=16383320&SearchQuery=&cid=4169,ASOS DESIGN crop square neck top with tie cuff in spot print,SGD$40.76,Mono,Easily dressed up or downSquare neckPuff sleeves with tie detailCropped lengthRegular fitJust select your usual size,1451655,"ABOUT ME
            Soft jerseyT-shirt fabric, in other words
Main: 95% Polyester, 5% Elastane.",ASOS DESIGN,Top
1572805682-8664,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,ASOS DESIGN oversized v front and v back t-shirt in blackSGD$22.23,https://www.asos.com/asos-design/asos-design-oversized-v-front-and-v-back-t-shirt-in-black/prd/12955047?clr=black&colourWayId=16467675&SearchQuery=&cid=4169,ASOS DESIGN oversized v front and v back t-shirt in black,SGD$22.23,Black,Keep it simple V-neckShort sleeves Oversized fitMore room for activities,1526369,"ABOUT ME
            Lightweight viscoseSoft and drapey
Main: 100% Viscose.",ASOS DESIGN,T-shirt
1572787557-4813,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,Moon River faux leather shirt with beltSGD$148.22,https://www.asos.com/moon-river/moon-river-faux-leather-shirt-with-belt/prd/13860877?clr=taupe&colourWayId=16572124&SearchQuery=&cid=4169,Moon River faux leather shirt with belt,SGD$148.22,Taupe,For your daytime thing    Spread collar    Button placket    Belted waistChest pocketsLong sleevesRegular fitJust select your usual size,1599730,"ABOUT ME
            Faux leatherLooks like real leather, but it's notPointing out the obvious
Body: 100% Polyurethane, Body Lining: 100% Viscose.",Moon River,Denim shirt
1572803549-7973,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,Boohoo basic shirt in whiteSGD$25.94,https://www.asos.com/boohoo/boohoo-basic-shirt-in-white/prd/13633957?clr=white&colourWayId=16553478&SearchQuery=&cid=4169,Boohoo basic shirt in white,SGD$25.94,White,Team with jeans and you're good to goMinimal designPoint collarButton placketRegular fitJust select your usual size,1581730,"ABOUT ME
            Lightweight woven fabricThe kind that stretches
Main: 97% Polyester, 3% Elastane.",boohoo,Shirt
1572804640-8349,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,River Island blouse with peplum hem in cream laceSGD$59.29,https://www.asos.com/river-island/river-island-blouse-with-peplum-hem-in-cream-lace/prd/13588700?clr=cream&colourWayId=16549595&SearchQuery=&cid=4169,River Island blouse with peplum hem in cream lace,SGD$59.29,Cream,For your daytime thing     High neck    Short sleeves    Peplum hemRegular fitJust select your usual size,1578055,"ABOUT ME
            Delicate laceIf you're into patterns, you'll be into this
Main: 75% Cotton, 25% Polyester, Trim: 100% Polyester.",River Island,Top
1572797789-6146,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,ASOS DESIGN Maternity nursing v neck button through short sleeve topSGD$37.05,https://www.asos.com/asos-maternity-nursing/asos-design-maternity-nursing-v-neck-button-through-short-sleeve-top/prd/12343667?clr=off-white&colourWayId=16406426&SearchQuery=&cid=4169,ASOS DESIGN Maternity nursing v neck button through short sleeve top,SGD$37.05,Off white,Ideal for on-the-go nursingFor all your multitasking needsV-neckDouble-layered designButton placketRegular fitJust select your usual sizeDesigned to fit you from bump to baby,1478762,"ABOUT ME
            Soft jersey
Style and comfort - it's a lifestyle

Main: 97% Viscose, 3% Elastane.",ASOS DESIGN,Maternity top
1572799967-6878,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,Neon Rose oversized shirt in faux leatherSGD$74.11,https://www.asos.com/neon-rose/neon-rose-oversized-shirt-in-faux-leather/prd/12749170?clr=chocolate&colourWayId=16454302&SearchQuery=&cid=4169,Neon Rose oversized shirt in faux leather,SGD$74.11,Chocolate,It's already got your attentionPoint collarButton placketOversized fitMore room for activities,1510774,"ABOUT ME
            Faux leatherLet's be honest, no one can tell the difference

Body: 55% Polyurethane, 45% Viscose.",Neon Rose,Shirt
1572796222-5671,https://www.asos.com/women/tops/cat/?cid=4169&nlid=ww|clothing|shop+by+product,ASOS DESIGN Petite beaded camiSGD$59.29,https://www.asos.com/asos-petite/asos-design-petite-beaded-cami/prd/12675083?clr=black&colourWayId=16520645&SearchQuery=&cid=4169,ASOS DESIGN Petite beaded cami,SGD$59.29,Black,Worth making plans forScoop neckCami strapsRegular fitJust select your usual size,1504903,"ABOUT ME
            Sequin and bead embellishment
The kind that doesn't stretch

Main: 100% Polyester.",ASOS DESIGN,top
