,url,brand,title,price,description,colour
0,https://www.asos.com/asos-petite/asos-design-petite-lounge-jogger/prd/8788932?clr=black&colourWayId=15224247&SearchQuery=&cid=2640,,ASOS DESIGN Petite lounge jogger,SGD$35.98,    <li>Drawstring waistband</li>    <li>Welcome to the cosy life</li>    <li>Side pockets</li>    <li>Fitted cuffs</li>    <li>Relaxed fit</li>    <li>Think baggy and casual</li>,Black
1,https://www.asos.com/asos-design/asos-design-shell-jogger-in-navy-colour-block/prd/12201440?clr=navy&colourWayId=16423562&SearchQuery=&cid=2640,ASOS DESIGN,ASOS DESIGN shell jogger in navy colour block,SGD$57.57,    <li>Throw on and go</li><li>Stretch waistband</li>    <li>Side pockets</li>    <li>Fitted cuffs</li>    <li>Regular fit</li><li>Just pick your usual size</li>,Navy
2,https://www.asos.com/asos-4505/asos-4505-neon-colourblock-legging-with-bum-sculpt-seam-detail/prd/12830495?clr=black-neon-yellow&colourWayId=16522991&SearchQuery=&cid=2640,ASOS 4505,ASOS 4505 neon colourblock legging with bum sculpt seam detail,SGD$39.58,"<li>Activewear, but make it fashion</li><li>Colour-block design</li><li>High rise</li><li>Elasticated waistband</li><li>Sculpting design</li><li>4505 logo to reverse</li><li>Bodycon fit</li><li>A tight cut to the body&nbsp;</li>",Black/neon yellow
3,https://www.asos.com/puma/puma-iridescent-joggers/prd/13554928?clr=multi&colourWayId=16546572&SearchQuery=&cid=2640,PUMA,Puma Iridescent Joggers,missing,"    <li><span style=""background-color: initial;"">For the gym or your everyday&nbsp;thing</span></li><li><span style=""background-color: initial;"">Drawstring waistband</span></li><li>Side pockets</li><li>PUMA logo</li><li>Fitted cuffs</li><li>Regular fit</li><li>True to size</li>",missing
4,https://www.asos.com/tommy-jeans/tommy-jeans-organic-jogger-pant/prd/13034584?clr=tommy-black&colourWayId=16477320&SearchQuery=&cid=2640,Tommy Jeans Capsule,Tommy Jeans organic jogger pant,SGD$116.94,    <li>Part of our responsible edit</li><li>High rise</li><li>Drawstring waist</li><li>Functional pockets</li><li>Fitted cuffs</li><li>Slim fit&nbsp;</li><li>Cut close to the body</li>,Tommy black
5,https://www.asos.com/river-island-petite/river-island-petite-cigarette-trousers-in-coral/prd/13001083?clr=coral&colourWayId=16441646&SearchQuery=&cid=2640,River Island,River Island Petite cigarette trousers in coral,SGD$64.77,"    <li>Surprise your monochrome palette with these</li><li><span style=""background-color: initial;"">Mid rise&nbsp;</span></li>    <li>Concealed fly with button fastening</li>    <li>Side pockets</li><li>Regular, tapered fit</li><li>A standard cut around the thigh with a narrow shape through the leg</li>",Coral
6,https://www.asos.com/new-look/new-look-high-waist-paperbag-trousers-in-black/prd/13955561?clr=black-1&colourWayId=16579444&SearchQuery=&cid=2640,New Look,New Look high waist paperbag trousers in black,SGD$35.96,    <li>Coming soon to your Saved Items</li><li>Paper-bag waist</li><li>Side pockets</li><li>Regular fit</li><li>True to size&nbsp;</li>,Black 1
7,https://www.asos.com/asos-design/asos-design-premium-pinstripe-suit-mensy-trousers/prd/12287611?clr=pinstripe&colourWayId=16421153&SearchQuery=&cid=2640,ASOS DESIGN,ASOS DESIGN premium pinstripe suit mensy trousers,SGD$68.37,    <li>Add-to-bag potential: considerable</li>    <li>High-rise waist</li>    <li>Concealed fly&nbsp;</li>    <li>Side pockets</li><li>Pinstripe design&nbsp;</li>    <li>Regular fit</li><li>Just select your usual size</li>,Pinstripe
8,https://www.asos.com/asos-design/asos-design-textured-wide-leg-trouser-with-buckle/prd/12728712?clr=blue&colourWayId=16458617&SearchQuery=&cid=2640,ASOS DESIGN,ASOS DESIGN textured wide leg trouser with buckle,SGD$53.97,"    <li>Easily dressed up or down</li><li>High rise</li><li>Belted waist</li><li>Wide leg</li><li>Fitted at the top, flowing at the bottom</li>",Blue
9,https://www.asos.com/monki/monki-wide-leg-cropped-trousers-in-beige/prd/11780388?clr=beige&colourWayId=16355245&SearchQuery=&cid=2640,Monki,Monki wide leg cropped trousers in beige,SGD$53.97,"<li>New garms?</li><li>We’ve got you covered</li><li>High-rise waist</li><li>Concealed fly</li><li>Wide-cut leg</li><li>Fitted at the top, flowing at the bottom</li>",Beige
10,https://www.asos.com/asos-petite/asos-design-petite-crop-sweat-and-jogger-tracksuit-with-neon-piped-detail/prd/13326694?clr=black&colourWayId=16537423&SearchQuery=&cid=2640,Monki,ASOS DESIGN Petite crop sweat and jogger tracksuit with neon piped detail,SGD$61.17,    <li>Part of our responsible edit</li><li>Tracksuit set</li><li>Crew neck</li><li>Neon piping</li><li>Ribbed trims</li><li>Cropped length</li><li>Jogging bottoms</li><li>Drawstring waist</li><li>Functional pockets</li><li>Fitted cuffs</li><li>Regular fit</li><li>Just select your usual size</li>,Black
11,https://www.asos.com/lavish-alice/lavish-alice-corset-detail-mid-rise-trousers-in-mink/prd/13981074?clr=beige&colourWayId=16582136&SearchQuery=&cid=2640,Lavish Alice,Lavish Alice corset detail mid rise trousers in mink,SGD$125.94,"    <li><span style=""background-color: initial;"">For that thing you have to go to&nbsp;</span></li><li><span style=""background-color: initial;"">Mid-rise waist</span></li>    <li><span style=""background-color: initial;"">Concealed fly</span></li><li><span style=""background-color: initial;"">Jet back pockets</span></li>    <li>Hook-and-eye detail</li>    <li>Regular fit</li><li>True to size</li>",Beige
12,https://www.asos.com/reclaimed-vintage/reclaimed-vintage-inspired-quilted-jogger-in-silver/prd/12905431?clr=silver&colourWayId=16524428&SearchQuery=&cid=2640,Reclaimed Vintage,Reclaimed Vintage inspired quilted jogger in silver,missing,    <li>They've already got your attention</li>    <li>Drawstring waist</li><li>Side pockets</li><li>Fitted cuffs</li><li>Relaxed fit</li><li>For a slouchy silhouette</li><li>Exclusive to ASOS</li>,missing
13,https://www.asos.com/rare/rare-london-glitter-flare-trouser-co-ord/prd/13411675?clr=green&colourWayId=16541326&SearchQuery=&cid=2640,Rare,Rare London glitter flare trouser co ord,missing,"<li>Part of a co-ord set</li><li>Blazer sold separately</li>    <li>High rise&nbsp;</li>    <li><span style=""background-color: initial;"">Side-zip fastening</span></li><li>Flared shape</li><li>Cut with a skinny leg that flares at the knee</li>",missing
14,https://www.asos.com/weekday/weekday-regina-pu-wide-leg-trouser-in-black/prd/12969722?clr=black&colourWayId=16525683&SearchQuery=&cid=2640,Weekday,Weekday regina PU wide leg trouser in black,missing,"    <li>Easily dressed up or down</li><li>High-rise waist</li><li>Concealed fly</li><li>Functional pockets</li><li>Wide leg</li><li>Fitted at the top, flowing at the bottom</li>",missing
15,https://www.asos.com/asos-design/asos-design-slinky-co-ord-in-khaki/grp/26401?clr=khaki-green&colourWayId=16481197&SearchQuery=&cid=2640,Weekday,ASOS DESIGN slinky co-ord in khaki,missing,missing,missing
