web-scraper-order,web-scraper-start-url,link,link-href,title,price,description,material,size,style,colour,colour2
"1573254465-4433","https://www2.hm.com/en_us/women/products/dresses.html","Knit Cowl-neck Dress","https://www2.hm.com/en_us/productpage.0771829003.html","Knit Cowl-neck Dress","$49.99","Calf-length dress in a soft knit with wool content. Large cowl neck, dropped shoulders, and ribbing at cuffs and hem. Short slits at sides.","Acrylic 59%, Polyamide 36%, Wool 5%","Front: Length: 111.5 cm (Size M) – cm = unitofmeasure","STYLE
				
					Turtleneck
					Sweater Dress","Light beige melange","Light beige melange"
"1573243105-4126","https://www2.hm.com/en_us/women/products/dresses.html","Crêped Dress","https://www2.hm.com/en_us/productpage.0781833003.html","Crêped Dress","$17.99","Short dress in woven, crêped fabric. Round neckline, opening at back of neck with button, and concealed side zip. Long sleeves and narrow, elasticized cuffs with ruffle trim. Seam at waist and a circle skirt. Unlined.","Polyester 97%, Elastane 3%","Back: Length: 81.3 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Round Neck
					Keyhole","Dark green/white","Dark green/floral"
"1573244539-4164","https://www2.hm.com/en_us/women/products/dresses.html","Pleated Long Dress","https://www2.hm.com/en_us/productpage.0795052002.html","Pleated Long Dress","$69.99","Long dress in airy, woven fabric. Wrapover front, hook-and-eye fastener at neckline, concealed side zip, and gathers at shoulders. Long balloon sleeves with narrow, elasticized cuffs. Seam at waist with wide, pleated band, and flared, pleated skirt. Lined.","Lining: Viscose 100%","Back: Length: 128.0 cm (Size 8) – cm = unitofmeasure","STYLE
				
					Balloon Sleeve
					Wrapover
					V-neck","Light blue","Light blue"
"1573238711-4007","https://www2.hm.com/en_us/women/products/dresses.html","Mesh Dress","https://www2.hm.com/en_us/productpage.0847967002.html","Mesh Dress","$39.99","Calf-length dress in mesh with a low-cut back and long sleeves. Seam at waist, gently flared skirt, and raw edges at cuffs and hem. Jersey lining.","Lining: Polyester 100%","Back: Length: 124.6 cm (Size M) – cm = unitofmeasure","STYLE
				
					Plunge Back
					Round Neck","Black","Black"
"1573248636-4274","https://www2.hm.com/en_us/women/products/dresses.html","Dress with Ruffles","https://www2.hm.com/en_us/productpage.0794454001.html","Dress with Ruffles","$34.99","Short dress in airy chiffon with a printed pattern. Small, ruffle-trimmed stand-up collar with buttons at top and opening at front. Long sleeves with ruffle trim on shoulders and elasticized cuffs with decorative ties. Concealed zip at one side and flounce at hem. Jersey liner skirt.","Polyester 100%","Back: Length: 84.0 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Stand-up Collar","Black/pink/green","Black/floral"
"1573248709-4276","https://www2.hm.com/en_us/women/products/dresses.html","Wrap Dress","https://www2.hm.com/en_us/productpage.0685017008.html","Wrap Dress","$24.99","Short dress in soft viscose fabric with a printed pattern. V-neck, wrapover front with ties at waist, and long sleeves. Unlined.","Viscose 100%","Back: Length: 83.4 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Wrapover
					V-neck","Burgundy/black","Burgundy/patterned"
"1573227970-3699","https://www2.hm.com/en_us/women/products/dresses.html","Shirt Dress with Tie Belt","https://www2.hm.com/en_us/productpage.0747347001.html","Shirt Dress with Tie Belt","$34.99","Knee-length dress in soft denim. Collar, buttons at front, yoke at back, and removable tie belt at waist. Long sleeves with buttons at cuffs, chest pockets with flap, and rounded hem.","Viscose 73%, Lyocell 27%","Back: Length: 100.5 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Shirt Dress
					Turn-down Collar","Black denim","Black denim"
"1573247885-4254","https://www2.hm.com/en_us/women/products/dresses.html","Velour Dress","https://www2.hm.com/en_us/productpage.0810849002.html","Velour Dress","$49.99","Short dress in soft velour with a round neckline. Low-cut opening at back with concealed button at back of neck. Dropped shoulders and short, wide sleeves. Seam at waist and gathers at sides of skirt for a snug fit. Jersey lining.","Polyester 90%, Elastane 10%","Back: Length: 85.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					Round Neck
					Keyhole","Black","Black"
"1573254933-4446","https://www2.hm.com/en_us/women/products/dresses.html","Knit Turtleneck Dress","https://www2.hm.com/en_us/productpage.0820873004.html","Knit Turtleneck Dress","$39.99","Wide-cut, calf-length dress in a soft, knit fabric. Ribbed turtleneck, dropped shoulders, and long, wide sleeves. Ribbing at cuffs and hem. Slits at sides.","Polyester 46%, Acrylic 42%, Polyamide 12%","Midi","STYLE
				
					Turtleneck
					Sweater Dress","Dark gray","Dark gray"
"1573242544-4111","https://www2.hm.com/en_us/women/products/dresses.html","Chiffon Dress","https://www2.hm.com/en_us/productpage.0705955004.html","Chiffon Dress","$49.99","Short dress in airy, crinkled chiffon with lace details. Opening at back with crossover lacing, concealed side zip, and long sleeves. Small opening at cuffs with ties, seam at waist, and gently flared circle skirt with scalloped lace trim at hem. Partly lined.","Polyester 100%","Short","","White","White"
"1573227481-3684","https://www2.hm.com/en_us/women/products/dresses.html","Fitted Dress","https://www2.hm.com/en_us/productpage.0785787001.html","Fitted Dress","$34.99","Fitted, knee-length, sleeveless dress in woven stretch fabric. Round neckline, concealed zip at back, seam at waist, and close-fitting skirt with decorative buttons and slit at front of hem. Unlined.","Polyester 72%, Viscose 22%, Elastane 6%","Back: Length: 105.0 cm (Size 8) – cm = unitofmeasure","STYLE
				
					Round Neck","Dark green/gold-colored","Dark green"
"1573246959-4228","https://www2.hm.com/en_us/women/products/dresses.html","Lace V-neck Dress","https://www2.hm.com/en_us/productpage.0835225001.html","Lace V-neck Dress","$59.99","Calf-length dress in lace with V-neck at front and back. Seam at waist and a circle skirt. Partly lined.","Lace: Polyamide 93%, Elastane 7%","Sleeve: Length: 58.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					V-neck","Emerald green","Emerald green"
"1573232625-3837","https://www2.hm.com/en_us/women/products/dresses.html","A-line Dress","https://www2.hm.com/en_us/productpage.0629381012.html","A-line Dress","$17.99","Sleeveless, A-line dress in jersey. Double layer at top, slightly deeper armholes, and side-seam pockets.","Viscose 100%","Short","STYLE
				
					A-line
					Round Neck","Burgundy","Burgundy"
"1573245028-4177","https://www2.hm.com/en_us/women/products/dresses.html","Shirt Dress with Tie Belt","https://www2.hm.com/en_us/productpage.0691177005.html","Shirt Dress with Tie Belt","$29.99","Short shirt dress in softly draped woven fabric with a sheen. Collar, concealed buttons at front, removable tie belt at waist, and long sleeves with buttons at cuffs. Rounded hem. Unlined.","Polyester 100%","Sleeve: Length: 61.0 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Shirt Dress","Dusty rose","Dusty rose"
"1573249601-4300","https://www2.hm.com/en_us/women/products/dresses.html","Crêped Dress","https://www2.hm.com/en_us/productpage.0794566002.html","Crêped Dress","$59.99","Calf-length dress in woven, crêped fabric with a printed pattern. Round neckline with gathers at front and concealed zip at back. Long sleeves with covered buttons at cuffs, seam at waist, and a gently flared skirt. Lined.","Lining: Polyester 100%","Shoulder: Width: 39.6 cm (Size 8) – cm = unitofmeasure","STYLE
				
					Round Neck","Black/red/light beige","Black/floral"
"1573231818-3809","https://www2.hm.com/en_us/women/products/dresses.html","Ribbed Maxi Dress","https://www2.hm.com/en_us/productpage.0779902006.html","Ribbed Maxi Dress","$39.99","Wide-cut dress in ribbed jersey. V-neck at front and back and narrow, tie-top shoulder straps.","Polyester 97%, Elastane 3%","Inner leg: Length: 133.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					Plunge Back
					V-neck","Yellow","Yellow"
"1573239674-4034","https://www2.hm.com/en_us/women/products/dresses.html","Sleeveless Dress","https://www2.hm.com/en_us/productpage.0666354006.html","Sleeveless Dress","$24.99","Sleeveless dress in crêped jersey. Pleats at front of neckline, opening at top with a button, and a removable tie belt at waist. Unlined.","Polyester 93%, Elastane 7%","Back: Length: 137.0 cm (Size M) – cm = unitofmeasure","","Dark blue/white","Dark blue/patterned"
"1573248928-4282","https://www2.hm.com/en_us/women/products/dresses.html","Puff-sleeved Velour Dress","https://www2.hm.com/en_us/productpage.0835045003.html","Puff-sleeved Velour Dress","$49.99","Short, fitted dress in crinkled velour with a stand-up collar and concealed zip at back. Long puff sleeves with reinforced organza shoulder sections for added volume and a pleat at cuffs.","Polyester 93%, Elastane 7%","Short","STYLE
				
					Puff Sleeve
					Stand-up Collar","Black","Black"
