web-scraper-order,web-scraper-start-url,link,link-href,title,price,description,material,size,style,colour,colour2
"1573262114-4900","https://www2.hm.com/en_us/women/products/tops.html","Top with Lacing","https://www2.hm.com/en_us/productpage.0760806001.html","Top with Lacing","$17.99","Fitted top in ribbed cotton jersey. Opening at back with lacing and lace embroidery. Short sleeves with overlocked edges.","Cotton 95%, Elastane 5%","Short sleeve","STYLE
				
					Round Neck","Natural white","Natural white"
"1573262561-5042","https://www2.hm.com/en_us/women/products/tops.html","Tie-sleeve Linen Top","https://www2.hm.com/en_us/productpage.0708471006.html","Tie-sleeve Linen Top","$17.99","PREMIUM QUALITY. V-neck top in airy linen slub jersey. Short dolman sleeves with slit and ties. Straight-cut hem.","Linen 100%","Back: Length: 62.0 cm (Size M) – cm = unitofmeasure","STYLE
				
					Dolman Sleeve
					V-neck","Beige","Beige"
"1573262731-5097","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0688558010.html","Ribbed Top","$12.99","Fitted top in soft, ribbed jersey with long sleeves.","Cotton 91%, Elastane 9%","Long sleeve","","Light gray melange","Light gray melange"
"1573263958-5466","https://www2.hm.com/en_us/women/products/tops.html","V-neck Jersey Top","https://www2.hm.com/en_us/productpage.0772773008.html","V-neck Jersey Top","$4.99","CONSCIOUS. Fitted top in soft, organic cotton jersey with a V-neck and short sleeves.","Cotton 95%, Elastane 5%","Short sleeve","STYLE
				
					V-neck","Plum red","Plum red"
"1573262343-4974","https://www2.hm.com/en_us/women/products/tops.html","Off-the-shoulder Top","https://www2.hm.com/en_us/productpage.0708394008.html","Off-the-shoulder Top","$14.99","Fitted, off-the-shoulder top in soft viscose-blend jersey with long sleeves. V-neck at front and back.","Viscose 90%, Elastane 10%","Long sleeve","STYLE
				
					Off-the-shoulder","Red/dark red/black","Red/leopard print"
"1573263169-5222","https://www2.hm.com/en_us/women/products/tops.html","Cotton T-shirt","https://www2.hm.com/en_us/productpage.0678342025.html","Cotton T-shirt","$5.99","Fitted T-shirt in soft cotton jersey. Slightly wider neckline with narrow ribbing.","Cotton 95%, Elastane 5%","Short sleeve","","Dusky pink/black/white","Dusky pink/black striped"
"1573260771-4499","https://www2.hm.com/en_us/women/products/tops.html","Top with Beaded Fringe","https://www2.hm.com/en_us/productpage.0782103001.html","Top with Beaded Fringe","$79.99","LIMITED EDITION. Straight-cut, double-layer top in airy, crêped fabric made from a viscose and chiffon blend with zigzag edges. Concealed zip at back, round neckline, and semi-attached, beaded fringe at top. Slightly longer at back.","Lining: Polyester 100%","Sleeveless","STYLE
				
					Round Neck","Light beige","Light beige"
"1573261870-4826","https://www2.hm.com/en_us/women/products/tops.html","Ribbed Top","https://www2.hm.com/en_us/productpage.0762762001.html","Ribbed Top","$12.99","Short-sleeved top in airy, ribbed jersey with a stand-up collar. Straight-cut hem.","Polyester 55%, Viscose 45%","Short sleeve","STYLE
				
					Stand-up Collar","Light khaki green","Light khaki green"
"1573261965-4854","https://www2.hm.com/en_us/women/products/tops.html","T-shirt with Printed Design","https://www2.hm.com/en_us/productpage.0766728011.html","T-shirt with Printed Design","$17.99","Straight-cut T-shirt in soft cotton jersey with a printed design. Dropped shoulders.","Cotton 100%","Short sleeve","STYLE
				
					Round Neck","Light purple/black","Light purple/Ariana Grande"
"1573262186-4924","https://www2.hm.com/en_us/women/products/tops.html","Oversized T-shirt","https://www2.hm.com/en_us/productpage.0735735006.html","Oversized T-shirt","$14.99","Oversized T-shirt in lightweight sweatshirt fabric with a round neckline and heavily dropped shoulders.","Cotton 85%, Polyester 15%","Short sleeve","STYLE
				
					Round Neck","Beige/white/black","Beige/white striped"
"1573263978-5472","https://www2.hm.com/en_us/women/products/tops.html","Pleated Top","https://www2.hm.com/en_us/productpage.0752945002.html","Pleated Top","$29.99","Top in soft, pleated jersey with a slight sheen. V-neck, sewn wrapover at front, and an elasticized seam at waist with a removable tie belt. Long balloon sleeves with covered elastication at cuffs.","Polyester 100%","Long sleeve","STYLE
				
					Balloon Sleeve
					Wrapover
					V-neck","Dark green","Dark green"
"1573263690-5386","https://www2.hm.com/en_us/women/products/tops.html","Jersey T-shirt","https://www2.hm.com/en_us/productpage.0717490017.html","Jersey T-shirt","$4.99","T-shirt in soft jersey made from a cotton and viscose blend.","Viscose 50%, Cotton 50%","Short sleeve","STYLE
				
					Round Neck","Powder pink/black","Powder pink/heart"
"1573262448-5007","https://www2.hm.com/en_us/women/products/tops.html","Short T-shirt","https://www2.hm.com/en_us/productpage.0753255002.html","Short T-shirt","$9.99","Short, wide-cut T-shirt in soft cotton jersey with a ribbed neckline and dropped shoulders.","Cotton 100%","Short","STYLE
				
					Round Neck","White/dark blue/red","White/color-block"
"1573262614-5059","https://www2.hm.com/en_us/women/products/tops.html","Off-the-shoulder Top","https://www2.hm.com/en_us/productpage.0837028002.html","Off-the-shoulder Top","$17.99","Fitted, off-the-shoulder top in ribbed, fine-knit fabric with wide lace trim at upper edge. Long sleeves.","Polyester 100%","Long sleeve","STYLE
				
					Off-the-shoulder","Dark red","Dark red"
"1573262211-4932","https://www2.hm.com/en_us/women/products/tops.html","V-neck Camisole Top","https://www2.hm.com/en_us/productpage.0712216005.html","V-neck Camisole Top","$14.99","Camisole top in woven fabric with a V-neck and extra-narrow shoulder straps.","Polyester 100%","Sleeveless","STYLE
				
					Camisole Top
					V-neck","Cream","Cream"
