web-scraper-order,web-scraper-start-url,link,link-href,category,title,price,description,style id,colour,material,manufacturing,detailed
"1573356023-16016","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear Tech Pack","https://www.nike.com/sg/t/sportswear-tech-pack-skirt-1CRJX2/939484-010","Women's Skirt","Nike Sportswear Tech Pack","$105","Designed to move with your body, the Nike Sportswear Tech Pack Women's Skirt is made from soft, double-knit fabric in a mid-length silhouette that falls at the calves.","Style: 939484-010","Colour Shown: Black/Black","Large front pocket","Style: 939484-010","SLEEK LOOK. LIGHTWEIGHT WARMTH.
Designed to move with your body, the Nike Sportswear Tech Pack Women's Skirt is made from soft, double-knit fabric in a mid-length silhouette that falls at the calves.
BenefitsDouble-knit fabric is soft and lightweightElastic waistband with exterior drawcord for a personalised fitLarge front pocket
Product DetailsFabric: 55% cotton/37% rayon/8% elastaneMachine washImportedColour Shown: Black/BlackStyle: 939484-010Country/Region of Origin: China"
"1573356529-16112","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear","https://www.nike.com/sg/t/sportswear-woven-trousers-3L2cL2/AR2812-010","Women's Woven Trousers","Nike Sportswear","$89","Show off your kicks with the Nike Sportswear Women's Woven Trousers. Made from woven taffeta fabric, their elastic waistband and cuffs provide a snug fit where you need it.","Style: AR2812-010","Colour Shown: Black/White/White","Elastic waistband with drawcord is snug and comfortable.","null","WOVEN COMFORT.
Show off your kicks with the Nike Sportswear Women's Woven Trousers. Made from woven taffeta fabric, their elastic waistband and cuffs provide a snug fit where you need it.
BenefitsWoven taffeta fabric is smooth and durable.Elastic cuffs help you show off your kicks.Elastic waistband with drawcord is snug and comfortable.
Product DetailsStandard fit for a relaxed, easy feelFabric: 100% polyesterMachine washImportedColour Shown: Black/White/WhiteStyle: AR2812-010Country/Region of Origin: China"
"1573356018-16015","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Everyday Cushioned","https://www.nike.com/sg/t/everyday-cushioned-training-crew-socks-C9K1QH/SX7664-901","Training Crew Socks (3 Pairs)","Nike Everyday Cushioned","$19","Power through your workout with the Nike Everyday Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while a ribbed arch band wraps your midfoot for a supportive feel.","Style: SX7664-901","Colour Shown: Multi-Colour","Ribbed arch band offers a supportive feel.","null","COMFORT AND SUPPORT.
Power through your workout with the Nike Everyday Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while a ribbed arch band wraps your midfoot for a supportive feel.
BenefitsDri-FIT Technology helps keep your feet dry and comfortable.Thick terry sole provides comfort and impact absorption.Ribbed arch band offers a supportive feel.Crew silhouette covers your ankle and lower calf.
Product DetailsFabric: 69% cotton/28% polyester/2% elastane/1% nylonMachine washImportedColour Shown: Multi-ColourStyle: SX7664-901Country/Region of Origin: Sri Lanka"
"1573356575-16121","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Tottenham Hotspur 2019/20 Stadium Third","https://www.nike.com/sg/t/tottenham-hotspur-2019-20-stadium-third-football-shirt-J5jb47/AT0036-487","Football Shirt","Tottenham Hotspur 2019/20 Stadium Third","$115","The Tottenham Hotspur Stadium Third Football Shirt features team details on highly breathable fabric to help keep you cool and dry on the pitch or in the stands cheering for your team. A linear graphic depicts the club's nickname ""Spurs"" for iconic throwback pride.","Style: AT0036-487","Colour Shown: Blue Fury/Binary Blue","Signature Spurs details highlight your pride.","null","PRIDE AND PERFORMANCE.
The Tottenham Hotspur Stadium Third Football Shirt features team details on highly breathable fabric to help keep you cool and dry on the pitch or in the stands cheering for your team. A linear graphic depicts the club's nickname ""Spurs"" for iconic throwback pride.
BenefitsNike Breathe fabric helps you stay dry and cool.Dri-FIT Technology helps keep you dry and comfortable.Signature Spurs details highlight your pride.
Product DetailsStandard fit for a relaxed, easy feelFabric: 100% recycled polyesterMachine washImportedColour Shown: Blue Fury/Binary BlueStyle: AT0036-487Country/Region of Origin: Thailand"
"1573356725-16149","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike","https://www.nike.com/sg/t/3-4-running-crops-nNsLp4/BV0039-010","Women's 3/4 Running Crops","Nike","$69","The Nike 3/4 Running Crops give you form-fitting support and sweat-wicking coverage. Cropped length frees up your ankles, while a tight fit feels secure as miles go by. A mesh back panel adds breathable comfort.","Style: BV0039-010","Colour Shown: Black","3/4 cropped length falls above the ankle.","Country/Region of Origin: Sri Lanka","STRETCH FOR THE SPRINT.
The Nike 3/4 Running Crops give you form-fitting support and sweat-wicking coverage. Cropped length frees up your ankles, while a tight fit feels secure as miles go by. A mesh back panel adds breathable comfort.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focused.Blend of elastane and polyester fabrics gives you plenty of stretch.3/4 cropped length falls above the ankle.Mesh back panel enhances breathability.Wide, high waistband helps you feel supported with every move.
Product DetailsCompressive feelTight fitFabric: Body: 83% polyester/17% elastane. Mesh: 81% nylon/19% elastane. Gusset lining: 100% recycled polyester.Machine washImportedColour Shown: BlackStyle: BV0039-010Country/Region of Origin: Sri Lanka"
"1573356699-16144","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike","https://www.nike.com/sg/t/training-tank-hvl8wR/BV4372-021","Women's Training Tank","Nike","$49","Perfect for yoga, the Nike Women's Training Tank provides a little extra coverage for increased mobility and comfort during light training and all kinds of stretching.","Style: BV4372-021","Colour Shown: Dark Grey/Heather/White","Nike Dri-FIT Technology helps you stay dry, comfortable and focused.","null","EXCELLENT COVERAGE AND MOBILITY, PERFECT FOR ANY POSE.
Perfect for yoga, the Nike Women's Training Tank provides a little extra coverage for increased mobility and comfort during light training and all kinds of stretching.
BenefitsSoftly ruched shoulder straps for comfort as you move.Split hem at the back provides both coverage and mobility.Nike Dri-FIT Technology helps you stay dry, comfortable and focused.
Product DetailsCrew neckFabric: 100% polyesterMachine washImportedColour Shown: Dark Grey/Heather/WhiteStyle: BV4372-021Country/Region of Origin: Vietnam"
"1573356445-16096","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike ACG 365","https://www.nike.com/sg/t/acg-365-crew-socks-5LVR9X/SK0156-901","Crew Socks (2 Pairs)","Nike ACG 365","$45","Gear up for your outdoor adventure with the plush cushioning of the Nike ACG 365 Crew Socks.","Style: SK0156-901","Colour Shown: Multi-Colour","Imported","null","ALL-CONDITIONS SOCKS.
Gear up for your outdoor adventure with the plush cushioning of the Nike ACG 365 Crew Socks.
BenefitsSweat-wicking fabric helps keep your feet dry and comfortable.Strategic cushioning and arch band give you a supportive feel.
Product Details40% polyester/28% nylon/24% wool/8% elastaneMachine washImportedColour Shown: Multi-ColourStyle: SK0156-901Country/Region of Origin: Bulgaria"
"1573355997-16011","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike x Marine Serre","https://www.nike.com/sg/t/marine-serre-2-in-1-shirt-cCZXR1/CJ5934-838","Women's 2-In-1 Shirt","Nike x Marine Serre","$399","The Nike x Marine Serre 2-In-1 Shirt brings hybrid fashion to the pitch. Designer Marine Serre delivers her distinctive approach by placing an elongated shirt over a bodysuit, combining French couture with sportswear heritage to unite cross-cultural visions.","Style: CJ5934-838","Colour Shown: Guava Ice/Green Strike/Black","A reflective Swoosh design trademark and moon graphic are printed throughout the bodysuit.","Colour Shown: Guava Ice/Green Strike/Black","A HYBRID CELEBRATION OF SPORT AND CULTURE.
The Nike x Marine Serre 2-In-1 Shirt brings hybrid fashion to the pitch. Designer Marine Serre delivers her distinctive approach by placing an elongated shirt over a bodysuit, combining French couture with sportswear heritage to unite cross-cultural visions.
BenefitsThe knit fabric with Dri-FIT Technology helps you stay dry and comfortable.The shirt has an elongated hem for extended coverage.A reflective Swoosh design trademark and moon graphic are printed throughout the bodysuit.
Product DetailsFold-down collarRibbed cuffs on the shirtMarine Serre crest on the left chestNumber with iridescent Marine Serre logo and Swoosh design trademark at the backFabric: Shirt: 100% polyester. Bodysuit: 84% polyester/16% elastane.Machine washImportedColour Shown: Guava Ice/Green Strike/BlackStyle: CJ5934-838Country/Region of Origin: China"
"1573356752-16154","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear","https://www.nike.com/sg/t/sportswear-popper-trousers-qs3dFM/CI9973-010","Women's Popper Trousers","Nike Sportswear","$99","Get it started with the Nike Sportswear Popper Trousers, an old-school design rejuvenated with modern details. Wide legs let you move, while side press studs offer multiple styling options.","Style: CI9973-010","Colour Shown: Black/White/White","Knit fabric has a shiny look and a smooth feel.","Country/Region of Origin: Thailand","READY TO POP.
Get it started with the Nike Sportswear Popper Trousers, an old-school design rejuvenated with modern details. Wide legs let you move, while side press studs offer multiple styling options.
BenefitsThe design is a throwback to old-school basketball wear.Press studs along the sides allow easy on and off.Knit fabric has a shiny look and a smooth feel.A cinched elastic waistband with a drawcord lets you adjust the fit.
Product DetailsLoose fit for an oversized, roomy feelSide pockets100% polyesterMachine washImportedColour Shown: Black/White/WhiteStyle: CI9973-010Country/Region of Origin: Thailand"
"1573356652-16135","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Everyday Max Cushioned","https://www.nike.com/sg/t/everyday-max-cushioned-training-crew-socks-LBRyLg/SX5547-100","Training Crew Socks (3 Pairs)","Nike Everyday Max Cushioned","$29","Break through your ceiling with the Nike Everyday Max Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while high-friction yarns in the footbed reduce slippage.","Style: SX5547-100","Colour Shown: White/Wolf Grey/Black","High-friction yarn in the footbed helps reduce slippage.","null","COMFORT AND SUPPORT.
Break through your ceiling with the Nike Everyday Max Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while high-friction yarns in the footbed reduce slippage.
BenefitsDri-FIT Technology helps you stay dry and comfortable.Thick terry sole delivers comfort and impact cushioning.High-friction yarn in the footbed helps reduce slippage.Mesh fabric at the top of the foot offers ventilation.Crew silhouette delivers a comfortable fit around the ankle.Anatomically correct left and right socks are designed for a natural fit.
Product Details76% polyester/13% cotton/9% nylon/2% elastaneMachine washImportedColour Shown: White/Wolf Grey/BlackStyle: SX5547-100Country/Region of Origin: Pakistan,Sri Lanka"
