,url,brand,title,price,description,colour
0,https://www.runwaybandits.com/product/clothes/dresses/resa-dress-sky,Runway Bandits,RESA DRESS,SGD $49.00,"Faux wrap designs are a highly popular feature in both blouses and dresses, and it’s not hard to see why. The","COLOUR:
SKY"
1,https://www.runwaybandits.com/product/clothes/dresses/ninya-dress-blush,Runway Bandits,NINYA DRESS,SGD $49.00,"Long, flowy, and feminine, the","COLOUR:
BLUSH"
2,https://www.runwaybandits.com/product/clothes/dresses/resa-dress-dark-pine-green,Runway Bandits,RESA DRESS,SGD $49.00,"Faux wrap designs are a highly popular feature in both blouses and dresses, and it’s not hard to see why. The","COLOUR:
DARK PINE GREEN"
3,https://www.runwaybandits.com/product/clothes/dresses/jireh-dress-navy,Runway Bandits,JIREH DRESS,SGD $42.00,Think of the,"COLOUR:
NAVY"
4,https://www.runwaybandits.com/product/clothes/tops/gilbet-shirt-emerald,Runway Bandits,GILBET SHIRT,SGD $33.00,"Everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the","COLOUR:
EMERALD"
5,https://www.runwaybandits.com/product/clothes/dresses/nava-dress-black,Runway Bandits,NAVA DRESS,SGD $39.00,"Easy and breathable, the","COLOUR:
BLACK"
6,https://www.runwaybandits.com/product/clothes/tops/breno-top-khaki,Runway Bandits,BRENO TOP,SGD $30.00,Textured sleeveless button-down top.,"COLOUR:
KHAKI"
7,https://www.runwaybandits.com/product/clothes/tops/greta-tee-black,Runway Bandits,GRETA TEE,SGD $26.00,Basic round neck tee.,"COLOUR:
BLACK"
8,https://www.runwaybandits.com/product/clothes/dresses/oriel-dress-navy,Runway Bandits,ORIEL DRESS,SGD $34.00,Short-sleeved collared dress with tortoiseshell buttons and a self-tie sash.,"COLOUR:
NAVY"
9,https://www.runwaybandits.com/product/clothes/tops/gilbet-shirt-white,Runway Bandits,GILBET SHIRT,SGD $33.00,"Everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the","COLOUR:
WHITE"
10,https://www.runwaybandits.com/product/clothes/dresses/nava-dress-cinnamon,Runway Bandits,NAVA DRESS,SGD $39.00,"Easy and breathable, the","COLOUR:
CINNAMON"
11,https://www.runwaybandits.com/product/clothes/tops/gilbet-shirt-maroon,Runway Bandits,GILBET SHIRT,SGD $33.00,"Everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the","COLOUR:
MAROON"
12,https://www.runwaybandits.com/product/clothes/dresses/nava-dress-navy,Runway Bandits,NAVA DRESS,SGD $39.00,"Easy and breathable, the","COLOUR:
NAVY"
13,https://www.runwaybandits.com/product/clothes/tops/gilbet-shirt-black,Runway Bandits,GILBET SHIRT,SGD $33.00,"Everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the","COLOUR:
BLACK"
14,https://www.runwaybandits.com/product/clothes/dresses/nava-dress-olive,Runway Bandits,NAVA DRESS,SGD $39.00,"Easy and breathable, the","COLOUR:
OLIVE"
15,https://www.runwaybandits.com/product/clothes/tops/gilbet-shirt-navy,Runway Bandits,GILBET SHIRT,SGD $33.00,"Everybody needs a basic long-sleeved button-down shirt in their wardrobe and if you don’t already have one, why not consider the","COLOUR:
NAVY"
16,https://www.runwaybandits.com/product/clothes/dresses/jireh-dress-black,Runway Bandits,JIREH DRESS,SGD $42.00,Think of the,"COLOUR:
BLACK"
17,https://www.runwaybandits.com/product/clothes/dresses/ninya-dress-sky,Runway Bandits,NINYA DRESS,SGD $49.00,"Long, flowy, and feminine, the","COLOUR:
SKY"
18,https://www.runwaybandits.com/product/clothes/dresses/resa-dress-blush,Runway Bandits,RESA DRESS,SGD $49.00,"Faux wrap designs are a highly popular feature in both blouses and dresses, and it’s not hard to see why. The","COLOUR:
BLUSH"
19,https://www.runwaybandits.com/product/clothes/dresses/ninya-dress-dark-pine-green,Runway Bandits,NINYA DRESS,SGD $49.00,"Long, flowy, and feminine, the","COLOUR:
DARK PINE GREEN"
20,https://www.runwaybandits.com/product/clothes/dresses/haberly-dress-coral-pink,Runway Bandits,HABERLY DRESS,SGD $43.00,The,"COLOUR:
CORAL PINK"
21,https://www.runwaybandits.com/product/clothes/dresses/lila-dress-slate-blue,Runway Bandits,LILA DRESS,SGD $40.00,The,"COLOUR:
SLATE BLUE"
22,https://www.runwaybandits.com/product/clothes/dresses/ilya-dress-navy,Runway Bandits,ILYA DRESS,SGD $40.00,"Inspired by Japanese origami, the","COLOUR:
NAVY"
23,https://www.runwaybandits.com/product/clothes/dresses/haberly-dress-casper-blue,Runway Bandits,HABERLY DRESS,SGD $43.00,The,"COLOUR:
CASPER BLUE"
24,https://www.runwaybandits.com/product/clothes/dresses/lila-dress-black,Runway Bandits,LILA DRESS,SGD $40.00,The,"COLOUR:
BLACK"
25,https://www.runwaybandits.com/product/clothes/dresses/haberly-dress-maroon,Runway Bandits,HABERLY DRESS,SGD $43.00,The,"COLOUR:
MAROON"
26,https://www.runwaybandits.com/product/clothes/dresses/ilya-dress-black,Runway Bandits,ILYA DRESS,SGD $40.00,"Inspired by Japanese origami, the","COLOUR:
BLACK"
27,https://www.runwaybandits.com/product/clothes/dresses/lila-dress-contessa,Runway Bandits,LILA DRESS,SGD $40.00,The,"COLOUR:
CONTESSA"
28,https://www.runwaybandits.com/product/clothes/dresses/haberly-dress-navy,Runway Bandits,HABERLY DRESS,SGD $43.00,The,"COLOUR:
NAVY"
29,https://www.runwaybandits.com/product/clothes/dresses/ilya-dress-teal,Runway Bandits,ILYA DRESS,SGD $40.00,"Inspired by Japanese origami, the","COLOUR:
TEAL"
30,https://www.runwaybandits.com/product/clothes/pants/rilter-trousers-white,Runway Bandits,RILTER TROUSERS,SGD $38.00,"A wide-legged silhouette accented with edgy frays, the Rilter Trousers are crafted from cotton-twill. This pair is tailored to sit flatteringly at the waist; highlights include a silver button closure and functional pockets. We like it best paired with platform sneakers for a boyish look.
Due to the nature of the fabric, slubs, dark spots and lines are present and are not considered as defects.","COLOUR:
WHITE"
31,https://www.runwaybandits.com/product/clothes/pants/cybil-culottes-oatmeal,Runway Bandits,CYBIL CULOTTES,SGD $40.00,"Sitting high on your waist, the","COLOUR:
OATMEAL"
32,https://www.runwaybandits.com/product/clothes/dresses/libby-dress-sky,Runway Bandits,LIBBY DRESS,SGD $45.00,The,"COLOUR:
SKY"
33,https://www.runwaybandits.com/product/clothes/pants/tulsi-culottes-white,Runway Bandits,TULSI CULOTTES,SGD $39.00,"is a pair of wide-legged culottes that sits high on your waist while giving your form some shape. Tailored from wrinkle-resistant polyester blend, this uber sleek piece not only holds the A-line silhouette perfectly, but also ensures that your outfit looks office-appropriate no matter what. Highlights include a concealed back zip and two pressed vertical pleats that give it some dimension. Go for that girl boss look with a crisp white button-down.","COLOUR:
WHITE"
34,https://www.runwaybandits.com/product/clothes/pants/cybil-culottes-olive,Runway Bandits,CYBIL CULOTTES,SGD $40.00,"Sitting high on your waist, the","COLOUR:
OLIVE"
35,https://www.runwaybandits.com/product/clothes/dresses/libby-dress-dark-pine-green,Runway Bandits,LIBBY DRESS,SGD $45.00,The,"COLOUR:
DARK PINE GREEN"
36,https://www.runwaybandits.com/product/clothes/dresses/lyon-dress-white,Runway Bandits,LYON DRESS,SGD $42.00,"Cut from breathable cotton-blend, the Lyon Dress is one maxi style that we foresee ourselves reaching out for when it’s warm out. Its design is simple – a long column silhouette coupled with a classic round neckline – save for a slanted seam near the hem that adds a bit of dimension to the piece. Lined, we suggest you not pass up on this number.","COLOUR:
WHITE"
37,https://www.runwaybandits.com/product/clothes/tops/finnes-top-black,Runway Bandits,FINNES TOP,SGD $32.00,Business in front and back in the back – that’s one way we’d describe the,"COLOUR:
BLACK"
38,https://www.runwaybandits.com/product/clothes/tops-clothes/outerwear/melio-shirt-barn-red,Runway Bandits,MELIO SHIRT,SGD $38.00,Say hi to the,"COLOUR:
BARN RED"
