web-scraper-order,web-scraper-start-url,link,link-href,title,price,color,description,material
"1573665094-2724","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN V Neck Long Sleeve Long Shirt Dress","https://www.uniqlo.com/sg/store/women-v-neck-long-sleeve-long-shirt-dress-4232650006.html","WOMEN V Neck Long Sleeve Long Shirt Dress","S$29.90","Color: COL31 BEIGE","Perfect for layering. Our elegant shirt dress with a lovely sheen.
- Glossy material creates a sophisticated impression. 
- Versatile design can be styled up or down. 
- Can also be worn as a long outer layer with the buttons undone.



                            
                                                
                          
                              MATERIAL
                100% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","100% Polyester"
"1573665702-2965","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Cotton Oversized Short Sleeve Tunic","https://www.uniqlo.com/sg/store/women-cotton-oversized-short-sleeve-tunic-4227510021.html","WOMEN Cotton Oversized Short Sleeve Tunic","S$19.90","Color: COL00 WHITE","Oversized tunic length with an on-trend straight silhouette.
- Pairs well with a variety of bottoms.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold, gentle cycle","100% Cotton"
"1573665885-3031","https://www.uniqlo.com/sg/store/women/outerwear/view-all-outerwear.html","WOMEN Disney Stories Long Sleeve Hooded Sweatshirt","https://www.uniqlo.com/sg/store/women-disney-stories-long-sleeve-hooded-sweatshirt-4264450006.html","WOMEN Disney Stories Long Sleeve Hooded Sweatshirt","S$39.90","Color: COL64 Blue","Disney Stories

We all have had the experience of reading a storybook when we were young; “Disney Stories” will bring those memories back to us. We hope that everyone, regardless of gender or generation, will remember their own stories through this collection and pass these experiences to the next generation.

©Disney


                            
                                                
                          
                              MATERIAL
                Body: 76% Cotton, 24% Polyester/ Rib: 78% Cotton, 22% Polyester/ Exclusive　Of　Decoration


                            
                              CARE
                Body: 76% Cotton, 24% Polyester/ Rib: 78% Cotton, 22% Polyester/ Exclusive　Of　Decoration","Body: 76% Cotton, 24% Polyester/ Rib: 78% Cotton, 22% Polyester/ Exclusive　Of　Decoration"
"1573664739-2590","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN HEATTECH Socks 2 Pairs (Striped)","https://www.uniqlo.com/sg/store/women-heattech-socks-2-pairs-striped-4207370003.html","WOMEN HEATTECH Socks 2 Pairs (Striped)","S$14.90","Color: COL08 DARK GRAY","Our toasty, high-performance HEATTECH socks. In stylish colors and patterns.
- With deodorizing, bio-warming, insulating, anti-microbial, anti-odor, and moisturizing comfort features.
- Smooth, premium feel.
- Two-pair set with simple striped and ribbed-knit designs.
- Heel-hugging for a secure fit.


                            
                                                
                          
                              MATERIAL
                Stripe: 38% Acrylic, 23% Polyester, 21% Rayon, 16% Nylon, 2% Spandex/ Ribbed: 45% Acrylic, 27% Polyester, 25% Rayon, 3% Spandex


                            
                              CARE
                Machine wash cold","Stripe: 38% Acrylic, 23% Polyester, 21% Rayon, 16% Nylon, 2% Spandex/ Ribbed: 45% Acrylic, 27% Polyester, 25% Rayon, 3% Spandex"
"1573665942-3053","https://www.uniqlo.com/sg/store/women/outerwear/view-all-outerwear.html","WOMEN Cashmere Crew Neck Sweater","https://www.uniqlo.com/sg/store/women-cashmere-crew-neck-sweater-4186760025.html","WOMEN Cashmere Crew Neck Sweater","S$149.90","Color: COL01 OFF WHITE","Luxurious 100% cashmere. Superior softness with an on-trend design.
- Made from 100% cashmere, the “jewel of fabrics.”
- Produced with a rigorous quality control process to achieve next-level comfort.
- Newly updated with a relaxed silhouette.
- The hem has been updated for a natural, rounded look.
- Streamlined collar ribbing complements the premium feel.
- We’ve updated the neckline to create a slightly more casual style.
- A timeless wardrobe essential.


                            
                                                
                          
                              MATERIAL
                100% Cashmere


                            
                              CARE
                Dry Clean","100% Cashmere"
"1573665407-2848","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Keith Haring UT (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/women-ut-keith-haring-short-sleeve-graphic-t-shirt-4222830004.html","WOMEN Keith Haring UT (Short Sleeve Graphic T-Shirt)","S$9.90","Color: COL11 PINK","PARTY OF LIFE

This collection celebrates the invitations that iconic artist, Keith Haring, made for parties and events in NYC during the 1980s. From Party of Life, to events at the Paradise Garage, which was a muse for Keith's energetic work, we hope you enjoy these special designs.

Keith Haring

A key figure in New York's East Village scene in the late 1970s and 80s, American artist Keith Haring's artwork populated not only art galleries, but also the city's subways, streets, and sidewalks. His work often combined an iconographic vocabulary, including hearts, flying saucers, winged figures, and a crawling “radiant baby,” with abstract marks and patterning.

© Keith Haring Foundation. Licensed by Artestar, New York.


                            
                                                
                          
                              MATERIAL
                60% Cotton, 40% Modal/ Exclusive of Decoration


                            
                              CARE
                Machine wash cold, gentle cycle","60% Cotton, 40% Modal/ Exclusive of Decoration"
"1573665753-2986","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Rayon Stand Collar 3/4 Sleeve Blouse","https://www.uniqlo.com/sg/store/women-rayon-stand-collar-34-sleeve-blouse-4183950015.html","WOMEN Rayon Stand Collar 3/4 Sleeve Blouse","S$29.90","Color: COL00 WHITE","A modern classic with a relaxed look and feel.
- Wrinkle-resistant material for easy care.
- Relaxed stand collar and skipper neck design.


                            
                                                
                          
                              MATERIAL
                76% Rayon, 24% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","76% Rayon, 24% Polyester"
"1573665438-2861","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN Pretty Guardian Sailor Moon UT (Short Sleeve Graphic T-Shirt)","https://www.uniqlo.com/sg/store/women-sailor-moon-ut-short-sleeve-graphic-t-shirt-4235090003.html","WOMEN Pretty Guardian Sailor Moon UT (Short Sleeve Graphic T-Shirt)","S$19.90","Color: COL60 LIGHT BLUE","Pretty Guardian Sailor Moon

A girls manga by Naoko Takeuchi that began circulation in the monthly magazine “Nakayoshi” (Kodansha) in 1991. Book-length volumes have been translated into 17 languages, while the animated series has been released in more than 40 countries, making it a global phenomenon. The 20th anniversary project began in 2012. A new 25th anniversary project has been in development since 2017, taking the form of new animated works, a musical, and more. An electronic edition of the manga will be released for the first time in the summer of 2019. Translated into 10 languages, it will be launched simultaneously around the world and increase enthusiasm for the project overall.

©Naoko Takeuchi


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573664754-2595","https://www.uniqlo.com/sg/store/women/innerwear/view-all-innerwear.html","WOMEN Footsies 3 Pairs (Sheer)","https://www.uniqlo.com/sg/store/women-footsies-3-pairs-sheer-4207320001.html","WOMEN Footsies 3 Pairs (Sheer)","S$14.90","Color: COL09 BLACK","Our ultra-discrete footsies. Seamless comfort and a fitted feel.
- Self-deodorizing feature.
- These socks stay hidden even under ballet flats.


                            
                                                
                          
                              MATERIAL
                Upper: 84% Nylon, 16% Spandex/ Under Side of the Foot: 92% Cotton, 8% Spandex


                            
                              CARE
                Machine wash cold","Upper: 84% Nylon, 16% Spandex/ Under Side of the Foot: 92% Cotton, 8% Spandex"
"1573665688-2960","https://www.uniqlo.com/sg/store/women/tops/view-all-tops.html","WOMEN DRY-EX Crew Neck Short Sleeve T-Shirt","https://www.uniqlo.com/sg/store/women-dry-ex-crew-neck-short-sleeve-t-shirt-4210790011.html","WOMEN DRY-EX Crew Neck Short Sleeve T-Shirt","S$19.90","Color: COL00 WHITE","Subtle pattern is great for sports or casual styles.
- DRY-EX technology wicks away sweat quickly.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
