web-scraper-order,web-scraper-start-url,link,link-href,title,price,color,description,material
"1573664045-2454","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN HEATTECH Ultra Stretch Leggings Pants","https://www.uniqlo.com/sg/store/women-heattech-ultra-stretch-leggings-pants-4188730001.html","WOMEN HEATTECH Ultra Stretch Leggings Pants","S$49.90","Color: COL05 GRAY","HEATTECH leggings updated to Ultra Stretch fabric! Warm, soft, and extremely comfortable.
- Ultra Stretch fabric stretches easily and creates a beautiful silhouette for your legs.
- High-rise design to keep your midsection warm, too.
- The elastic waist was made as thin as possible to minimize bulk around the hips.
- Updated for a new season! HEATTECH leggings updated to Ultra Stretch fabric
- Brushed lining so you feel warm from the moment you put them on.


                            
                                                
                          
                              MATERIAL
                [08Dark Gray] 38% Polyester, 33% Cotton, 11% Spandex, 10% Acrylic, 8% Rayon [Other Color] 40% Cotton, 31% Polyester, 11% Spandex, 10% Acrylic, 8% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","[08Dark Gray] 38% Polyester, 33% Cotton, 11% Spandex, 10% Acrylic, 8% Rayon [Other Color] 40% Cotton, 31% Polyester, 11% Spandex, 10% Acrylic, 8% Rayon"
"1573664215-2520","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN EZY Ankle Pants (Glencheck)","https://www.uniqlo.com/sg/store/women-ezy-ankle-pants-glencheck-4217540006.html","WOMEN EZY Ankle Pants (Glencheck)","S$49.90","Color: COL06 GRAY","Comfort and style in one package.
- Wrinkle-resistant material for easy care.
- Thick all-weather fabric.
- In response to customer feedback, we've made them smoother around the hips and rear.
- Lighter elastic waistband matches the fabric for a more formal look.
- Cozy-looking glen plaid pattern.
- Easy pull-on pants in a flattering cut.


                            
                                                
                          
                              MATERIAL
                Body: 68% Polyester, 30% Rayon, 2% Spandex/ Elastic Part: 50% Polyester, 21% Spandex, 19% Nylon, 10% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","Body: 68% Polyester, 30% Rayon, 2% Spandex/ Elastic Part: 50% Polyester, 21% Spandex, 19% Nylon, 10% Rayon"
"1573664153-2497","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Fleece Pants (Dots)","https://www.uniqlo.com/sg/store/women-fleece-pants-dots-4198750001.html","WOMEN Fleece Pants (Dots)","S$29.90","Color: COL09 BLACK","Our warm and cozy fleece pants. Perfect for relaxing all day long.
- Made with super soft, warm micro fleece.
- Polka-dot pattern.
- Versatile relaxed yet tasteful design can be worn both in and outside the home.
- Cuffed hems help keep cold air out.
- Seamless side design for extra comfort.


                            
                                                
                          
                              MATERIAL
                100% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","100% Polyester"
"1573664217-2521","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Flare Ankle Pants","https://www.uniqlo.com/sg/store/women-flare-ankle-pants-4242340009.html","WOMEN Flare Ankle Pants","S$29.90","Color: COL01 OFF WHITE","Cut flares slightly from the knee.


                            
                                                
                          
                              MATERIAL
                73% Cotton, 16% Acrylic, 8% Rayon, 3% Spandex


                            
                              CARE
                Machine wash cold","73% Cotton, 16% Acrylic, 8% Rayon, 3% Spandex"
"1573663955-2419","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Denim Jersey Shorts","https://www.uniqlo.com/sg/store/women-denim-jersey-shorts-4228480010.html","WOMEN Denim Jersey Shorts","S$19.90","Color: COL32 BEIGE","Stylish indigo plus comfortable jersey material. These shorts make great loungewear.
- Jersey material in a dyed indigo color for a casual look.


                            
                                                
                          
                              MATERIAL
                96% Cotton, 4% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","96% Cotton, 4% Spandex"
"1573664205-2516","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Cotton Relax Ankle Pants (Striped)","https://www.uniqlo.com/sg/store/women-cotton-relax-ankle-pants-4185800001.html","WOMEN Cotton Relax Ankle Pants (Striped)","S$19.90","Color: COL12 PINK","The relaxed feel of 100% cotton. In a slub mix.
- Natural 100% cotton.
- Slub-yarn mix adds a casual feel.
- In a relaxed, slightly tapered silhouette that can be worn both inside and outside the home.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold","100% Cotton"
"1573664095-2473","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Pile Lined Sweat Pants","https://www.uniqlo.com/sg/store/women-pile-lined-sweat-pants-4182490001.html","WOMEN Pile Lined Sweat Pants","S$29.90","Color: COL01 OFF WHITE","Warm, fluffy lining. In a sleek, stylish cut.
- Made with a double-knit, boa sweat lining.
- Newly updated with a sleeker profile.
- The warmth of boa fleece, plus a sleek, slender cut.
- We've removed the pocket stitching to achieve a more versatile look.
- The long inseam provides increased coverage and makes your legs look longer.


                            
                                                
                          
                              MATERIAL
                Body: 74% Polyester, 26% Cotton/ Rib: 95% Cotton, 5% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","Body: 74% Polyester, 26% Cotton/ Rib: 95% Cotton, 5% Spandex"
"1573664264-2540","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN IDLF Soft Tweed Wide Pants","https://www.uniqlo.com/sg/store/women-idlf-soft-tweed-wide-pants-4228580024.html","WOMEN IDLF Soft Tweed Wide Pants","S$49.90","Color: COL69 NAVY","Flattering wide-leg cut. Wide-leg pants in soft and cozy tweed.
- From our 2019 F/W Ines de la Fressange collaboration collection. Synonymous with the timeless appeal of Parisian chic.
- Authentic coin pocket and interlining details.


                            
                                                
                          
                              MATERIAL
                Shell: 70% Wool, 30% Nylon/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 70% Wool, 30% Nylon/ Lining: 100% Polyester"
"1573664165-2501","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Drape Jogger Pants","https://www.uniqlo.com/sg/store/women-drape-jogger-pants-4185810025.html","WOMEN Drape Jogger Pants","S$19.90","Color: COL09 BLACK","Our sleek and easy jogger pants for a relaxed style.
- 100% rayon material with an elegant drape.
- Elastic cuffs.


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573664000-2437","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN J.W.Anderson Fringe Skirt","https://www.uniqlo.com/sg/store/women-j-w-anderson-fringe-skirt-4215930015.html","WOMEN J.W.Anderson Fringe Skirt","S$49.90","Color: COL69 NAVY","A design with voluminous fringe that make a statement. An item that offers British-style colors and patterns.
- New LifeWear that combines UNIQLO’s focus on design, fit, fabric, and functionality with JW ANDERSON’s focus on traditional British apparel into innovative designs.
- We used traditional British coloring and patterns. 
- Added large fringe to the enveloping wrap-style design. 
- Achieved a soft touch that feels like wool. 
- A slightly longer line that makes it a trendy midi-length. 
- Comes with a smooth inner fabric that makes it easy to slip on and off.


                            
                                                
                          
                              MATERIAL
                Shell: 100% Acrylic/ Lining: 100% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","Shell: 100% Acrylic/ Lining: 100% Polyester"
