,brand,title,price,description,colour,material
0,Miss Selfridge,Beige Faux Linen Blazer,S$ 133.00,"- Woven structured blazer
- Notch lapel collared neckline
- Lined
- Regular fit
- Button fastening
- Polyester
- Model wears a UK 8 and is 179cm tall",Cream,100% Polyester
1,FOREVER 21,Longline Open-Front Blazer,S$ 69.00,"- Plaid print longline blazer
- Notch lapel neckline
- Regular fit
- Open front
- Polyblend",Black/brown,"53% Polyester, 31% Acrylic, 8% Rayon, 7% Nylon/polyamide, 1% Wool"
2,Dorothy Perkins,Petite Black Ruched Sleeve Blazer,S$ 69.90,"- Casual blazer with ruched detail
- Notch lapels
- Regular fit
- Slip-on style
- Quarter sleeves
- Polyester blend",Black,"73% Polyester, 19% Viscose, 8% Elastane"
3,Something Borrowed,Double Button Relaxed Blazer,S$ 39.90,"- Solid shade double breasted relaxed blazer
- Lapel neckline
- Unlined
- Relaxed fit
- Front button fastening
- Two front pockets
- Polyester",Seafoam,100% Polyester Woven
4,Finders Keepers,Jada Blazer,S$ 285.90,"- Solid tone tort button blazer
- Notch lapel collared neckline
- Lined
- Relaxed fit
- Waist buckle fastening
- Cotton blend",Black,"69% Cotton, 29% Viscose, 2% Elastane"
5,Lavish Alice,One Shoulder Bodice Blazer,S$ 150.90,"- Solid hue blazer top
- One shoulder neckline
- Regular fit
- Button fastening
- Polyblend",White,"95% Polyester, 5% Elastane"
6,Its Me,Fashion Casual Blazer,S$ 425.00,"- Suit Lapels
- Front Two Buckles Solvable
- Decorative Fake Double Pockets
- Slanted Pockets
- Buttoned Long Sleeves Detachable (foldable)
- Flat Hem
- Have Lining",brown,"Fabric: 92% Polyester Fiber, 8% Spandex; Lining: 100% Polyester Fiber;"
7,River Island,Crop Olivia Blazer,S$ 72.90,"- Solid tone button detail crop blazer
- Notch lapel collared neckline
- Lined
- Regular fit
- Slip on style
- Polyblend
- Model wears a UK 8 and is 175cm tall",Black,[]
8,ICHI,Ihkate Stripy Blazer,S$ 121.90,"- Stripe printed blazer
- Lapel collar
- Unlined
- Regular fit
- Polyblend
- Model wears an S and is 173cm tall",Total Eclipse,74% Polyester 22% Viscose 4% Elastane
9,Zalia,Wrap Over Blazer,S$ 39.90,"- Solid tone wrap style blazer
- Notch lapel collared neckline
- Unlined
- Regular fit
- Waist tie fastening
- Polyester",Maroon,100% Cotton Polyster Blend
10,Boohoo,Cap Sleeve Shawl Collar Blazer,S$ 52.90,"- Monochrome toned sleeveless blazer
- Unlined
- Lapel neckline
- Regular fit
- Button fastening
- Polyblend
- Model wears a UK 8 and is 176cm tall",White,[]
11,ZALORA,Co-ord Blazer,S$ 39.90,"- Solid coloured V neck blazer
- V neckline
- Lined
- Slim fit
- Button fastening
- Polyblend",Off White,95% Polyester 5% Spandex
12,ZALORA,Plus Size Casual Blazer,S$ 44.90,"- Unstructured blazer with print
- Notch lapels
- Regular fit
- Slip-on style
- Long sleeves
- Polyester",Blue/Multi,100% Polyester
