,brand,title,price,description,colour,material
0,Brave Soul,Ribbed Roll Neck Jumper,S$ 43.90,"- Solid shade ribbed knit jumper
- Turtle neckline
- Unlined
- Slim fit
- Slip on
- Viscose blend
- Model wears an S and is 173cm tall",Roasted Camel,"80% Viscose, 20% Polyamide"
1,ONLY,Chunky Long Sleeve Roll Neck Pullover,S$ 79.00,"- Woven texture pullover
- Turtleneck neckline
- Unlined
- Regular fit
- Slip on style
- Acrylic blend
- Model wears an S and is 173cm tall",Camel/Multi Melange,"55% Acrylic, 21% Polyester, 16% Nylon, 8% Wool"
2,Seoul in Love,Neona Jacket In PINK,S$ 89.90,"-Latest trend in Korea and Hong Kong Magazine!
-Perfect and easy match with classy and casual look
-Suitable for Aircon, Windy or Winter Weather",PINK,100% cotton
3,OVS,Long Sleeve T-Shirt,S$ 70.90,"- Melange knit tee with ruffle sides
- Round neckline
- Relaxed fit
- Polyblend
- Model wears an S and is 180cm tall",Melange Grey,"96% Polyester, 4% Elastane"
4,Tularosa,Marcel Sweater(Revolve),S$ 178.00,"55% rayon 45% nylon
Hand wash cold
Rib knit fabric
Puka shell accents
Imported",Brown,[]
5,Supre,Naomi Long Sleeve Light Weight Top,S$ 20.00,"- Dropped shoulder lightweight knitted top
- Round neckline
- Unlined
- Relaxed fit
- Slip on
- Polyester
- Model wears an S/M and is 176cm tall",White,100% Polyester
6,A-IN GIRLS,Fashion Striped Knit Coat,S$ 313.95,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",multi,"53% Viscose, 28% Polyester, 19% Nylon"
7,LPA,Aria Sweater(Revolve),S$ 211.00,"66% acrylic 31% cotton 3% nylon
Hand wash cold
Knit fabric
Open back
Imported",Red,[]
8,Privacy Please,Monture Sweater(Revolve),S$ 185.00,"99% acrylic 1% nylon
Hand wash cold
Rib knit fabric
Imported",Yellow,[]
9,9months Maternity,Purple Nursing Cover,S$ 39.00,"- Poly blend
- Soft and breathable fabric
- Wear over easily and quickly
- Provides privacy for breastfeeding in public",Purple,95% Polyester 5% Rayon
10,Lovers + Friends,Liam Sweater(Revolve),S$ 239.00,"77% acrylic 20% nylon 3% spandex
Hand wash cold
Knit fabric
Imported",Tan,[]
11,Majorelle,Zoe Cardigan(Revolve),S$ 240.00,"60% cotton 40% viscose
Hand wash cold
Open knit fabric
Front button closure
Imported",Yellow,[]
12,Vero Moda,Glendora Block O-Neck Pullover,S$ 49.00,"- Colour block knitted pullover 
- Unlined
- Round neckline
- Regular fit
- Acrylic
- Model wears an S and is 174cm tall",Black/Pristine,100% Acrylic
13,Calli,Mary Tieup Jumper,S$ 92.90,"- Solid tone knitted cropped sweater with tie back detail
- Round neckline
- Regular fit
- Self tie fastening
- Acrylic 
- Model wears a size AUS 8 and is 173cm tall",White,Acrylic blend
14,Desigual,Jers Oslo Cardigan,S$ 229.00,"- Multi toned metallic finished knitted cardigan
- Open front
- Unlined
- Regular fit
- 2 pockets
- Acrylic blend
- Model wears an S and is 174cm tall",Chocolate,52% Acrylic 38% Polyamide 6% Viscose 2% Co 2% Mf
15,WAREHOUSE,Rib Panel 3/4 Sleeve Jumper,S$ 99.90,"- Dropped shoulder sleeves jumper
- Round neckline
- Unlined
- Relaxed fit
- Viscose blend
- Model wears a UK 8 and is 173cm tall",Navy,"81% Viscose, 19% Polyamide"
16,TOPSHOP,Fluffy V Crop Jumper,S$ 69.90,"- Solid toned knitted jumper
- V neckline
- Unlined
- Regular fit
- Polyamide",MUSTARD,Garment: Polyamide(100%)
17,Tularosa,Achilles Sweater(Revolve),S$ 239.00,"54% acrylic 20% nylon 20% acrylic 6% merino wool
Hand wash cold
Foldover neckline
Pointelle knit fabric with raised pom detail
Imported",Brown,[]
18,NAIN,Coloured Line Knit Cardigan,S$ 40.90,"- Contrast sleeve hem trim sheer knit cardigan
- V neckline
- Unlined
- Regular fit
- Button fastening
- Rayon blend",White,"85% Rayon, 15% Polyester"
19,A-IN GIRLS,Ethnic Style Round Neck Sweater,S$ 159.20,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",beige,"49% Viscose, 30.5% Polyester, 20.5% Nylon"
20,superdown,Selina Cropped Sweatshirt(Revolve),S$ 85.00,"80% cotton 20% poly
Drawstring hood
Front kangaroo pocket
Please note shade is a neon hue
Imported",Green,[]
21,Calvin Klein,Calvin Klein Contrast Trim Cable Knit Sweater,S$ 219.00,A timeless knit pullover sweater from Calvin Klein Jeans featuring a ribbed crew neck and long raglan sleeves. The cuffs and hem are decorated with contrastive trims.,BRIGHT WHITE,[]
22,ONLY,Hanni Long Sleeve Button V-Neck Cardigan,S$ 69.00,"- Melange knitted button through cardigan
- V-neckline
- Regular fit
- Button fastening
- Acrylic blend
- Model wears an S and is 173cm tall",Merlot,"76% Acrylic, 14% Nylon, 10% Polyester"
23,superdown,Koda Crew Neck Sweatshirt(Revolve),S$ 82.00,"95% poly 5% spandex
Hand wash cold
Imported",Blue,[]
24,Lubna,Drawstring Waist Cardigan,S$ 34.90,"- Solid shade batwing sleeve drawstring waist cardigan
- Folded V-neckline
- Unlined
- Regular fit
- Drawstring waist fastening
- Polyblend",Navy Blue,"90% Polyester, 10% Nylon"
25,Factorie,Pointelle Long Sleeve Cardigan,S$ 24.95,"- Solid tone pointelle crop cardigan
- V neckline
- Unlined
- Slim fit
- Button fastening
- Cotton blend",White,"80% Cotton, 20% Polyester"
26,Mango,Ribbed Sweater,S$ 45.90,"- Solid tone rib textured sweater
- Sizing runs one size larger
- High neckline
- Unlined
- Slim fit
- Slip on style
- Viscose blend",Black,"73% Viscose, 27% Polyamide"
27,Lovers + Friends,Tali Cardigan(Revolve),S$ 225.00,"50% acrylic 45% nylon 5% lamb wool
Hand wash cold
Rib knit fabric
Intentionally distressed detail
Button closure
Imported",Gray,[]
28,DeFacto,DeFacto Woman Pullover,S$ 40.90,"DeFacto Woman Pullover
Gender: Female SubCatType: Cardigans & Knitwear Main Material: Metal Fiber 15%, Acrylic 85% Inner Material: Without Material Leather Type: Metal Fiber 15%, Acrylic 85% Gender: Women Material: Metal Fiber 15%, Acrylic 85%",Grey,[]
29,Lovers + Friends,Andy Sweater(Revolve),S$ 211.00,"77% acrylic 20% nylon 3% spandex
Hand wash cold
Pointelle knit fabric
Scallop hem
Imported",Red,[]
30,superdown,Madelyn Cropped Hoodie(Revolve),S$ 79.00,"95% cotton 5% spandex
Hand wash cold
French terry fabric
Drawstring hood
Raw cut hem
Imported",Green,[]
31,Vero Moda,Glendora Button O-Neck Pullover,S$ 49.00,"- Solid shade knitted pullover with button details
- Round neckline
- Unlined
- Regular fit
- Slip on
- Acrylic
- Model wears an S and is 174cm tall",Spicy Mustard,100% Acrylic
32,Violeta by MANGO,Plus Size Ribbed Knit Sweater,S$ 59.90,"- Solid shade ribbed knit sweater with openwork details
- Round neckline
- Unlined
- Regular fit
- Slip on
- Polyblend",Light Beige,"88% Polyester, 12% Polyamide"
33,ZALORA,Shawl Collar Cardigan With Self Tie,S$ 39.90,"- Flowy cardigan with front tie
- Shawl lapels
- Regular fit
- Self-tie waist closure
- Long sleeves
- Polyester",Dusty Pink,100% Polyester
34,Seoul in Love,Neona Jacket In Grey,S$ 89.90,"-Latest trend in Korea and Hong Kong Magazine!
-Perfect and easy match with classy and casual look
-Suitable for Aircon, Windy or Winter Weather",grey,100% cotton
35,Mango,Ombré Cotton Sweater,S$ 59.90,"- Ombre toned sweater
- Sizing runs one size larger
- Crew neckline
- Unlined
- Relaxed fit
- Cotton",Medium Blue,100% Cotton
36,Tularosa,Cenote Cardigan(Revolve),S$ 225.00,"60% cotton 40% acrylic
Hand wash cold
Open knit fabric
Front button closure
Tassel hem
Imported",Dark Green,[]
37,Pieces,Helena Long Sleeve O-Neck Knit Pullover,S$ 69.00,"- Colourblock knitted pullover
- Round neckline
- Unlined
- Relaxed fit
- Slip on style
- Acrylic blend
- Model wears an S and is 174cm tall",White Pepper/Stripes:DGRM+ARROWWOOD,"55% Acrylic, 28% Nylon, 15% Alpaca Wool, 2% Elastane"
38,NAIN,Metallic Knit Collar Cardigan,S$ 78.90,"- Point collar ribbed cardigan
- Collared neckline
- Unlined
- Slim fit
- Button fastening
- Rayon blend",Navy,"77% Rayon, 23% Nylon"
39,Oxford,Ally Bubble Sleeve Knit,S$ 99.00,"- Regular fit 
- Crew neckline
- Bubble sleeve 
- Ribbed cuffs ",Blue,Cotton
40,OVS,Cardigan Jacket,S$ 20.90,"- Solid hue buttoned knit jacket
- Round neckline
- Regular fit
- Front button fastening
- Long sleeves
- Ribbed hem & cuffs
- Rayon blend
- Model wears an S and is 172cm tall",Wisteria,"80% Rayon, 20% Polyamide"
41,Calvin Klein,Calvin Klein Knit Zip Up Cardigan,S$ 389.00,"This Calvin Klein Jeans cardigan combines the soft, warm and luxurious qualities of our premium wool blend and sophisticated style. It features a narrow ribbed crew neck and long raglan sleeves. The concealed front zip closure and knit welt pockets add sartorial touches to the look.",EGRET,[]
42,A-IN GIRLS,Fashionable Round Neck Sweater,S$ 208.95,"The Latest Korean Fashion Hot Selection

- Easy To Match
- Hot & New
- Temperamental Lady

- The Product Is Manufactured Differently Depending On The Supplier",white,100% Acrylic
43,ONLY,Cora Knit Pullover,S$ 49.00,"- Semi chevron print knit pullover
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Recycled polyblend
- Model wears an S and is 175cm tall",Shaved Chocolate/Deauville,"65% Recycled Polyester, 26% Acrylic, 7% Wool, 2% Elastane"
44,Pomelo,Side Slits Cover Up - Black,S$ 34.00,"- Polyester
- Consists of side slits
- Ties at the waist
- Fits loosely on the body",Black,100% Polyester
45,TOPSHOP,Knitted Stripe Super Crop Jumper,S$ 69.90,"- Knitted long sleeved stripe sweater
- Round neckline
- Slim fit
- Slip on style
- Acrylic blend",GREY,"83% Acrylic, 17% Polyamide"
46,A-IN GIRLS,Fashion Trumpet Sleeve Half-Neck Sweater,S$ 261.45,"[Elements Of Design] Bright Silk Splicing Stand Collar / Horn Long Sleeve / Cuffs Bright Silk Stitching / Ribbed Hem / Elastic / Lining (**The Chinese Version Shall Prevail)

【設計物語】純色針織衫表達了一種簡約之美，柔軟細膩的質感裡顯得溫暖又貼心，領口亮絲拼接煥發了視覺吸引力貼合身體曲線的廓形，穿著顯瘦一件針織衫可以帶來穿搭靈感",red,"51.5% Acrylic, 39.1 Nylon, 9.4% Sheep Wool"
47,Dorothy Perkins,Blush Pointelle Ruffle Jumper,S$ 63.90,"- Solid tone knitted pullover 
- Unlined
- High neckline
- Regular fit
- Cotton blend",Peach,"50% Cotton, 50% Viscose"
48,Something Borrowed,Fuzzy Long Line Striped Cardigan,S$ 42.90,"- Block stripe long knitted cardigan
- Open neckline
- Relaxed fit
- Acrylic",Black/White,100% Acrylic
49,DeFacto,DeFacto Woman Pullover,S$ 44.90,"DeFacto Woman Pullover
Gender: Female SubCatType: Cardigans & Knitwear Gender: Woman Material: Polyamide 73%, Metal Fiber 27% Main Material: Polyamide 73%, Metal Fiber 27% Internal Material: Without Internal Leather Type: Polyamide 73%, Metal Fiber 27%",Red,[]
50,L'Academie,Trinity Cardigan(Revolve),S$ 211.00,"100% acrylic
Hand wash cold
Open knit fabric
Front button closure
Imported",Cream,[]
51,Mango,Openwork Knit T-Shirt,S$ 45.90,"- Solid tone flared sleeves knitted top
- Sizing runs one size larger
- Round neckline
- Relaxed fit
- Polyblend
- Model wears an S and is 175cm tall",Light Beige,Blend
52,Violeta by MANGO,Plus Size Ribbed Long Tunic Cardigan,S$ 99.90,"- Solid tone button through long rib tunic cardigan
- V-neckline
- Slim fit
- Button fastening
- Cotton blend",Navy,"62% Cotton, 31% Polyester, 7% Viscose"
53,A-IN GIRLS,Fashion Hooded Sweater,S$ 159.20,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",red,"82.7% Cotton, 17.3% Nylon"
54,A-IN GIRLS,Fashion Cowboy Stitching Striped Sweater,S$ 224.70,"The latest Korean fashion hot selection
- Korean fashion, smart choice
- easy to match, fashion up to people
- hot new, to the tide to IN
- The product is manufactured differently depending on the supplier",multi,"80% acrylic, 17% polyester, 3% spandex"
55,A-IN GIRLS,Stylish Temperament Lapel Sweater,S$ 236.25,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",grey,"50.5% viscose, 42% polyester, 7.5% nylon"
56,Brave Soul,Christmas Sequin Flying Deer Pompom Sweater,S$ 56.90,"- Feather yarn pullover with sequin detail
- Unlined
- Crew neckline
- Regular fit
- Polyblend
- Model wears an S and is 174cm tall",Soft Pink,"60% Polyester, 40% Acrylic"
57,Dorothy Perkins,Petite Charcoal Ruched Sleeve Jumper,S$ 69.90,"- Knitted jumper with self tie and ruched sleeves
- Round neckline
- Unlined
- Relaxed fit
- Acrylic blend
- Model wears a UK 6 and is 178cm tall",Grey,[]
58,Mango,Fine-Knit Metallic Sweater,S$ 55.90,"- Metallic toned knitted sweater
- Sizing runs one size larger
- V neckline
- Unlined
- Regular fit
- Polyester",Black,100% Polyester
59,Brave Soul,Fisherman Ribbed Angled Crew Neck Jumper,S$ 49.90,"- Colour block knitted sweater
- Unlined
- Crew neckline
- Regular fit
- Acrylic
- Model wears an S and is 174cm tall",Beige/Camel/Cream,100% Acrylic
60,NAIN,Metallic Stripe Long Sleeve Knitwear,S$ 60.90,"- Knitted pullover with stripe detail
- High neckline
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Polyblend",Blue,100% Polyblend
61,Guess,Guess Long Sleeve Sweatshirt,S$ 149.00,"- Graphic knitted sweatshirt
- Round neckline
- Regular fit
- Cotton blend
- Model wears an S and is 173cm tall",Brown,"85% Cotton, 15% Polyester"
62,JOVET,Shimmer Cardigan,S$ 45.90,"Long sleeved dropped shoulder knit cardigan with open front and side slit detail

- Collarless
- Relaxed fit
- Stretchable
- Unlined, Slightly Sheer",Black,Polyblend
63,Noppies,1/2 Sleeve Cathleen Sweater,S$ 83.90,"- Striped sweater with sequin detail
- Round neckline
- Regular fit
- Cotton
- Model wears an S and is 174cm tall",Bright Yellow,100% Cotton
64,Mango,Neps Knit Sweater,S$ 59.90,"- Dropped shoulder neps fabric knitted sweater
- Sizing runs one size larger
- Crew neckline
- Unlined
- Relaxed fit
- Slip on
- Acrylic blend",Light Pastel Blue,"85% Acrylic, 14% Polyester, 1% Viscose"
65,Mango,Long Cardigan,S$ 29.90,"- Solid hue long cardigan
- Sizing runs one size larger
- Open front
- Unlined
- Regular fit
- Viscose blend",Dark Green,"83% Viscose, 17% Polyamide"
66,Brave Soul,Tape Yarn Jumper,S$ 42.90,"- Soldi tone cold shoulder knitted jumper
- Cold shoulder neckline
- Unlined
- Regular fit
- Slip on style
- Acrylic blend",Black,"65% Acrylic, 35% Polyester"
67,Miss Selfridge,Petite Peach Cable Bardot Jumper,S$ 83.90,"- Solid tone chunky knit textured jumper
- Off shoulder neckline
- Unlined
- Regular fit
- Slip on style
- Acrylic blend
- Model wears a UK 8 and is 175cm tall",Peach,"64% Acrylic, 36% Polyester"
68,A-IN GIRLS,Ammonia Round Neck Sweater,S$ 199.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",blue,"47.5% Viscose, 32% Polyester, 20.5% Nylon"
69,GAP,Open Belted Cardigan,S$ 74.90,"- Knitted seams longline cardigan
- Open front
- Unlined
- Longline fit
- Waist belt
- Linen blend
- Model wears an S and is 178cm tall",Pink Standard,"55% Linen, 45% Polyester"
70,A-IN GIRLS,Fashion Round Neck Sweater,S$ 199.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",blue,"52.3% viscose, 29.9% polyester, 17.8% nylon"
71,JOVET,Knitted Turtleneck Top,S$ 29.90,"Short sleeved ribbed knit top with high neckline and slim cut silhouette

- Stretchable
- Slip-On
- Unlined, Non-Sheer",Black,Cotton Blend
72,ONLY,Elisa L/S Pullover,S$ 59.00,"- New York front print pullover
- Round neckline
- Unlined
- Regular fit
- Acrylic blend
- Model wears an S and is 177cm tall",Fiery Red/Detail:W. BLACK/CLOUD DANCER,[]
73,ONLY,V-Neck Knit Pullover,S$ 42.90,"- Two tone knitted sweater
- Round neckline
- Regular fit
- Acrylic blend
- Model wears an S and is 172cm tall",Pumice Stone/Blushing Bride,"65% Acrylic, 35% Nylon"
74,Violeta by MANGO,Plus Size Geometric Jacquard Sweater,S$ 89.90,"- Geometric print knitted sweater
- Boat neckline
- Regular fit
- Acrylic blend",Grey,"88% Acrylic, 12% Polyester"
75,TOPSHOP,Knitted Cashmere Jumper,S$ 89.90,"- Solid tone knit textured casual jumper
- V neckline
- Unlined
- Relaxed fit
- Slip on style
- Nylon blend",GREY MARL,"51% Nylon, 39% Acrylic, 10% Cashmere"
76,Abercrombie & Fitch,Icon Crew Neck Sweater,S$ 108.00,"- Solid shade logo embroidery knitted sweater
- Sizing runs one size larger
- Crew neckline
- Unlined
- Regular fit
- Button fastening
- Cotton blend
- Model wears an S and is 175cm tall",Burgundy,"60% Cotton, 20% Nylon, 20% Viscose"
77,Violeta by MANGO,Plus Size Buttoned Cuff Jumper,S$ 45.90,"- Solid tone sleeve hem button knit jumper
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Viscose blend",Black,"76% Viscose, 24% Polyamide"
78,ZALORA BASICS,Basic Cable Knit Jumper,S$ 34.90,"- Knitted textured toned jumper
- High neckline
- Unlined
- Regular fit
- Acrylic",Purple Marl,100% Acrylic
79,superdown,Lucy Long Cardigan(Revolve),S$ 105.00,"60% acrylic 20% poly 20% nylon
Hand wash cold
Open front",Pink,[]
80,Violeta by MANGO,V-Neck Sweater,S$ 55.90,"- Solid tone cable knit sweater
- V neckline
- Regular fit
- Slip on style
- Viscose blend",Bright Pink,"58% Viscose, 25% Polyester, 17% Cotton"
81,Brave Soul,Jacquard Spot Jumper,S$ 59.90,"- Polka dot print jumper
- High neckline
- Unlined
- Regular fit
- Acrylic blend
- Model wears an S and is 175cm tall",Black/Cream Spot,Acrylic blend
82,OVS,Knitted Ribbed Pullover,S$ 42.90,"- Solid tone knitted textured sweater
- Round neckline
- Regular fit
- Acrylic blend
- Model wears an S and is 177cm tall",Sunflower,"59% Acrylic, 25% Polyamide,16% Polyester"
83,A-IN GIRLS,Fashion Pattern Round Neck Knit Dress,S$ 313.95,"The Latest Korean Fashion Hot Selection

- Latest Fashion

- Easy Match

- Temperamental Lady

- The Product Is Manufactured Differently Depending On The Supplier",beige,Knitted Fabric
84,Supre,Lana Textured Knit Cardigan,S$ 50.00,"- Melange hued textured knitted cardigan
- Open neckline
- Unlined
- Oversized fit
- Two front pockets
- Acrylic blend
- Model wears an S/M and is 176cm tall",Grey Marle,"85% Acrylic, 15% Polyester"
85,A-IN GIRLS,Fake Two-Piece Checkered Knit Sweater,S$ 236.25,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","grey,black","63.5% polyester fiber, 17% viscose, 15.5% nylon, 4% other fiber"
86,House of Harlow 1960,X REVOLVE Cullen Coat(Revolve),S$ 468.00,"70% acrylic 30% wool
Hand wash cold
Open front
Side pockets
Faux fur trim
Imported",Red,[]
87,Mango,Button Knit Cardigan,S$ 55.90,"- Textured button front knitted cardigan
- Sizing runs one size larger
- Round neckline
- Unlined
- Regular fit
- Front button fastening
- Viscose blend",Black,"50% Viscose, 25% Polyamide, 25% Polyester"
88,TOPSHOP,Pink Knitted Pointelle Crop Jumper,S$ 69.90,"- Solid tone ribbed jumper with floral motif detail
- Round neckline
- Regular fit
- Unlined
- Slip on style
- Acrylic",PINK,100% Acrylic
