,brand,title,price,description,colour,material
0,ZALORA BASICS,Basic Midi Side Slit Sheath Dress,S$ 34.90,"- Paneled dress with slit detail
- Unlined
- Round neckline
- Regular fit
- Back zip fastening
- Short sleeves
- Front thigh split
- Polyester blend",Black,97% Polyester 3% Spandex
1,ZALORA BASICS,Basic Keyhole Maxi Dress,S$ 24.90,"- Solid tone keyhole back maxi dress
- Round neckline
- Unlined
- Regular fit
- Rayon blend
- Model wears an S and is 174cm tall",Black,Blend
2,Boohoo,Tie Side Blazer Dress,S$ 52.90,"- Solid shade blazer style mini wrap dress
- Unlined
- Lapel neckline
- Regular fit
- Self tie fastening
- Polyblend
- Model wears a UK 8 and is 180cm tall",Black,Polyester
3,MISSGUIDED,One Shoulder Exaggerated Ruched Bodycon Dress,S$ 42.90,"- Textured one shoulder dress with ruched side
- Asymmetrical neckline
- Unlined
- Slim fit
- Polyblned
- Model wears a UK 8 and is 173cm tall",Black,95% Polyester 5% Elastane
4,FORCAST,Valerie V-Neck Lace Dress,S$ 139.99,"- Monochrome lace dress with cap sleeves
- V neckline
- Lined
- Regular fit
- Zip fastening
- V back
- Cotton blend
- Model wears a size AUS 6 and is 180cm tall",Black,[]
5,Dorothy Perkins,Animal Print Wrap Dress,S$ 139.00,"- Animal print wrap detail contrast side tie midi dress
- Wrap neckline
- Lined
- Slim fit
- Self tie fastening
- Polyester
- Model wears a UK 8 and is 180cm tall",Ivory,Polyester
6,ZALORA,Ruffle Detail Sleeveless Dress,S$ 34.90,"- Sleeveless dress with cascading ruffled detail
- Round neckline
- Unlined
- Regular fit
- Zip fastening
- Polyblend",Mustard,97% Polyester 3% Spandex Woven
7,ZALORA,Plus Size Waterfall Detail 3/4 Sleeves Dress,S$ 44.90,"- Waterfall ruffle shirt dress
- Collared neckline
- Unlined
- Regular fit
- Button fastening
- 3/4 sleeves
- Polyblend",Black,95% Polyester 5% Elastane Woven
8,ZALIA BASICS,Boxy Shirt Dress,S$ 47.90,"- Solid tone maxi shirt dress
- Collar neckline
- Unlined
- Regular fit
- Button fastening
- Polyester",Black,100% Polyester Woven
9,Only CARMAKOMA,Plus Size Tina 3/4 Knee Dress,S$ 59.00,"- Monochrome 3/4 sleeve dress with keyhole back
- Unlined
- Round neckline
- Regular fit
- Viscose blend
- Model wears a size 46 and is 170cm tall",Black,"75% Viscose, 20% Polyester, 5% Elastane"
10,ZALORA BASICS,Basic Asymmetric Tea Dress,S$ 39.90,"- Decorative button detail asymmetrical hem midi dress
- Detachable inner slip
- V-neckline
- Regular fit
- Back zip fastening
- Polyester",Taupe,100% Polyester Woven
11,Cotton On,Woven Cherry Button Front Midi Dress,S$ 44.99,"- Floral print midi button through dress
- V-neckline
- Regular fit
- Button fastening
- Viscose blend
- Model wears an S and is 177cm tall",Issy Ditsy Mineral Red,"60% Viscose, 30% Linen, 10% Cotton"
12,Mango,Paisley Print Dress,S$ 79.90,"- All over print mini dress
- Sizing runs one size larger
- Round neckline
- Regular fit
- Button closure
- Adjustable cord
- Viscose
- Model wears an S and is 173cm tall",Light Beige,100% Viscose
13,ZALORA,Resort Collar Long Sleeve Midi Dress,S$ 44.90,"- Floral printed wrap midi dress
- Unlined
- Lapel neckline
- Regular fit
- Self tie fastening
- Polyester",Navy/Multi,100% Polyester Woven
14,ZALORA BASICS,Basic Swing Dress With Collar,S$ 29.90,"- Solid hue mini shift dress
- Unlined
- Collar neckline
- Regular fit
- Back zip fastening
- Long cuffed sleeves
- Polyester",Forest/White,100% Polyester
15,Dorothy Perkins,Petite Rose Wrap Front Maxi Dress,S$ 109.00,"- Wrap dress with ruffle detail
- Unlined
- V-neckline
- Side zip fastening
- D-ring buckled belt
- Short sleeves
- Flared hem
- Polyester
- Model wears a UK 8 and is 178cm tall",Pink,100% Polyester
16,Goddiva,Bow Back Midi Dress,S$ 112.90,"- Solid-tone plain sleeveless midi dress
- Unlined
- Boat neckline
- Regular fit
- Back zip closure
- Polyblend
- Model wears a UK 8 and is 174cm tall",Lemon,"90% Polyester, 10% Elastane"
