,brand,title,price,description,colour,material
0,ZALORA BASICS,Basic Crop Hoodie,S$ 29.90,"- Solid tone cropped style hoodie
- Hood neckline
- Regular fit
- Polyester",Red,100% Polyester Woven
1,TOPSHOP,Blue Curly Zip Up Funnel Neck Sweatshirt,S$ 59.90,"- Solid tone furry half zip turtleneck sweatshirt
- Turtleneck neckline
- Regular fit
- Zip fastening
- Polyester",Blue,100% Polyester
2,ESPRIT,Basic Long Sleeve Sweater,S$ 89.95,"- Solid tone jumper with ribbing detail
- Sizing runs one size larger
- Turtleneck neckline
- Unlined
- Regular fit
- Slip on style
- Viscose blend
- Model wears an S and is 173cm tall",Black,"81% Viscose, 16% Polyamide, 3% Elastane"
3,ESPRIT,Textured Knit Sweater,S$ 69.95,"- Knitted pullover with texture detail
- Sizing runs one size larger
- Round neckline
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Cotton
- Model wears a S and is 173cm tall",Garnet Red,100% Cotton
4,Vero Moda,Amanda Long Sleeve High Neck Jumper,S$ 59.00,"- Solid tone ribbed roll neck sweater
- Unlined
- Turtle neckline
- Regular fit
- Cotton blend
- Model wears an S and is 173cm tall",North Atlantic,"62% Cotton, 35% Polyester, 3% Elastane"
5,Champion,Japan Range Women's Hoodie,S$ 119.00,"- Logo printed casual hoodie
- Hooded neckline
- Relaxed fit
- Unlined
- Slip on style
- Elasticated cuffs
- Cotton
- Model wears an M and is 177cm tall",White,100% Cotton
6,Lacoste,Women's Crew Neck Check Lacoste Badge Cotton Sweater,S$ 259.00,"Cotton interlock, Ribbed crew neck, Check Lacoste badge appliqué on chest, Ribbed finishes at sleeve ends and bottom of garment",[],[]
7,Desigual,White Loose Donald Duck Sweatshirt,S$ 169.00,"- Graphic hoodie with shirt detail
- Hood neckline
- Relaxed fit
- Slip-on style
- Hood with drawstring
- Long cuffed sleeves
- Curved shirt hem
- Cotton blend
- Model wears an S and is 174cm tall",Blanco,92% Cotton 5% Polyester 3% Other Fibers
8,Calvin Klein,A-Metallic Monogram Sweatshirt- Calvin Klein Jeans,S$ 239.00,"- Metallic brand print sweatshirt
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Cotton blend
- Model wears an S and is 174cm tall",Bright White,"84% Cotton, 16% Polyester"
9,SCOTCH & SODA,Crewneck Sweat With Badge,S$ 166.90,"- Front badge detail sweatshirt
- Round neckline
- Unlined
- Regular fit
- Slip on style
- Cotton blend
- Model wears an S and is 177cm tall",Grey Melange,[]
10,adidas,Adidas W Mh 3 Stripe Doubleknit Hoodie,S$ 90.00,"- adidas performance
- Best for training
- Classic triple stripes hoodie
- Hooded neckline
- Unlined
- Loose fit
- Zip fastening
- 2 pockets
- Cotton blend
- Model wears an S and is 175cm tall",Black/White,"67% Cotton, 33% Recycled Polyester"
11,ESPRIT,Sweaters Long Sleeve,S$ 89.95,"- Stripped sweater with brand name
- Sizing runs one size larger
- Round neckline
- Regular fit
- Slip on style
- Cotton blend",Off White 3,"60% Cotton,40% Polyamide"
12,Calli,Mary Tieup Jumper,S$ 71.90,"- Cropped jumper with rear keyhole
- Round neckline
- Regular fit
- Self tie rear closure
- Acrylic
- Model wears a size AUS 8 and is 173cm tall",Grey,Machine wash cold
13,FILA,Classic FILA LOGO Sweatshirt,S$ 138.00,"- Regular fit
- Highly stretchable, comfortable and soft
- Good warmth retention
- FILA towel embroidery Logo
- Basic design, easy to match",Pink,"95% Cotton, 5% Spandex"
