,brand,title,price,description,colour,material
0,FILA,Fusion Side Taped Jacket,S$ 228.00,"- FILA Fusion Collection
- High neck woven jacket
- FILA logo side taping
- Embroidered FILA logo at the front
- Color blocks at sleeves
- Front zip fastening
- Two side pockets
- Female model is 174cm and is wearing a size M
- Male model is 182cm and is wearing a size M","Black, White, Red",100% Polyester
1,NA-KD,Teddy Maxi Coat,S$ 170.90,"- Solid tone longline maxi faux fur coat
- Notch lapel collared neckline
- Lined
- Regular fit
- Snap button fastening
- 2 front side pockets
- Polyester
- Model wears a size 34 and is 174cm tall",Cream,[]
2,ONLY,Louisa Wool Coat,S$ 129.00,"- Solid hue structured long coat
- Notch lapels
- Regular fit
- Front button fastening
- 2 side pockets
- Long sleeves
- Polyester blend
- Model wears an S and is 174cm tall",Pumpkin Spice,[]
3,Pieces,Hira Long Jacket,S$ 149.00,"- Solid tone faux fur trim hooded jacket
- Hooded neckline
- Lined
- Regular fit
- Snap button and zip with waist drawcord fastening
- 2 front side pockets
- Cotton blend
- Model wears an S and is 175cm tall",Black,"63% Cotton, 37% Polyamide"
4,Calvin Klein,Iconic Omega Trucker Jacket - Calvin Klein Jeans,S$ 419.00,"- Washed out denim jacket with rear logo patch
- Collared neckline
- Relaxed fit
- Unlined
- Button down fastening
- 2 front patch pockets
- 2 inner side pockets
- Cotton
- Model wears an S and is 175cm tall",Iconic Harvest,100% Cotton
5,Glamorous,Biker Lapel Jacket,S$ 116.90,"- Solid tone belted faux leather jacket with chain detail
- Lined
- Notch lapel neckline
- Regular fit
- Front zip closure
- Belt fastening
- 2 front zipper pockets
- Polyurethane
- Model wears an S and is 175cm tall",Black,100% Polyurethane
6,Mango,Hooded Wool Coat,S$ 159.00,"- Solid hue coat
- Sizing runs one size larger
- Lined
- High neckline
- Regular fit
- Zip fastening
- 2 pockets
- Polyblend",Light Beige,"85% Polyester, 15% Wool"
7,Brave Soul,Longer Length Parka,S$ 177.90,"- Faux fur hood lining long parka
- Hood neckline
- Regular fit
- Button and zip fastening
- 2 pocket design
- Cotton
- Model wears a UK 10 and is 173cm tall",Black/White,100% Cotton
8,FILA,Hooded Down Jacket,S$ 408.00,"- Regular fit
- Comfortable and wear resistant
- Good warmth retention
- FILA LOGO at front and back","Red, White",Polyester
9,Pomelo,Button Up Waist Tie Trench Coat - Pink,S$ 54.00,"- Polyester
- Includes a button up placket
- Ties at the waist
- Includes side pockets
- Features pleated details
- Features button details",Pink,100% Polyester
10,Glamorous,Contrast Lining Twill Jacket,S$ 77.90,"- Contrast seam twill jacket with pocket detail
- Unlined
- Collar neckline
- Regular fit
- Front button closure
- 2 front pockets
- Cotton
- Model wears an S and is 175cm tall",WHITE,[]
11,FOREVER 21,Cropped Fur Trim Jacket,S$ 87.90,"- Solid tone corduroy jacket with chest pockets
- Lined
- Collar neckline
- Regular fit
- Front button closure
- 2 chest pockets
- Cotton blend",Black,"99% Cotton, 1% Spandex"
12,River Island,Tartan Adriana Coat,S$ 155.90,"- Longline coat with plaid print
- Lined
- Regular fit
- Snapbutton fastening
- 2 pockets
- Polyester blend
- Model wears a UK 8 and is 175cm tall",Red Check,"78% Polyester, 7% Acrylic, 5% Wool, 4% Viscose, 4% Cotton, 2% Nylon"
13,ZALORA BASICS,Basic Long Line Coat,S$ 69.90,"- Longline woven coat with plaid print
- Lined
- Regular fit
- Front button fastening
- 2 pockets
- Polyester",Grey Check,100% Polyester
14,Abercrombie & Fitch,Cropped Girlfriend Denim Jacket,S$ 184.00,"- Ripped detailing crop girlfriend denim jacket with faux fur lined collar
- Sizing runs one size larger
- Collared neckline
- Unlined
- Regular fit
- Front button fastening
- Two buttoned chest pockets
- Cotton
- Model wears an S and is 175cm tall",Light Wash,100% Cotton
15,Lorna Jane,Chill Time Maxum Jacket,S$ 143.99,"- Melange hue casual zip jacket
- High neckline
- Unlined
- Slim fit
- Zip fastening
- 2 side zip pockets
- Moisture wicking and breathable
- Polyblend
- Model wears an S and is 173cm tall",Jacaranda Purple,"94% Polyester, 5% Elastane"
16,ESPRIT,Blazer Coat,S$ 329.95,"- Blazer style coat
- Sizing runs one size larger
- Notched collar
- Lined
- Regular fit
- Button fastening
- 2 pockets
- Wool blend
- Model wears an S and is 173cm tall",Navy,70% Wool 20% Polyamide 10% Cashmere
17,Mango,Pockets Leather Jacket,S$ 299.00,"- Tie waist longline leather jacket
- Sizing runs one size larger
- Collared neckline
- Lined
- Regular fit
- Front button and tie waist fastening
- Four pockets
- Sheep leather",Black,100% Sheep Leather
18,River Island,The Black Carey Overshirt,S$ 109.90,"- Monochrome wool textured overshirt
- Standard collared neckline
- Unlined
- Regular fit
- Button fastening
- 2 side pockets
- 2 chest button flap pockets
- Polyblend
- Model wears a UK 8 and is 173cm tall",Black/White,"79% Polyester, 21% Wool"
19,Vero Moda,Anna Faux Shearling Short Jacket,S$ 159.00,"- Shearling lined jacket
- Notch collar neckline
- Lined
- Regular fit
- Zip fastening
- 2 pockets
- Polyester
- Model wears an S and is 173cm tall",Tigers Eye/detail:white Teddy,100% Polyester
20,Under Armour,UA Favorite Terry Fz Bomber Jacket,S$ 99.00,"- Best for training
- Melange toned bomber jacket
- Unlined
- High neckline
- Regular fit
- Zip fastening
- 2 pockets
- Cotton blend
- Model wears an S and is 174cm tall",Aluminum Light Heather/Steel Light Heather/Tonal,"80% Cotton, 20% Polyester"
21,ZALORA,Longline Coat,S$ 89.90,"- Solid tone fuzzy textured coat
- Unlined
- Regular fit
- Front button fastening
- Polyester blend",Dusty Pink,70% Polyester 30% Nylon
22,Mango,Denim Cotton Jacket,S$ 89.90,"- Solid tone long sleeve jacket with sash
- Sizing runs one size larger
- Collar neckline
- Regular fit
- Front button closure
- Self tie fastening
- 2 chest pockets
- 2 side pockets
- Cotton",Khaki,100% Cotton
23,FOREVER 21,Longline Trench Coat,S$ 140.90,"- Solid shade tie sleeve trench coat with eyelet details
- Notch lapel neckline
- Lined
- Regular fit
- Front button fastening
- Two side pockets
- Polyblend",Camel,"88% Polyester, 10% Rayon, 2% Spandex"
