,brand,title,price,description,colour,material
0,Calvin Klein,Calvin Klein 37.5 Women Skinny Jeans,S$ 349.00,"Featuring the REVOLUTIONARY 37.5 technology, this pair of jeans helps you stay dry and cool in the heat; keep you warm in the cold. The fabric consists of active particles that are made from nature which can remove your sweat in the vapor stage before forming liquid sweat and helps you to maintain a stable relative humidity at 37.5%. The technology also traps odors and then releases them when washed and dried. In the CKJ 011 Skinny fit. These Calvin Klein Women's Jeans feature a medium rise waist and ankle-length skinny legs with bleached hems. Zip fly with a signature ck metal button. Classic 5-pocket style.",ARCHER COOL BLE,[]
1,Brave Soul,Jeans With Eyelet Detail,S$ 73.90,"- Faded denim jeans with eyelet lace up detail
- Mid rise
- Unlined
- Regular fit
- Button, zip and lace up hem fastening
- Five pocket style
- Cotton blend
- Model wears a UK 8 and is 173cm tall",Mid Denim Blue,"77% Cotton, 13% Viscose, 10% Polyester"
2,GRLFRND,Rhoda(Revolve),S$ 267.00,"100% cotton
Unlined
Light fading and distressed detail
Button fly
5-pocket design
Curved raw cut hem",[],[]
3,Abercrombie & Fitch,Ultra High Rise Super Skinny Jeans,S$ 144.00,"- Washed effect denim skinny jeans
- Sizing runs one size larger
- High rise
- Skinny fit
- Button and zip fastening
- Five pocket design
- Cotton blend
- Model wears a size 26 SHORT and is 177cm tall",Medium Destroy,"87% Cotton, 10% Polyester, 3% Elastane"
4,Something Borrowed,Mid Waist Girlfriend Jeans With Contrast Piping,S$ 39.90,"- Contrast piping detail girlfriend jeans
- Mid rise
- Regular fit
- Button and zip fastening
- 5 pockets
- Cotton",Light Blue,100% Cotton Woven
5,Lee,418 Scarlett Ankle Super Slim Mid Rise Narrow Cropped Jeans,S$ 166.90,"- Monochrome jeans
- Mid rise
- Slim fit
- Front zip with button fastening
- 5 pockets
- Cotton blend
- Model wears a size W2625 and is 173cm tall",Dark Grey,"68% Cotton, 22% Polyester, 9% Viscose, 1% Lycra"
6,NA-KD,Neon Snake Skinny Ankle Jeans,S$ 99.90,"- Neon toned skinny ankle grazer jeans
- High rise
- Skinny fit
- Button and zip fastening
- 5 pockets
- Polyblend",Neon Orange,Blend
7,ZALORA,Jeans With Shimmering Side Trim,S$ 44.90,"- Solid-colour jeans with sparkle band
- Mid rise
- Slim fit
- Zip-fly and button fastening
- 5 pockets
- Cotton blend",Blue,70% Cotton 28% Polyester 2% Spandex
8,London Rag,Blue Straight Fit Denim Jeans,S$ 82.00,"Denim that hug your curves in all the right places. 

- Ankle Fit, Zip fly with button closure, Pearl On Denims
- Straight fit Denims featuring natural rise and shaping through seat and tummy.
- Mid Rise
- Best for Anyday.
- CL7395",BLUE,[]
9,Mango,Straight Crop Jeans,S$ 59.90,"- Monochrome straight denim jeans
- Sizing runs one size larger
- Medium rise
- Regular fit
- Button & zip fastening
- 5-pocket style
- Belt loops
- Cotton blend",Natural White,"98% Cotton, 2% Elastane"
10,Hollister,Mid Rise Patch And Repair Jeans,S$ 98.00,"- DIstressed detail skinny jeans
- Sizing runs one size larger
- Mid rise
- Skinny fit
- Button and zip fastening
- 5 pockets
- Cotton blend
- Model wears a US 7 and is 170cm tall",Blue,"79% Cotton, 18% Polyester, 2% Viscose, 1% Elastane"
11,TOPSHOP,Moto Mid Blue Jamie Jeans,S$ 83.90,"- Solid tone skinny jeans
- Mid rise
- Skinny fit
- Button and zip fastening
- 5 pocket design
- Cotton blend
- Model wears a size 26R and is 177cm tall",Mid Denim,"69% Cotton, 26% Polyester, 5% Elastane"
12,Miss Selfridge,Steffi High Waist Super Skinny Fit Blue Jeans,S$ 79.90,"- Washed effect denim skinny jeans
- High rise
- Skinny fit
- Front zip and button fastening
- Two back pockets
- Cotton blend
- Model wears a size 8S and is 174cm tall",Blue,"75% Cotton, 23% Polyester, 2% Elastane"
13,Hollister,Regular Clean Black Skinny Jeans,S$ 88.00,"- Solid-colour stretchy skinny jeans
- Sizing runs one size larger
- High rise
- Slim fit
- Button and zip-fly fastening
- 2 rear pockets, 2 front fake pockets
- Cotton blend
- Model wears a US 5 and is 174cm tall",Clean Black,"78% Cotton, 20% Polyester, 2% Elastane"
