,brand,title,price,description,colour,material
0,Cosabella,Never Say Never Padded Racerback Bra,S$ 97.90,"- Monochrome bra with lace detail
- Regular fit
- Elasticized underbust
- Light-padded cups
- Polyamide blend
- Model wears an S and is 172cm tall",Black,"91% Polyamide, 9% Elastane"
1,GAP,GapBody Terry Pullover Top,S$ 63.90,"- Graphic drawstring hem long sleeves pajama top
- Round neckline
- Relaxed fit
- Drawstring fastening
- Modal blend
- Model wears an S and is 173cm tall",Grey Lightning Bolt,"96% Modal, 4% Elastane"
2,Cosabella,Forza Minikini Panties,S$ 47.90,"- Solid tone sheer mesh lace panties
- High rise
- Unlined
- Slim fit
- Elasticised waistband
- Cotton lined gusset
- Polyamide blend
- Model wears an S/M and is 173cm tall",Wood Rose,Blend
3,LYCKA,LYCKA-LMM1026 Lady Sexy Lace Bra And Panty Set-Red,S$ 43.10,"-1/2 cup lace Wired bra
-Fixed Double Shoulder Strap
-Back Hook Fastening
-Sexy and Regular Comfort",Red,Nylon
4,Kaleidoscope,NALA Classy High Leg Bodysuit,S$ 121.00,"NALA Classy High Leg Bodysuit
-Delicated unique floral motifs at front, removable halter straps offer convertible styling, cut-out at sides with strappy back detailing plunging with supportive underwire, adjustable shoulder straps, hook-and-eye closure at back, lined gusset with snap closure.nderwire, adjustable shoulder straps, hook-and-eye closure at back, lined gusset with snap clousure.",黑色,90% Nylon 10% Spandex
5,Calvin Klein,Hipster - Calvin Klein Underwear,S$ 43.00,"- Solid hue brief with lace insert
- Medium rise
- Regular fit
- Elasticised waist
- Hipster cut
- Nylon blend
- Model wears an S and is 173cm tall",Raspberry Jam,"83% Nylon, 17% Elastane"
6,Kaleidoscope,DAISY Flowers Bloom Applique Underwire Bra,S$ 70.00,"- delicated unique yellow flower motifs ontextured lace, light padded cups with soft elastic band, adjustable shoulder straps, double hook-and-eye closures at back.",Black,M
7,LYCKA,LMM2119- Lady Sexy Lace Bra And Panty Set-Red,S$ 42.00,"-3/4 cup lace bra
-Detachable Double Shoulder Strap
-Back Hook Fastening
-Sexy and Regular Comfort",Red,Polyester
8,Noppies,Deluxe Mesh Triangle Nursing Bra,S$ 83.90,"- Solid tone mesh nursing bra
- Has nursing function
- Wired padded cups
- Regular fit
- Hook fastening
- Adjustable straps
- Nylon blend
- Model wears a size 75B and is 174cm tall",Black,"83% Nylon, 17% Elastane"
9,XIXILI,XIXILI Short Girdle,S$ 44.00,"- Naturally and effectively sculpt your silhouette.
- Under your outfit with this girdle.
- Perfect to flatten your tummy area.","This item is not valid for returns, refunds and exchanges",[]
10,Cosabella,Madeline Cami,S$ 146.90,"- Solid toned cami top with lace
- V neckline
- Unlined
- Regular fit
- Adjustable shoulder strap
- Polyblend
- Model wears an S and is 172cm tall",Soft Sunset,[]
11,Cosabella,Brianna Retro Bralette,S$ 90.90,"- Mesh bralette with lace applique
- Non padded cups
- Slim fit
- Hook fastening
- Adjustable straps
- Polyamide blend
- Model wears a size One Size and is 172cm tall",Due,91% Polyamide 7% Elastane
12,Bye Bra,Bye Bra Lace-It Bra Cup D,S$ 32.90,"- Strapless and backless bra
- Moulded cups
- Regular fit
- Self adhesive with lace up fastening
- Polyamide blend",Nude,"88% Polyamide, 12%Elastane"
13,ZALORA BASICS,Lounge Satin Robe With Contrast Piping,S$ 29.90,"- Contrast trimmed long sleeved lounge robe
- Shawl lapel
- Unlined
- Regular fit
- Self-tie fastening
- Rayon blend
- Model wears an S and is 174cm tall",Black/White,"50% Rayon, 50% Polyester"
14,Cotton On Body,Stephanie Lace Shirred Bandeau,S$ 24.99,"- Solid shade shirred bandeau bra
- Unpadded cups
- Regular fit
- Shirred elasticated construction
- Polyamide blend
- Model wears an S and is 170cm tall",Maple,[]
15,Teyli,Women's Brasilian Viki Cotton Panties,S$ 29.99,"-Women's brazilian panties
- They present the buttocks in a sexy way
- Brazilians made of mesh and lace

- Elastic waistband",Black,"This item is not valid for returns, refunds and exchanges"
16,LYCKA,LMM2111- Lady Sexy Lace Bra And Panty Set-Black,S$ 43.00,"-3/4 cup lace bra
-Detachable Double Shoulder Strap
-Back Hook Fastening
-Sexy and Regular Comfort",Black,Polyester
17,OVS,Multi Pack Briefs,S$ 14.90,"- Monochrome toned briefs
- Mid rise
- Slim fit
- Elasticised waistband
- Cotton blend
- Pack of 2
- Model wears a size IT 2 and is 174cm tall",White/Black,Blend
18,Cosabella,Never Say Never Cutie Bow Thong,S$ 37.90,"- Solid tone openwork detail waistband thongs
- Mid rise
- Slim fit
- Elasticated waistband fastening
- Polyamide blend
- Model wears an S and is 180cm tall",Blush,"89% Polyamide, 9% Elastane, 2% Cotton"
19,YG Fitness,Quick-Drying Running Fitness Yoga Dance Sports Bra,S$ 149.00,"Body sculpting, 360-degree perfect body, perfect curve.
Fit: Leisure / Yoga / Running / Fitness / Dance / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- with chest pad, anti-shock Pressure
- Four-needle six-line exquisite craftsmanship, firm tear resistance",orange,"Polyester fiber, spandex"
20,Under Armour,Armour Mid Crossback Sports Bra,S$ 59.00,"- Printed crossover strap sports bra with brand logo hem band detail
- Round neckline
- Unlined
- Regular fit
- Elasticised hem band
- Material wicks sweat & dries really fast & light
- Removable soft, breathable cups provide extra structure & coverage
- 4-way stretch construction moves better in every direction
- Super-smooth, double-layer HeatGear� fabric delivers superior next-to-skin feel
- Polyblend
- Model wears an S and is 173cm tall",Formation Blue/Talc Blue,"81% Polyester, 19% Elastane"
21,VIVIESTA SPORT,Adjustable Strap Glitter Yoga Sports Bra.,S$ 57.00,"The strappy sports bra with slim straps gives you a flawless fit and removes irritation during workouts. Adjustable front and back closure. Ultra smooth fabric that keeps you dry and cool.
- Performance stretch fabric for added comfort
- Strap and back design for extra support
- Removable cups to customize your fit to perfection",Magenta,"95% Polyester, 5% Spandex"
22,Calvin Klein,Modern Cotton Bralette Lift - Calvin Klein Underwear,S$ 79.00,"Whenever you're seeking for superior support minus the uncomfortable underwire itch, Calvin Klein designs an ideal solution that offers all these along with a delightfully chic sporty exterior. Crafted with a classic racerback silhouette that crosses into a sultry keyhole detail at the back, the lightly moulded cups conforms nicely to lend a hand in everyday comfort.



- Cotton blend
- V neckline
- Moulded cups
- Racerback design
- Wide elasticized logo band
- Tonal topstitching
- Seaming details
- Tagless
- Lightly lined",Black,[]
23,Deshabille,Petals Short In Bag,S$ 79.95,"- Loose fitting PJ shorts
- Self fabric waist tie
- Comes packed in printed gift bag- Our model is wearing a size S shorts. She usually takes a size AU Small, is 5'9"" (175cm) and has a 69cm waist.",Multi,Rayon
24,Cotton On Body,Party Pants Seamless Brasiliano Brief,S$ 11.99,"Let your gorgeous silhouette show in these no-show undies from Cotton On Body. Designed with seamless trimmings, this low-rise number features bonded seams and mini cheek coverage.

- Polyblend
- Elasticated waistband
- Slip-on design
- Super smooth
- Bonded seams
- Low-rise
- Mini cheek coverage
- Regular fit
- Unlined",Black,Blend
25,Cosabella,Never Say Never Hippie Halter Bra,S$ 83.90,"- Solid tone halter lace bra
- No cups
- Slim fit
- Elasticated band fastening
- Polyamide blend
- Model wears an M and is 180cm tall",Black,"91% Polyamide, 9% Elastane"
