,url,brand,title,price,description,colour,material
0,https://pci.usd.de/compliance/2684-2165-0AB4-5400-16D8-8564/details_en.html,[],[],[],[],[],[]
1,https://pci.usd.de/compliance/2684-2165-0AB4-5400-16D8-8564/details_en.html,[],[],[],[],[],[]
2,https://www.zalora.sg/banana-republic-sloan-pants-navy-1166698.html/?ad_id=display_0SEldUhXlqz-KKlLdPpX-I6WHMAxRTNBMkFBREYyNDdCNEdT,Banana Republic,Sloan Pants,S$ 121.90,"- Solid shade skinny pants
- Mid rise
- Skinny fit
- Front zip and hook fastening
- Cotton blend",Navy,"58% Cotton, 37% Viscose, 5% Elastane"
3,https://www.zalora.sg/reebok-classics-foundation-gigi-x-leggings-black-1146153.html/?ad_id=display_DGS9jR_YII2BxZT4ByNPMcEe4SFERDgxRUFBRDcyMTQyQ0dT,Reebok,Classics Foundation Gigi X Leggings,S$ 49.00,"- In collaboration with Gigi Hadid
- Best for lifestyle
- Solid tone leggings with Gigi Hadid brandings
- Unlined
- High rise
- Skinny fit
- Elastic waistband
- Cotton blend",Black,"92% Cotton, 8% Elastane"
4,https://www.zalora.sg/reebok-reebok-training-essential-fleece-sweatpants-black-1262494.html/?ad_id=display_lh9vStxgKqFL6uGJ53Kl8FWXbvJFMTQ1MUFBNTM2QTg2OEdT,Reebok,Reebok Training Essential Fleece Sweatpants,S$ 75.00,"- Best for training
- Logo printed sweatpants with ribbed cuff locks
- Unlined
- Mid rise
- Slim tapered fit
- Elastic waistband
- Drawstring fastening
- 2 side pockets
- Cotton blend
- Model wears an S and is 177cm tall",Black,[]
5,https://www.zalora.sg/l-urv-a-game-logo-7-8-leggings-black-1234948.html,L'urv,A-Game Logo 7/8 Leggings,S$ 101.90,"- Monochrome toned legging with brand details
- Mid rise
- Skinny fit
- Elasticised waistband
- Nylon blend
- Model wears an S and is 175cm tall",Black,"73% Nylon, 27% Elastane"
6,https://www.zalora.sg/lorna-jane-new-amy-7-8-tight-black-1203280.html,Lorna Jane,New Amy 7/8 Tight,S$ 110.99,"- Monochrome tights
- High rise
- Slim fit
- Elasticised waist
- 1 zip pocket
- Moisture wicking
- Polyblend",Black,"71% Polyester, 29% Elastane"
7,https://www.zalora.sg/a-in-girls-colorblock-striped-elastic-waist-trousers-multi-1237322.html,A-IN GIRLS,Colorblock Striped Elastic Waist Trousers,S$ 175.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",multi,"46% cotton, 43% polyester, 9% recycled fiber, 2% other fiber"
8,https://www.zalora.sg/lubna-front-pocket-flared-pants-blue-1207172.html,Lubna,Front Pocket Flared Pants,S$ 34.90,"- Contrast stitching chambray wide leg pants
- High rise
- Relaxed fit
- Front zip and button fastening
- Four pockets
- Polyester",Deep Blue,100% Polyester
9,https://www.zalora.sg/viviesta-sport-basic-high-rise-pocket-leggings-navy-1180239.html,VIVIESTA SPORT,Basic High Rise Pocket Leggings,S$ 88.00,"Minimal but functional, these basic leggings are essentials in your active wardrobe. Made with technical stretch-jersey fabric, the leggings are moisture-wicking, ensuring a breezy feeling during your morning runs. Flat seams offer a second-skin fit, while the elasticated hig-rise waist gives coverage and core support.
- Stretch fabric allow ease of movement
- Moisture-wicking super soft material for airflow and comfort
- Mid to high rise shaping design for core coverage and stability",Navy,"Polyester, Nylon, Spandex"
10,https://www.zalora.sg/topshop-slouch-peg-trousers-multi-1214340.html,TOPSHOP,Slouch Peg Trousers,S$ 109.00,"- Solid tone wide legged pants
- High waist
- Regular fit
- Side zip fastening
- Self buckle waist belt
- 2 pockets
- Lyocell blend
- Model wears a UK 8 and is 174cm tall",Stone,"88% Lyocell, 12% Polyester"
11,https://www.zalora.sg/superdry-core-gym-tech-panel-joggers-black-1278198.html,Superdry,Core Gym Tech Panel Joggers,S$ 119.00,"- Monochrome cuffed hem joggers with side brand taping
- Mid rise
- Slim fit
- Elasticised waist
- Ventilated panelling at the back of the legs
- Innovative stretch technology
- Two side zip pockets
- Polyblend
- Model wears a UK 8",Black,"66% Polyester, 29% Viscose, 5% Elastane"
12,https://www.zalora.sg/dorothy-perkins-black-pu-belted-trouser-black-1244798.html,Dorothy Perkins,Black Pu Belted Trouser,S$ 69.90,"- Solid tone textured waist tie trousers
- Mid rise
- Unlined
- Regular fit
- Hook and zip with waist tie fastening
- 2 front side pockets
- Polyurethane
- Model wears a UK 8 and is 172cm tall",BLACK,[]
13,https://www.zalora.sg/zalora-button-detail-cropped-pants-black-1182737.html,ZALORA,Button Detail Cropped Pants,S$ 34.90,"- Cropped pants with button detail
- Medium rise
- Regular fit
- Button & zip fastening
- 2 side pockets
- Turnover hem
- Polyester",Black,100% Polyester
14,https://www.zalora.sg/river-island-elastic-waist-skinny-leggings-black-1245571.html,River Island,Elastic Waist Skinny Leggings,S$ 39.90,"- Solid tone casual leggings
- Mid rise
- Unlined
- Slim fit
- Elasticised waistband
- Viscose blend
- Model wears a size 8R and is 173cm tall",Black,"67% Viscose, 28% Nylon, 5% Elastane"
15,https://www.zalora.sg/something-borrowed-tailored-high-waist-cropped-trousers-green-1127993.html,Something Borrowed,Tailored High Waist Cropped Trousers,S$ 39.90,"- Solid coloured crease detail trousers
- High rise
- Regular fit
- Button and zip fastening
- 2 pockets
- Polyester",Seafoam,100% Polyester
16,https://www.zalora.sg/mango-straight-cotton-trousers-black-1256785.html,Mango,Straight Cotton Trousers,S$ 55.90,"- Solid shade straight leg pants
- Sizing runs one size larger
- High rise
- Slim fit
- Front zip and button fastening
- Two side pockets
- Cotton blend",Black,"54% Cotton, 43% Polyamide, 3% Elastane"
17,https://www.zalora.sg/esprit-pants-woven-cropped-green-1124156.html,ESPRIT,Pants Woven Cropped,S$ 89.95,"- Solid tone utility style cropped pants
- Sizing runs one size larger
- High rise
- Regular fit
- Button and zip fastening
- 2 pocket design
- Lyocell
- Model wears a size W3624 and is 174cm tall",Khaki Green,"100% LYOCELL (TENCEL ),"
18,https://www.zalora.sg/bysi-hounstooth-trousers-grey-1197862.html,BYSI,Hounstooth Trousers,S$ 49.00,"- Plaid print slim fit crop pants
- Unlined
- Mid rise
- Slim fit
- Front zip and hook closure
- 2 side pockets
- 2 faux back pockets
- Polyester
- Model wears an S and is 174cm tall",Grey,100% Polyester
19,https://www.zalora.sg/mango-soft-straight-trousers-orange-1157038.html,Mango,Soft Straight Trousers,S$ 59.90,"- Waist tie detailed trousers
- Sizing runs one size larger
- Mid rise
- Regular fit
- Elastic waist with tie fastening
- 2 side pockets
- Modal blend",Medium Orange,"90% Modal, 10% Polyester"
20,https://www.zalora.sg/puma-sportstyle-core-ka-leggings-black-1123172.html,Puma,Sportstyle Core KA Leggings,S$ 49.00,"- Best for lifestyle
- Leggings with minimalist graphic print
- Mid waist
- Slim fit
- Elasticised waistband
- Cotton blend
- Model wears an S and is 175cm tall",Puma Black,"95% Cotton, 5% Elastane"
21,https://www.zalora.sg/bove-by-spring-maternity-woven-slim-skinny-super-stretch-pants-black-940049.html,Bove by Spring Maternity,Woven Slim Skinny Super Stretch Pants,S$ 59.90,"Maternity super-stretch skinny are fittingly slim. With our signature adjustable elastic band, the pants accommodates a growing baby bump through all stages of pregnancy and beyond. Simply expand for a looser fit or tighten it to fit better.

- cut to fit changing body
- versatile for post-birth
- adjustable elastic waistband",Black,"60%Viscose, 35%Polyamide, 5%Elastane"
22,https://www.zalora.sg/london-rag-beige-pinstripe-straight-pants-beige-1164076.html,London Rag,Beige Pinstripe Straight Pants,S$ 41.00,"- Striped pants
- Elastic waist
- Mid Rise
- Regular Fit
- Comfortable 
- 2 side pockets
- CL7658",Beige,[]
23,https://www.zalora.sg/forever-new-madison-wide-leg-culotte-white-1255682.html,Forever New,Madison Wide Leg Culotte,S$ 89.99,"Made from luxe woven crepe fabrication, our white wide leg culottes are ideal for office to evening wear. Style yours with a chic blouse and court heels for desk to dinner appeal. 
Size runs large. Please choose one size down from your usual size. 
- Fixed high waistband
- Relaxed wide leg
- Woven crepe fabrication
- Decorative self-covered buttons with rose gold-tone detail
- Concealed back zip/hook and eye fastening
- Fully lined",Porcelain,"Main: 100% Polyester. Lining: 96% Polyester, 4% Elastane"
24,https://www.zalora.sg/nike-nike-women-s-7-8-training-tights-blue-1110784.html,Nike,Nike Women's 7/8 Training Tights,S$ 79.00,"- Best for training
- Solid hue textured training tights with brand details
- Mid rise
- Skinny fit
- Elasticised waistband
- Polyblend
- Model wears an S and is 176cm tall",Celestine Blue/Black,Polyblend
25,https://www.zalora.sg/lorna-jane-ultimate-support-f-l-tights-black-1050210.html,Lorna Jane,Ultimate Support F/L Tights,S$ 169.99,"- Monochrome paneled tights
- High rise
- Slim fit
- Elasticized waistband
- Quickpull fastening
- Ankle grazers
- Nylon blend
- Model wears an S and is 174cm tall",Black,"88% Nylon, 12% Elastane"
26,https://www.zalora.sg/zalora-contrast-belt-cropped-pants-pink-beige-1132400.html,ZALORA,Contrast Belt Cropped Pants,S$ 39.90,"- Solid toned cropped pants with belted waist
- Mid rise
- Regular fit
- Front zip with hook fastening
- 2 pockets
- Rayon blend",Mauve/Beige,70% Rayon 30% Polyamide Woven
27,https://www.zalora.sg/viviesta-sport-camouflage-print-seamless-gym-tights-purple-1255534.html,VIVIESTA SPORT,Camouflage Print Seamless Gym Tights,S$ 77.00,"The seamless leggings with camouflage print are designed with textured rib fabric and a flattering high waistline for a full coverage.
- Performance stretch fabric for added comfort
- Made with quick-dry and lightweight material
- Allow ease of movement and ultimate breathability",Purple,"Nylon, Polyester, Spandex"
28,https://www.zalora.sg/mango-belt-check-trousers-black-1222825.html,Mango,Belt Check Trousers,S$ 59.90,"- Monochrome cigarette pants
- Sizing runs one size larger
- Medium rise
- Regular fit
- Buckle-belted waist
- 2 side pockets
- Belt loops
- Polyester blend",Black,"75% Polyester, 20% Viscose, 5% Elastane"
29,https://www.zalora.sg/zalia-active-skirt-pants-black-1199013.html,Zalia,Active Skirt Pants,S$ 34.90,"- Solid tone lace-up detail skirt with pants
- High rise
- Slim fit
- Unlined
- Elasticated waistband
- Polyblend",Black,"95% Polyester, 5% Spandex"
30,https://www.zalora.sg/viviesta-sport-sakura-print-high-rise-yoga-sports-leggings-pink-1179872.html,VIVIESTA SPORT,Sakura Print High Rise Yoga Sports Leggings,S$ 77.00,"The high-rise sakura-print yoga leggings with elastic waistband. Tonal top stitching and panel seaming. Breathable and stretchy fabric that is designed to wick sweat and make your workout easier.
- Stretch fabric allow ease of movement
- Moisture-wicking super soft material for airflow and comfort
- Mid to high rise shaping design for core coverage and stability",Sakura Pink,"88% Polyester, 12% Spandex"
31,https://www.zalora.sg/dorothy-perkins-check-ankle-grazer-trousers-grey-1256844.html,Dorothy Perkins,Check Ankle Grazer Trousers,S$ 59.90,"- Checkered print trousers
- Mid rise
- Unlined
- Regular fit
- Slip on style
- 2 side pockets
- Polyblend",Grey,"98% Polyester, 2% Viscose"
32,https://www.zalora.sg/running-bare-meghan-tatler-werk-it-tights-black-white-multi-1185852.html,Running Bare,Meghan Tatler Werk It Tights,S$ 123.90,"- Flatlock tights with houndstooth print
- Jacquard fabric with stretch & great recovery
- High rise
- Skinny fit
- Elasticized waistband
- Cropped legs
- Nylon blend
- Model wears a size AUS 8 and is 175cm tall",Meghan,"54% Nylon, 30% Polyester, 16% Elastane"
33,https://www.zalora.sg/topshop-tie-ribbed-marl-flare-pants-grey-1244263.html,TOPSHOP,Tie Ribbed Marl Flare Pants,S$ 56.90,"- Melange hue flare hem trousers
- High rise
- Unlined
- Regular fit
- Elasticised waistband with exterior drawstring fastening
- Viscose blend",Charcoal,"56% Viscose, 42% Polyester, 2% Elastane"
34,https://www.zalora.sg/mango-belt-check-trousers-green-1228313.html,Mango,Belt Check Trousers,S$ 89.90,"- Checked print trousers with belted waist
- Sizing runs one size larger
- Mid rise
- Regular fit
- Front zip fastening with waist belt
- 2 pockets
- Polyblend",Green,"64% Polyester, 34% Viscose, 2% Elastane"
35,https://www.zalora.sg/mango-straight-cotton-trousers-navy-1256779.html,Mango,Straight Cotton Trousers,S$ 55.90,"- Solid shade straight leg pants
- Sizing runs one size larger
- High rise
- Slim fit
- Front zip and button fastening
- Two side pockets
- Cotton blend",Navy,"54% Cotton, 43% Polyamide, 3% Elastane"
36,https://www.zalora.sg/cotton-on-ladieswear-amy-tapered-pant-multi-1212199.html,Cotton On,"LADIESWEAR, Amy Tapered Pant",S$ 29.99,"- Striped tapered pants
- High rise
- Regular fit
- Button and zip fastening
- 2 pocket design
- Viscose
- Model wears a size AUS 8 and is 177cm tall",GRACIE STRIPE TOTAL ECLIPSE,100% Viscose
37,https://www.zalora.sg/l-urv-relay-track-pants-blue-1211217.html,L'urv,Relay Track Pants,S$ 133.90,"- Multi toned track pants
- Mid rise
- Regular fit
- Elasticised waistband
- 2 pockets
- Polyester
- Model wears an S and is 175cm tall",Teal,100% Polyester
38,https://www.zalora.sg/lubna-wide-leg-pants-black-1207151.html,Lubna,Wide Leg Pants,S$ 32.90,"- Solid tone plain wide legged pants
- Unlined
- High rise
- Regular fit
- Front zip and button closure
- 2 side pockets
- Polyester",Black,100% Polyester
39,https://www.zalora.sg/zalora-co-ord-cropped-pants-white-green-1116916.html,ZALORA,Co-ord Cropped Pants,S$ 34.90,"- Striped straight-legged crop pants
- High rise
- Regular fit
- Button and zip fastening
- Polyester",Dusty Green/White,100% Polyester Woven
40,https://www.zalora.sg/a-in-girls-elastic-waist-casual-corduroy-pants-brown-1142948.html,A-IN GIRLS,Elastic Waist Casual Corduroy Pants,S$ 208.95,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",brown,"63% Cotton, 36% Recycled Fiber, 1% Polyester Fiber"
41,https://www.zalora.sg/esprit-woven-regular-pants-black-1237682.html,ESPRIT,Woven Regular Pants,S$ 99.95,"- Solid tone D-ring waist belt pants
- Sizing runs one size larger
- Mid rise
- Unlined
- Regular fit
- Hook, button and zip with D-ring waist belt fastening
- Four pocket style
- Cotton blend
- Model wears a size 36 and is 175cm tall",Black,"72% Cotton, 28% Polyester"
42,https://www.zalora.sg/under-armour-favorite-leggings-wm-ar-black-978878.html,Under Armour,Favorite Leggings Wm Ar,S$ 59.00,"- Best for training
- Monochrome leggings with graphic details
- Mid rise
- Skinny fit
- Elasticised waistband
- Cotton blend
- Model wears an S and is 173cm tall",Black/Onyx White,[]
43,https://www.zalora.sg/zalora-basics-basic-cigarette-pants-black-1099576.html,ZALORA BASICS,Basic Cigarette Pants,S$ 29.90,"- Solid-tone plain flat front trousers
- Unlined
- High rise
- Regular fit
- Front zip and button closure
- 2 side pockets
- 2 faux back pockets
- Polyester",Black,100% Polyester Woven
44,https://www.zalora.sg/esprit-checkered-smart-pants-grey-1240670.html,ESPRIT,Checkered Smart Pants,S$ 99.95,"- Cigarette pants with check print
- Sizing runs one size larger
- Medium rise
- Regular fit
- Button & zip fastening
- Elasticized waistband
- 2 side pockets
- Polyester blend
- Model wears a size 36 and is 175cm tall",Dark Grey,"66% Polyester, 32% Viscose, 2% Elastane"
45,https://www.zalora.sg/missguided-tall-slinky-wide-leg-trousers-black-1239254.html,MISSGUIDED,Tall Slinky Wide Leg Trousers,S$ 54.90,"- Monochrome wide leg trousers
- High rise
- Regular fit
- Elasticised waist
- Polyblend
- Model wears a UK 8 and is 173cm tall",Black,95% Polyester 5% Elastane
46,https://www.zalora.sg/mango-cotton-leggings-black-1256782.html,Mango,Cotton Leggings,S$ 19.90,"- Monochrome basic leggings
- Sizing runs one size larger
- Mid rise
- Slim fit
- Elasticated waistband
- Cotton blend",Black,"95% Cotton, 5% Elastane"
47,https://www.zalora.sg/running-bare-ab-waisted-floral-print-7-8-tights-pink-multi-1235206.html,Running Bare,Ab Waisted Floral Print 7/8 Tights,S$ 114.90,"- Multi toned floral print tights
- Mid rise
- Skinny fit
- Elasticised waistband
- Nylon blend
- Model wears a size AUS 8 and is 175cm tall",Diana,"69% Nylon, 31% Elastane"
48,https://www.zalora.sg/adidas-adidas-performance-3-stripes-tights-green-1119481.html,adidas,Adidas Performance 3 Stripes Tights,S$ 45.00,"- adidas performance
- Best for training
- Asymmetrical stripes tights
- High rise
- Slim fit
- Elastic waist
- Cotton blend
- Model wears an S and is 175cm tall",Legend Earth/Black,"90% Cotton, 10% Elastane"
49,https://www.zalora.sg/dorothy-perkins-petite-stripe-wide-leg-trouser-brown-1134094.html,Dorothy Perkins,Petite Stripe Wide Leg Trouser,S$ 73.90,"- Striped wide-legged pants
- High rise
- Relaxed fit
- Hook and zip fastening
- 2 pocket design
- Viscose blend",Light Brown,Garment: Cotton(17%) Viscose(83%) Lining: Polyester(100%)
