,brand,title,price,description,colour,material
0,Boohoo,Petite One Shoulder Frill Jumpsuit,S$ 61.90,"- One shoulder ruffled overlay tie waist jumpsuit
- Asymmetrical neckline
- Unlined
- Flared fit
- Self tie waist sash
- Polyblend
- Model wears a UK 8 and is 173cm tall",White,"95% Polyester, 5% Elastane"
1,Miss Selfridge,Petite Gold Lurex Bandeau Jumpsuit,S$ 146.00,"- Sleeveless jumpsuit with textured strap details
- Unlined
- Bandeau neckline
- Regular fit
- Zip fastening
- Polyblend",Metallic,"88% Polyester, 12% Elastane"
2,Dorothy Perkins,Petite Lime Fit And Flare Dress,S$ 89.90,"- Solid-tone plain sleeveless mini dress with sash
- Lined
- Keyhole neckline
- Regular fit
- Back button closure
- Waist belt fastening
- Polyester
- Model wears a UK 8 and is 173cm tall",Yellow Green,100% Polyester
3,MISSGUIDED,Square Neck Strappy Mini Dress,S$ 39.90,"- Solid-tone ribbed strappy pencil dress
- Unlined
- Square neckline
- Slim fit
- Slip on
- Polyblend
- Model wears a UK 8 and is 173cm tall",Black,"95% Polyester, 5% Elastane"
4,Dorothy Perkins,Petite Khaki Paisley Shift Dress,S$ 89.90,"- Paisley floral print mini shift dress
- Unlined
- Round neckline
- Regular fit
- Back zip fastening
- Viscose
- Model wears a UK 6 and is 177cm tall",Green,[]
5,Wallis,Petite Black Daisy Print Midi Dress,S$ 119.00,"- Floral printed sleeveless midi dress
- Unlined
- V neckline
- Regular fit
- Button fastening
- Viscose
- Model wears a UK 8 and is 173cm tall",Black,100% Viscose
6,Miss Selfridge,PETITES BLACK STEFFI JEANS,S$ 79.90,"- Dark wash skinny jeans
- High rise
- Skinny fit
- Button and zip fastening
- 2 pocket design
- Cotton blend
- Model wears a UK 8 and is 173cm tall",BLACK,"92% Cotton, 6% Elastomultiester, 2% Elastane"
7,MISSGUIDED,Petite Asymetric Blazer Dress,S$ 74.90,"- Asymmetric style mini blazer dress
- Lined
- Wrap neckline
- Regular fit
- Button fastening
- Polyester
- Model wears a UK 8 and is 173cm tall",Black,[]
8,TOPSHOP,Petite Taylor Pink Animal Pleat Midi Skirt,S$ 66.90,"- Animal print pleated midi skirt with waist tie sash
- Unlined
- Mid rise
- Regular fit
- Elasticised waistband
- Polyester
- Model wears a UK 8 and is 174cm tall",Pink,100% Polyester
9,TOPSHOP,Petite Khaki Shacket,S$ 109.00,"- Solid tone longline jacket with pocket detail
- Collar neckline
- Regular longline fit
- Snap button closure
- 4 front pockets
- Cotton",Khaki,100% Cotton
10,Miss Selfridge,PETITE GOLD LUREX BLOUSE,S$ 76.90,"- Polka dot lurex peplum top
- V neckline
- Lined
- Regular fit
- Button fastening
- Smock waist
- Viscose blend
- Model wears a UK 8 and is 174cm tall",BLACK,"93% Viscose, 4% Polyester, 3% Metallised fibre"
11,Dorothy Perkins,Petite Black Roll Sleeve Shirt,S$ 63.90,"- Solid toned plain shirt
- Collar neckline
- Unlined
- Regular fit
- Button fastening
- 1 pocket
- Polyester",BLACK,100% Polyester
12,Miss Selfridge,Petite Ivory Floral Print Button Detail Trousers,S$ 73.90,"- Floral print cropped pants with ladder lace inserts
- High rise
- Regular fit
- Back zip fastening
- Viscose
- Model wears a UK 8 and is 173cm tall",Cream,100% Viscose
13,TOPSHOP,Petite Black Jamie Jeans,S$ 79.90,"- Monochrome plain jeans
- Mid rise
- Regular fit
- Front zip with button fastening
- 5 pockets
- Cotton blend
- Model wears a size 30 and is 174cm tall",Black,"92% Cotton, 6% Elastomultiester, 2% Elastane"
14,Miss Selfridge,Petite Black Broderie Top,S$ 83.90,"- Monochrome top with broderie detail
- Square neckline
- Regular fit
- Elasticized waistband
- Short cuffed sleeves
- Cotton
- Model wears a UK 8 and is 173cm tall",Black,100% Cotton
15,Boohoo,Petite One Shoulder Ruffle Maxi Dress,S$ 56.90,"- One shoulder maxi dress with cascading ruffles
- One shoulder neckline
- Regular fit
- Slip on style
- Polyblend",Soft Pink,95% Polyester 5% Elastane
16,Dorothy Perkins,Petite Green Ruched Pencil Dress,S$ 79.90,"- Solid tone ruched pencil midi dress
- Unlined
- V neckline
- Regular fit
- Slip on style
- Polyblend
- Model wears a UK 8 and is 173cm tall",GREEN,"95% Polyester, 5% Elastane"
17,Dorothy Perkins,Petite Soft Check Treggings,S$ 59.90,"- Houndstooth print trousers
- Mid rise
- Unlined
- Regular fit
- Button and zip fastening
- Polyblend
- Model wears a UK 8 and is 173cm tall",BLACK,"68% Viscose, 28% Nylon, 4% Elastane"
18,Dorothy Perkins,Petite Camel Spot Halter Top,S$ 59.90,"- Top with allover polka dots
- Halter neckline
- Regular fit
- Self tie rear neck closure
- Polyester
- Model wears a UK 8 and is 172cm tall",BLACK,100% Polyester
19,Boohoo,Petite One Shoulder Asymmetric Bodycon Dress,S$ 46.90,"- One shoulder bodycon dress with diagonal hem
- One shoulder neckline
- Slim fit
- Polyblend",Pink,95% Polyester 5% Elastane
20,TOPSHOP,Petite Black Rip Hem Jamie Jeans,S$ 89.90,"- Monochrome jeans with rip detail
- Medium rise
- Skinny fit
- Button & zip fastening
- 5-pocket style
- Belt loops
- Cotton blend",Black,"92% Cotton, 6% Polyester, 2% Elastane"
21,Miss Selfridge,Petite Nude Knot Front Wrap Blouse,S$ 83.90,"- Solid toned wrap blouse with front knot
- V neckline
- Unlined
- Regular fit
- Polyester",Pink,100% Polyester
22,Dorothy Perkins,Petite Latte Button Top,S$ 69.90,"- Solid tone irregular buttons shirt
- Collar neckline
- Regular fit
- Button fastening
- Faux pocket
- Polyester
- Model wears a UK 8 and is 178cm tall",TAUPE/BEIGE,100% Polyester
23,Forever New,Alexa Petite Stripe Jumpsuit,S$ 159.99,"Good things come in small packages! This ochre and porcelain stripe jumpsuit is part of our petites range. Elevate the look with block heels and statement earrings. Our petites range is perfectly proportioned to fit 5'3""/161cm and under height, so you'll never have to worry about alterations ever again.
- Fitted bodice with keyhole cut-out
- Wide relaxed leg
- Luxe crepe fabrication
- Removable self-tie belt
- Functional pockets
- Adjustable spaghetti straps 
- Zip back/hook and eye fastening  
- Lined",Ochre,"Outer: 100% Viscose. Lining: 95% Polyester, 5% Elastane"
24,TOPSHOP,PETITE Black Mom Jeans,S$ 89.90,"- Monochrome mom jeans
- High rise
- Regular fit
- Button and zip fastening
- 5 pockets
- Tapered leg
- Cotton
- Model wears a size 26 and is 173cm tall",BLACK,Garment: Cotton(100%)
25,Boohoo,Petite One Shoulder Frill Jumpsuit,S$ 61.90,"- One shoulder ruffled overlay tie waist jumpsuit
- Asymmetrical neckline
- Unlined
- Flared fit
- Self tie waist sash
- Polyblend
- Model wears a UK 8 and is 173cm tall",Black,"95% Polyester, 5% Elastane"
26,Dorothy Perkins,Petite Lime 'Honey' Top,S$ 49.90,"- Solid tone blouse with cut out detail
- Mandarin collar neckline with keyhole
- Slim fit
- Unlined
- Button fastening
- Polyester
- Model wears a UK 8 and is 173cm tall",Green,100% Polyester
27,Dorothy Perkins,Foil Teardrop Dress,S$ 99.90,"- Metallic halter neck midi dress
- Lined
- Halter neckline
- Regular fit
- Slip on
- Polyester
- Model wears a UK 8 and is 172cm tall",BLACK,100% Polyester
28,Dorothy Perkins,Petite Red Check Shift Dress,S$ 79.90,"- Checked print mini shift dress
- Unlined
- Round neckline
- Regular fit
- Back button fastening
- Two front pockets
- Polyblend
- Model wears a UK 8 and is 173cm tall",Red,"67% Polyester, 31% Viscose, 2% Elastane"
29,Wallis,Petite Bamboo Jumpsuit,S$ 139.00,"- Bamboo leaf print strappy jumpsuit
- Lined
- V neckline
- Regular fit
- Self tie fastening
- 2 side pockets
- Cotton blend
- Model wears a UK 8 and is 172cm tall",Black,"72% Cotton, 23% Polyester, 5% Elastane"
30,Boohoo,Petite One Shoulder Ruffle Maxi Dress,S$ 56.90,"- One shoulder maxi dress with cascading ruffles
- One shoulder neckline
- Regular fit
- Slip on style
- Polyblend
- Model wears a UK 8 and is 175cm tall",Black,95% Polyester 5% Elastane
31,Dorothy Perkins,Petite Black Textured Trousers,S$ 49.90,"- Solid tone textured pants
- High rise
- Regular fit
- Hook and zip fastening
- 2 pocket design
- Polyester
- Model wears an S and is 173cm tall",BLACK,100% Polyester
32,Dorothy Perkins,Petite Navy Check Shift Dress,S$ 79.90,"- Shift dress with check print
- Unlined
- Round neckline
- Regular fit
- Back zip fastening
- 2 front patch pockets
- Short sleeves
- Polyester blend
- Model wears a UK 8 and is 173cm tall",Navy Blue,"83% Polyester, 16% Viscose, 1% Elastane"
33,Dorothy Perkins,Petite Check Belted Dress,S$ 79.90,"- Shift dress with houndstooth print
- Unlined
- Round neckline
- Regular fit
- Back zip fastening
- Buckle belted waist
- 2 side pockets
- Short sleeves
- Polyester
- Model wears a UK 8 and is 173cm tall",Black,100% Polyester
34,Dorothy Perkins,Petite Black Shirt Dress,S$ 79.90,"- Buttoned dress with waist tie detail
- Collared neckline
- Regular fit
- Front button fastening
- Self-tie waist closure
- 2 chest pockets
- Half tabbed sleeves
- Polyester",Black,100% Polyester
35,Banana Republic,Parker Classic Top,S$ 123.90,"- Stripe printed shirt
- Collared neckline
- Unlined
- Regular fit
- Button fastening
- Curved hem
- Lyocell
- Model wears an S and is 173cm tall",White/Navy Stripe,100% Lyocell
36,TOPSHOP,Petite Mid Blue Mom Jeans,S$ 79.90,"- Mid blue mom jeans with distressed pocket detail
- High rise
- Relaxed fit
- Button and zip fastening
- 5 pockets
- Cotton
- Model wears a size 26 and is 173cm tall",Mid Denim,100% Cotton
37,Wallis,PETITE Black Floral Print Dress,S$ 119.00,"- Floral print ruffle detail midi waist tie dress
- V-neckline
- Lined
- Slim fit
- Zip and waist tie fastening
- Polyester
- Model wears a UK 8 and is 175cm tall",Black,100% Polyester
38,Miss Selfridge,PETITE PALE YELLOW SCARF PRINT JUMPSUIT,S$ 113.00,"- Scarf print flowy jumpsuit
- Round neckline
- Unlined
- Regular fit
- Back teardrop button fastening
- Viscose
- Model wears a UK 8 and is 176cm tall",YELLOW,100% Viscose
39,Miss Selfridge,Petite Rust Linen Romper,S$ 79.90,"- Button up romper
- Scoop neckline
- Lined
- Regular fit
- Button fastening
- Waist tie
- 2 pockets
- Viscose blend
- Model wears a UK 8 and is 173cm tall",Brown,"48% Viscose, 27% Linen, 25% Cotton"
40,TOPSHOP,PETITE Velvet Drape Mini Skirt,S$ 69.90,"- Velvet textured drape mini skirt
- Mid rise
- Lined
- Regular fit
- Polyester",BRIGHT PINK,Garment: Polyester(100%) Lining: Cotton(35%) Polyester(65%)
41,TOPSHOP,Petite Mid Blue Mom Jeans,S$ 79.90,"- Mid blue mom jeans with distressed pocket detail
- High rise
- Relaxed fit
- Button and zip fastening
- 5 pockets
- Cotton
- Model wears a size 26 and is 173cm tall",Mid Denim,100% Cotton
42,Forever New,Charlotte Petite Drape Maxi Dress,S$ 189.99,"Good things come in small packages! This berry drape maxi dress is part of our petites range. Team with nude or metallic accessories for an event-worthy ensemble. Our petites range is perfectly proportioned to fit 5’3”/161cm and under height, so you’ll never have to worry about alterations ever again.
- Fitted bodice
- Wrap front maxi skirt
- Woven drape fabrication
- Thin fixed cross over straps
- Zip back fastening",Berry Bliss,"Outer: 100% Polyester. Lining: 97% Polyester, 3% Elastane"
43,Miss Selfridge,Petite Black Floral Skirt,S$ 76.90,"- Floral printed midi skirt
- Mid rise
- Unlined
- Regular fit
- Zip fastening
- Viscose",Black,Garment: Viscose(100%)
44,Miss Selfridge,PETITES LACE EMBELLISHED TROUSERS,S$ 133.90,"- Metallic lace and mesh cropped pants
- High rise
- Regular fit
- Zip fastening
- Nylon
- Model wears a UK 8 and is 173 c tall",BLACK,Garment: Nylon(100%) Lining: Polyester(100%)
45,Dorothy Perkins,Petite Snake Fit And Flare Dress,S$ 89.90,"- Snake print fit and flare mini dress with waist tie
- Keyhole neckline
- Unlined
- Slim fit
- Button and waist tie fastening
- Polyester",Green,Garment: Polyester(100%)
46,Miss Selfridge,Petite Ivory Broderie Shell Top,S$ 59.90,"- Solid-tone plain sleeveless top with floral frills
- Unlined
- Square neckline
- Regular fit
- Polyblend
- Model wears a UK 8 and is 174cm tall",Cream,"95% Polyester, 5% Elastane"
47,Miss Selfridge,VELVET BURNOUT PLAYSUIT,S$ 106.90,"- Shirred waist velvet playsuit
- Off shoulder neckline
- Lined
- Regular fit
- Slip on style
- Viscose blend
- Model wears a UK 8 and is 174cm tall",BLACK,"57% Viscose, 43% Nylon"
48,Dorothy Perkins,Petite Lurex Pussybow Blouse,S$ 69.90,"- Sheer two-tone printed blouse
- Mandarin collar neckline
- Slim fit
- Unlined
- Self tie fastening
- Polyblend
- Model wears a UK 8 and is 173cm tall",Black,"99% Polyester, 1% Metallised fibre"
49,Miss Selfridge,Petite Ivory Linen Spot Print Skater Dress,S$ 86.90,"- Polka dot printed mini dress with waist tie sash
- Unlined
- V neckline
- Regular fit
- Button fastening
- Linen blend",Cream,Garment: Linen(53%) Viscose(47%)
50,Wallis,Petite Black Embellished Jumper,S$ 109.00,"- Diamante embellished knit jumper
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Viscose blend
- Model wears an S and is 173cm tall",Black,"81% Viscose, 19% Polyamide"
51,Dorothy Perkins,Petite Stripe Maxi Dress,S$ 69.90,"- Stripe print waist tie maxi dress
- Unlined
- V neckline
- Regular fit
- Waist tie fastening
- Viscose blend
- Model wears a UK 8 and is 181cm tall",Black,"97% Viscose, 3% Elastane"
52,Dorothy Perkins,Petite Daisy Print Tee Dress,S$ 59.90,"- Skater dress with floral print
- Unlined
- Round neckline
- Regular fit
- Slip-on style
- 2 front pockets
- Short sleeves
- Flared hem
- Cotton blend
- Model wears a UK 8 and is 174cm tall",Black,"96% Cotton, 4% Elastane"
53,Miss Selfridge,PETITES PINK PEPLUM SHIRT DRESS,S$ 73.90,"- Crinkle mini shirt dress with waist tie and ruffle hem
- Collar neckline
- Unlined
- Slim fit
- Button and waist tie fastening
- Polyester
- Model wears a UK 8 and is 173 c tall",PINK,Garment: Polyester(100%)
54,Miss Selfridge,PETITES NUDE MINI WRAP COAT,S$ 189.90,"- Solid tone tie front twill coat
- Lined
- Lapel neckline
- Regular fit
- Self tie closure
- 2 sewn front pockets
- Polyester
- Model wears a UK 8 and is 174cm tall",PINK,100% Polyester
55,Dorothy Perkins,Petite Ivory Floral Midi Dress,S$ 109.00,"- Floral print midi dress
- Unlined
- Round neckline
- Regular fit
- Back zip fastening
- Polyester
- Model wears a UK 8 and is 181cm tall",Ivory,100% Polyester
56,Dorothy Perkins,Petite Blue Floral Dress,S$ 99.90,"- Floral print button through tie front mini dress
- Unlined
- Collar neckline
- Regular fit
- Front button closure
- Front tie fastening
- Viscose
- Model wears a UK 8 and is 173cm tall",Blue,100% Viscose
57,TOPSHOP,Petite Satin Ruched Prairie Blouse,S$ 56.90,"- Solid tone 3/4 sleeve blouse with ruched detail
- Unlined
- Square neckline
- Slim fit
- Polyester
- Model wears a UK 8 and is 176cm tall",Black,100% Polyester
58,TOPSHOP,PETITE Khaki Double Breasted Lined Blazer,S$ 109.00,"- Solid tone tailored blazer
- Notch lapel collared neckline
- Lined
- Regular fit
- Button fastening
- Viscose blend",KHAKI,"92% Viscose, 8% Polyester"
59,Wallis,PETITE Cream Printed Shift Dress,S$ 109.00,"- Floral print sleeveless mini shift dress
- Lined
- Round neckline
- Regular fit
- Back zip and button fastening
- Viscose
- Model wears a UK 8 and is 174cm tall",Cream,100% Viscose
60,TOPSHOP,PETITE Cream Faux Fur Zip Hoodie,S$ 79.90,"- Soft textured faux fur hoodie
- Hooded neckline
- Lined
- Slim fit
- Front zip fastening
- Ribbed cuffs and hem
- Polyester
- Model wears an XS/S and is 173cm tall",CREAM,Garment: Polyester(100%) Lining: Cotton(60%) Polyester(40%)
61,Miss Selfridge,Petite Gold Jacquard Midi Skirt,S$ 116.90,"- Jacquard print midi skirt
- Mid rise
- Unlined
- Regular fit
- Zip with hook fastening
- Cotton blend",Metallic,"59% Cotton, 33% Polyester, 8% Metallised fibre"
62,Wallis,PETITE Red Paisley Print Maxi Dress,S$ 129.00,"- Paisley printed sleeveless maxi dress with tassel
- Comes with waist tie sash
- Unlined
- Stand collar v neckline
- Regular fit
- Viscose blend
- Model wears a UK 8 and is 170cm tall",Orange,[]
63,Wallis,Petite Blue Paisley Midi Dress,S$ 129.00,"- Paisley printed midi dress
- Lined
- V neckline
- Regular fit
- Zip fastening
- Polyester
- Model wears a UK 8 and is 170cm tall",Blue,Polyester
64,Dorothy Perkins,Petite Paisley Shirt Dress,S$ 89.90,"- Mini dress with allover print
- Unlined
- Shirt collar
- Regular fit
- Front button fastening
- Self-tie waist closure
- Viscose",Orange,100% Viscose
65,Miss Selfridge,Petite Cream Teddy Bomber Jacket,S$ 139.90,"- Solid tone fleece textured teddy bomber jacket
- Collared neckline
- Lined
- Regular fit
- Zip fastening
- 2 side zip pockets
- Polyester
- Model wears a UK 8 and is 177cm tall",Cream,100% Polyester
66,TOPSHOP,PETITE Black Faux Fur Zip Hoodie,S$ 79.90,"- Solid shade faux fur zip front hoodie
- Hooded neckline
- Relaxed fit
- Front zip fastening
- Polyester",Black,100% Polyester
67,Miss Selfridge,Petite White Jacquard Midi Dress,S$ 163.00,"- Ruffled one shoulder metallic jacquard midi dress
- Unlined
- Asymmetrical neckline
- Regular fit
- Side zip fastening
- Cotton blend
- Model wears a UK 8 and is 173cm tall",Metallic,"59% Cotton, 33% Polyester, 8% Metallised fibre"
68,Dorothy Perkins,Petite Black Frankie Pants,S$ 56.90,"- Solid-tone skinny crop pants
- Unlined
- Mid rise
- Regular fit
- 2 faux side pockets
- 2 rear pockets
- Cotton blend
- Model wears a UK 8 and is 177cm tall",Black,"66% Cotton, 32% Polyester, 2% Elastane"
69,TOPSHOP,PETITE Black Metallic Thread Joni Jeans,S$ 99.90,"- Metallic tone high waisted skinny jeans
- High rise
- Skinny fit
- Zip fly and butotn fastening
- 2 back pockets
- Cotton blend
- Model wears a size 26 and is 173cm tall",BLACK,Garment: Cotton(80%) Elastane(4%) Metallic fibre(16%)
70,Miss Selfridge,Petite Cream Utility Floral Shirt Dress,S$ 99.90,"- Floral print belted utility shirt dress
- Unlined
- Lapel neckline
- Regular fit
- Front button and adjustable belt fastening
- One chest pocket
- Viscose blend",Cream,"51% Viscose, 28% Cotton, 21% Linen"
71,Miss Selfridge,Petite Yellow Tie Front Utility Shirt,S$ 73.90,"- Solid shade tie front utility shirt with tie sleeves
- Lapel neckline
- Unlined
- Boxy fit
- Front button and self tie fastening
- Two chest pockets
- Viscose
- Model wears a UK 8 and is 174cm tall",Yellow,100% Viscose
