,brand,title,price,description,colour,material
0,ZALORA,Front Pleated Shorts With Side Slits,S$ 29.90,"- Solid hue shorts with side slits
- Mid rise
- Regular fit
- Button and zip fastening
- 2 side pockets
- Rayon blend
- Model wears an S and is 174cm tall",Blue,"65% Rayon, 35% Spandex"
1,adidas,Adidas 3 Stripe Woven Short,S$ 30.00,"- adidas performance
- Best for training
- Monochrome toned brand logo shorts with side stripes
- Mid rise
- Regular fit
- Elasticised waistband
- Climalite to wick sweats
- Polyester",Black/White,"73% Polyester , 27% Recycled Polyester Plain Weave"
2,Under Armour,UA HG Armour Shorty,S$ 45.00,"- Best for training
- Printed waistband HeatGear shorts with metallic logo
- Locked-in UA Compression fit makes you feel more powerful
- Super-light HeatGear fabric delivers superior coverage without weighing you down
- Material wicks sweat & dries really fast
- 4-way stretch construction moves better in every direction
- Anti-odor technology prevents the growth of odor-causing microbes
- Ergonomic flatlock seams deliver a comfortable, chafe-free fit
- Slim fit
- Elasticated waistband
- Polyblend
- Model wears an S and is 174cm tall",After Burn/Halogen Blue/Halogen Blue,"87% Polyester, 13% Elastane"
3,ZALORA ACTIVE,Jogger Drawstring Shorts,S$ 24.90,"- Curved hem drawstring jogger shorts
- Mid rise
- Regular fit
- Elasticated waistband with drawstring fastening
- Polyblend",Black,95% Polyester 5% Spandex
4,adidas,Adidas 3s Knit Short,S$ 30.00,"- adidas performance
- Best for training
- adidas three stripes training shorts
- Mid rise
- Regular fit
- Elasticated waistband 
- Polyester
- Model wears an S and is 173cm tall",Black,100% Polyester
5,Nike,"Women's Nike 10K 2""1 Running Shorts",S$ 42.00,"- Best for running 
- High rise
- Fits true to size, take your usual size
- Moisture-managing Dri-FIT fabric moves sweat away from the skin
- Gartered waist with inner shorts
- Polyester
- Athleisure
- Model wears an S and is 180cm tall",Black/Wolf Grey,Polyester
6,Something Borrowed,Embroidered Shorts,S$ 39.90,"- Embroidered frayed hem denim shorts
- Mid rise
- Unlined
- Regular fit
- Button and zip fastening
- Five pocket style
- Cotton blend",Blue,"90% Cotton, 10% Polyester"
7,Mango,Check Bermuda Shorts,S$ 55.90,"- Checkered print casual shorts
- Sizing runs one size larger
- Mid rise
- Regular fit
- Zip and button fastening
- Two side pockets
- Polyblend",Navy,"64% Polyester, 34% Viscose, 2% Elastane"
8,ZALORA,Twill Paperbag Shorts,S$ 39.90,"- Belted paperbag shorts with contrast seams
- Unlined
- High rise
- Regular fit
- Front zip, button and D -ring belt closure
- 2 side pockets
- 2 back pockets
- Cotton",Beige,100% Cotton
9,Under Armour,UA New Play Up Shorts,S$ 39.00,"Workout with a complete ease of mind knowing that Under Armour has got your back when it comes to comfy workout apparels without skimping on style and functionality. Curated from HeatGear® fabric that offers an abundance of support whilst keeping you dry with the sweat-wicking feature, the ergonomic flatlock seams promises for a second-skin wearing experience.- Polyester- Mid rise- HeatGear® fabric- Elasticised waistband- Signature Moisture Transport System- Relaxed fit- Unlined",Carbon Heather/Black,100% Polyester
10,Supre,Bondi Shorts,S$ 40.00,"- Denim ripped shorts with frayed fringe details
- Mid rise
- Regular fit
- Front zip with button fastening
- 4 pockets
- Cotton blend",Light Blue Wash,99% Cotton 1% Elastane
11,ZALORA,Paperbag Elasticated Shorts,S$ 32.90,"- Solid tone tailored paperbag shorts
- High rise
- Unlined
- Regular fit
- Elasticised waistband with waist tie fastening
- Polyester",Black,100% Polyester
12,Bove by Spring Maternity,Knitted Cotton Spandex Shorts,S$ 29.90,"Knitted Cotton Shorts with added elasticity for a mother’s comfort and two front pockets designed for convenience. It’s long waistband is made to fit through different stages of pregnancy, for you to fold down or to wear over your growing belly. A must-have suited for daily errand runs.

- high foldable belly band
- relaxed fit
- two side pockets",BLACK,[]
13,adidas,Adidas Own The Run Short Tights,S$ 55.00,"- adidas performance
- Best for running
- Monochrome short running tights
- Climacool ventilation
- Adaptive Formotion design
- 360 degrees of reflectivity
- Slim fit
- Elasticised waistband with drawcords
- Recycled polyblend
- Model wears an S and is 175cm tall",Black,"55% Recycled Polyester, 28% Polyester, 17% Elastane"
14,ZALORA,Paperbag Shorts With Self Tie,S$ 34.90,"- Printed paperbag shorts
- Mid rise
- Unlined
- Regular fit
- Side zip and waist tie fastening
- 2 front side pockets
- Polyester",Black/Multi,100% Polyester
15,ESPRIT,Side Stripe Shorts,S$ 89.95,"- Side taping detail shorts with ripped detail
- Sizing runs one size larger
- Mid rise
- Slim fit
- Button and zip fastening
- 5 pockets
- Raw hem
- Cotton
- Model wears a size 26 in and is 173cm tall",Blue Medium Wash,100% Cotton
16,Nike,Nike Tempo Women's Running Shorts,S$ 39.00,"- Best for running
- Logo print running shorts with contrasting trim
- Lined
- High rise
- Regular fit
- Elastic waistband
- Inner drawstring fastening
- 1 inner slot pocket
- Mesh on the sides adds ventilation
- Dri-FIT technology allows wearer to stay dry and comfortable
- Polyester",Black/Black/White/Wolf Grey,100% Polyester
17,Guess,Guess Selah Studded Denim Skort,S$ 129.00,"- Spiked denim skorts with whisker detail
- Unlined
- High rise
- Regular fit
- Front zip and button closure
- 5-pocket design
- Cotton blend
- Model wears a size 26 in and is 173cm tall",Black,"66% Cotton, 21% Polyester, 12% Rayon, 1% Spandex"
18,Under Armour,Fly By Printed Shorts,S$ 45.00,"- Printed running shorts with breathable side panels
- Material wicks sweat & dries really fast
- Regular fit
- Elasticised waistband
- Internal drawstring
- 2 side pockets
- Polyester
- Model wears an S and is 175cm tall",Halo Gray/Black/Reflective,[]
19,Champion,Practice Shorts,S$ 39.00,"- Brand logo melange casual shorts
- High rise
- Regular fit
- Elasticated waistband fastening
- Cotton
- Model wears an S and is 172cm tall",Black,100% Cotton
20,FOREVER 21,Active Training Graphic Biker Shorts,S$ 35.00,"- Monochrome toned biker shorts with graphic print
- Mid rise
- Skinny fit
- Elasticised waistband
- Polyblend",Black/grey,Polyblend
21,ZALORA,Denim Paperbag Shorts With Self Tie,S$ 39.90,"- Contrast seam denim paperbag shorts
- High rise
- Unlined
- Regular fit
- Button fly with waist tie fastening
- Four pocket style
- Cotton blend",Indigo,81.6% Cotton 10% Polyester 8.4% Viscose
22,Nike,As W Nike Dry Shorts,S$ 45.00,"- Best for training
- Monochrome training shorts with iridescent logo
- Nike Dri-FIT Technology helps you stay dry, comfortable and focused
- Regular fit
- Elastic waistband and exterior drawstring
- Polyester
- Model wears an S and is 175cm tall",Black,[]
23,FOREVER 21,Mid-Rise Denim Shorts,S$ 45.00,"- Solid tone plain denim shorts
- Mid waist
- Regular fit
- Zip-fly and button fastening
- Self tie waist belt
- 5 pockets
- Cotton blend",Light Denim,100% Cotton blend
24,Mango,Tropical Print Shorts,S$ 79.90,"- Printed shorts with bow detail
- Sizing runs one size larger
- High rise
- Regular fit
- Button, hook & zip fastening
- Self-tie waist closure
- Belt loops
- 2 side pockets
- Polyester blend",Black,"94% Polyester, 6% Elastane"
25,ZALORA,Front Pleated Shorts With Side Slits,S$ 29.90,"- Printed shorts with side slits
- Mid rise
- Regular fit
- Button and zip fastening
- 2 side pockets
- Polyester
- Model wears an S and is 174cm tall",Maroon/Multi,100% Polyester
26,Under Armour,UA HG Armour Shorty Print,S$ 49.00,"- Best for training
- Super-light HeatGear® fabric
- Ergonomic flatlock seams
- Skin-tight shorts with allover print
- Mid rise
- Skinny fit
- Elasticised waistband
- Polyester blend
- Model wears an M and is 174cm tall",Purple Ace/Metallic Silver,[]
27,ZALORA ACTIVE,Jogger Drawstring Shorts,S$ 24.90,"- Curved hem drawstring jogger shorts
- Mid rise
- Regular fit
- Elasticated waistband with drawstring fastening
- Polyblend",Khaki,95% Polyester 5% Spandex
28,Something Borrowed,Origami Skort,S$ 24.90,"- Solid tone origami style overlay skort
- Mid rise
- Unlined
- Regular fit
- Back zip fastening
- Polyester",Red,100% Polyester
29,FOREVER 21,Linen-Blended Foldover Leaf Print Shorts,S$ 35.00,"- Leaf print waist tie layered shorts
- High rise
- Regular fit
- Waist tie fastening
- 2 pocket design
- Polyblend",Cream/orange,Polyester blend
30,ZALORA,Paperbag Shorts With Self Tie,S$ 29.90,"- Solid-colour high-waisted shorts
- High rise
- Regular fit
- Elastic waist fastening
- Self-tie waist closure
- 2-pocket style
- 2 belt loops
- Rear false pockeet
- Viscose/Nylon blend
- Model wears an S and is 170cm tall",Beige,70% Viscose 30% Nylon
31,ESPRIT,Flowery Denim Shorts,S$ 89.95,"- Fringe hem denim shorts with embroidered floral detail
- Sizing runs one size larger
- Unlined
- High rise
- Regular fit
- Front zip and button closure
- 2 side pockets
- 2 back pockets
- Cotton
- Model wears a size 26 in and is 175cm tall",Blue Light Wash,100% Cotton
32,Under Armour,UA Speedpocket Run Short,S$ 59.00,"- Best for running
- Solid tone logo printed running shorts
- Built in briefs
- High rise
- Regular fit
- Elastic waistband
- 4-way stretch construction moves better in every direction
- Anti-odor technology prevents the growth of odor-causing microbes
- Wide knit waistband for the perfect comfort fit
- Built-in brief for enhanced coverage
- Polyblend
- Model wears an S and is 173cm tall",Jet Gray/Impulse Pink/Reflective,"87% Polyester, 13% Elastane"
33,Champion,Practice Shorts,S$ 39.00,"- Brand logo casual shorts
- High rise
- Regular fit
- Elasticated waistband fastening
- Cotton
- Model wears an S and is 172cm tall",Oxford Grey,100% Cotton
34,Guess,Basic Dark Wash Denim Shorts,S$ 164.00,"- Dark washed toned shorts
- Mid rise
- Regular fit
- Front zip with button fastening
- 5 pockets
- Cotton blend
- Model wears a size 26 in and is 174cm tall",Blue,"99% Cotton, 1% Polyurethane"
35,Something Borrowed,Frayed Hem High Waisted Shorts,S$ 34.90,"- Casual denim shorts with frayed hem
- Unlined
- Mid rise
- Regular fit
- Front zip and button closure
- 5-pocket design
- Cotton blend",Light Blue,90% Cotton 10% Polyester
36,Under Armour,Tech Mesh Shorts 3 Inch,S$ 29.00,"- Best for training
- Textured shorts with brand logo details
- Mid rise
- Regular fit
- Elasticised waistband
- Polyester
- Model wears an S and is 174cm tall",Black/Pitch Gray/Metallic Silver,Polyester
37,FOREVER 21,Glen Plaid Button Fly Shorts,S$ 36.90,"- Plaid print woven shorts
- High rise
- Regular fit
- Button and zip fastening
- Polyester",Black/Green,100% Polyester
38,Something Borrowed,Zipper Trim Denim Shorts,S$ 34.90,"- Contrast side zip frayed hem denim shorts
- High rise
- Regular fit
- Front zip and button fastening
- Five-pocket style
- Cotton blend
- Model wears an S and is 177cm tall",Black,90% Cotton 10% Polyester
39,ZALORA BASICS,Basic Paper Bag Belted Shorts,S$ 29.90,"- Solid tone paperbag style tailored shorts with waist belt
- Mid rise
- Unlined
- Regular fit
- Zip and waist belt fastening
- Polyester",Black,100% Polyester
40,Mango,Vicky Denim Shorts,S$ 45.90,"- Denim shorts with wash detail
- Sizing runs one size larger
- Low rise
- Regular fit
- Button & zip fastening
- 5-pocket style
- Turnover hem
- Belt loops
- Cotton blend",Open Blue,"98% Cotton, 2% Elastane"
41,ZALORA,Paperbag Elasticated Shorts,S$ 32.90,"- Solid tone tailored paperbag shorts
- High rise
- Unlined
- Regular fit
- Elasticised waistband with waist tie fastening
- Polyester",Dusty Pink,100% Polyester
42,Mango,Cotton-Blend Shorts,S$ 39.90,"- Solid tone tailored shorts
- Sizing runs one size larger
- Mid rise
- Unlined
- Regular fit
- Button and zip fastening
- 2 front side pockets
- Cotton blend",Navy,"52% Cotton, 45% Polyester, 3% Elastane"
43,Under Armour,"Tech Mesh 3"" Shorts",S$ 29.00,"- Best for training
- Contrast trim brand logo shorts
- Mid rise
- Unlined
- Regular fit
- Elasticised waistband
- UA Techâ„¢ mesh fabric is soft & uses a pinhole mesh for superior ventilation
- Material wicks sweat & dries really fast
- Anti-odor technology prevents the growth of odor-causing microbes
- Polyester
- Model wears an S and is 174cm tall",Fractal Pink/Peach Plasma/Metallic Silver,100% Polyester
44,ZALORA,Button Detail Shorts,S$ 29.90,"- Pleated shorts with buttons
- High rise
- Regular fit
- Back zip fastening
- Decorative buttons
- Polyester",Black,100% Polyester
45,Mango,Cotton-Blend Shorts,S$ 39.90,"- Solid-colored essential shorts
- Sizing runs one size larger
- Medium rise
- Regular fit
- Button & zip fastening
- 5-pocket style
- Turnover hem
- Belt loops
- Cotton blend",Navy,"98% Cotton, 2% Elastane"
46,adidas,Adidas M20 Short Camo,S$ 45.00,"- adidas performance
- Best for running
- Camo print secure-fit running shorts
- Formotion follows the natural movement of sport for a better fit and greater comfort in motion
- High rise
- Slim fit
- Elastic waistband
- Polyester",Black,"56% Recycled Polyester , 44% Polyester Plain Weave"
47,Supre,Bondi Shorts,S$ 40.00,"- Denim shorts with frayed fringe details
- Mid rise
- Regular fit
- Front zip with button fastening
- 4 pockets
- Cotton blend",Middle Wash Blue,"95% Cotton, 3% Polyester, 2% Elastane"
48,Nike,Nike 10K Women's Graphic Running Shorts,S$ 45.00,"- Best for running
- Printed running shorts with contrasting trim
- Unlined
- High rise
- Regular fit
- Elastic waistband
- Inner drawstring fastening
- Ruched elastic waistband with internal drawcord delivers adjustable comfort
- Dri-FIT technology allows wearer to stay dry and comfortable
- Polyester",Black/Jade Horizon/White,100% Polyester
