,brand,title,price,description,colour,material
0,PETRA,Stella Skirt,S$ 80.90,"- Floral maxi skirt with layered ruffles
- Unlined
- High waist
- Regular fit
- Elasticised waistband
- Rear zip fastening
- Chiffon crepe
- Model wears an S and is 175cm tall",Navy/white,[]
1,A-IN GIRLS,New Loose Waist Stripes Half Skirt,S$ 183.75,"The latest Korean fashion hot selection
- Korean fashion, smart choice
- easy to match, fashion up to people
- hot new, to the tide to IN
- The product is manufactured differently depending on the supplier",blue,"70% cotton, 30% polyester"
2,Dorothy Perkins,Check Skirt,S$ 69.90,"- Checkered print midi skirt
- Lined
- Mid rise
- Regular fit
- Back zip fastening
- Side pockets
- Polyblend
- Model wears a UK 8 and is 172cm tall",MULTI BRIGHT,"95% Polyester, 5% Viscose"
3,Dorothy Perkins,Black And Ochre Check Mini Skirt,S$ 69.90,"- Houndstooth print mini skirt
- Lined
- High rise
- Regular fit
- Side zip closure
- Polyblend
- Model wears a UK 8 and is 174cm tall",MULTI BRIGHT,"66% Polyester, 22% Acrylic, 6% Viscose, 5% Nylon, 1% Wool"
4,Cotton On,Oak Check Mini Skirt,S$ 34.99,"- Checkered skirt with slit
- Unlined
- Medium rise
- Regular fit
- Back zip fastening
- Side hem split
- Polyblend
- Model wears an S and is 177cm tall",Laura Check Red Mahogany,"86% Polyester, 14% Viscose"
5,ZALORA,High Waist Skirt With Front Slit,S$ 39.90,"- Solid tone skirt with split hem
- Unlined
- High waist
- Regular fit
- Rear zip fastening
- Polyester",Forest Green,100% Polyester
6,ZALORA,Paperbag Midi Skirt,S$ 39.90,"- Solid tone tie front midi skirt
- Unlined
- High rise
- Regular fit
- Front zip and hook closure
- Self tie fastening
- 2 side pockets
- 2 back pockets
- Viscose blend",Beige,69% Viscose 26% Polyamide 5% Spandex
7,Lubna,Frill Rib Knit Co-ord,S$ 49.90,"Top
- Solid tone ribbed long sleeve roll neck top
- Unlined
- Turtle neckline
- Regular fit
- Polyblend

Bottom
- Solid tone ribbed maxi skirt
- Unlined
- Mid rise
- Regular fit
- Elastic waistband
- Polyblend",Pink,95% Polyester 5% Elastane Woven
8,Mango,Printed Mini Skirt,S$ 49.00,"- All over embroidered print mini skirt
- Sizing runs one size larger
- Unlined
- Mid rise
- Regular fit
- Back zip fastening
- Viscose",Black,100% Viscose
9,Vero Moda,Awarddora Below Knee Coated Skirt,S$ 69.00,"- Solid tone faux leather midi skirt with decorative buttons
- Unlined
- High rise
- Regular fit
- Back zip closure
- 1 front pocket
- Polyester- Polyurethane coated
- Model wears an S and is 173cm tall",Black,100% Polyester- Polyurethane coated
10,Mango,Tweed Mini Skirt,S$ 59.90,"- Tweed texture decorative button mini skirt
- Sizing runs one size larger
- Lined
- Mid rise
- Regular fit
- Back zip fastening
- Polyblend
- Model wears a size 34 and is 173cm tall",Black,"37% Polyester, 37% Cotton, 14% Acrylic, 10% Viscose, 2% Elastane"
11,FOREVER 21,Zippered Corduroy Mini Skirt,S$ 35.00,"- Solid shade corduroy A-line mini skirt
- Regular fit
- Front zip fastening
- Cotton",Black,100% Cotton
12,FOREVER 21,Contrast-Stitch Denim Mini Skirt,S$ 35.00,"- Contrast stitching denim mini skirt with raw hem
- Unlined
- Regular fit
- Front zip and button fastening
- Five-pocket style
- Cotton",Black/white,100% Cotton
13,Dorothy Perkins,Mini Dot Half Pleat Skirt,S$ 79.90,"- Polka dot print midi skirt with pleated bottom
- Unlined
- High rise
- Regular fit
- Side zip closure
- Polyblend
- Model wears a UK 6 and is 174cm tall",RED,"95% Polyester, 5% Elastane"
14,Its Me,Retro Wave Point Ruffled Skirt,S$ 225.00,"- A-Line Version
- Medium-High Waist Design
- Rear Elastic Waist
- Fashion Polka-Dot Elements
- Concealed Zipper On The Right
- Ruffled Skirt
- Have Lining","orange,white","Fabric: 100% polyester fiber; lining: 90.5% polyester fiber, 9.5% spandex;"
15,ZALORA,A-line Skirt With Buttons,S$ 39.90,"- Wrap faux leather mini skirt
- Unlined
- High waist
- Regular fit
- Snap button fastening
- Polyvinyl blend",Olive,71.5% Polyvinyl 20.5% Polyester 8% Polyurethane
16,ZALORA,Super High Waisted Skirt With Self Tie Belt,S$ 39.90,"- Solid tone paperbag midi skirt
- Unlined
- High rise
- Regular fit
- Back zip and waist sash fastening
- Polyester",Forest Green,100% Polyester Woven
17,Mango,Polka Dots Midi Skirt,S$ 59.90,"- Polka dot print flared midi skirt
- Sizing runs one size larger
- Unlined
- Mid rise
- Regular fit
- Back zip fastening
- Polyester",Black,100% Polyester
18,Pieces,Irine High Waist Pencil Skirt,S$ 39.00,"- Rib panel casual mini skirt
- Unlined
- High rise
- Regular fit
- Elasticised waistband
- Viscose blend
- Model wears an S and is 175cm tall",Black,"68% Viscose, 27% Nylon, 5% Elastane"
19,WAREHOUSE,Metallic Pleated Skirt,S$ 99.00,"- Pleated midi skirt with metallic finish 
- Mid rise
- Unlined
- Regular fit
- Elasticised waistband
- Polyblend
- Model wears a UK 8 and is 173cm tall",Silver,"53% Polyester, 47% Metallic Fibre LINING: 100% Polyester"
20,Lubna,Frill Rib Knit Co-ord,S$ 49.90,"Top
- Solid tone ribbed long sleeve roll neck top
- Unlined
- Turtle neckline
- Regular fit
- Polyblend

Bottom
- Solid tone ribbed maxi skirt
- Unlined
- Mid rise
- Regular fit
- Elastic waistband
- Polyblend",Black,95% Polyester 5% Elastane Woven
21,Pepe Jeans,Dua Lipa X Pepe Jeans Collections Mia Denim Skirt,S$ 111.90,"- In collaboration with Dua Lipa
- Contrast seams mini skirt
- Mid rise
- Unlined
- Regular fit
- Button and zip fastening
- 4 pockets
- Cotton blend
- Model wears an S and is 173cm tall",Denim,"94% Cotton, 4% Polyester, 2% Elastane"
22,Cotton On,Oak Check Mini Skirt,S$ 34.99,"- Checkered skirt with slit
- Unlined
- Medium rise
- Regular fit
- Back zip fastening
- Front hem split
- Polyester blend
- Model wears an S and is 177cm tall",Lexi Check Black,"86% Polyester, 14% Viscose"
23,Mango,Faux-leather Skirt,S$ 45.90,"- Solid toned faux leather mini skirt
- Sizing runs one size larger
- Mid rise
- Unlined
- Regular fit
- Zip fastening
- Polyester",Black,100% Polyester
24,Mango,Linen Midi Skirt,S$ 89.90,"- Solid tone waist tie midi skirt
- Sizing runs one size larger
- Unlined
- Mid rise
- Regular fit
- Back zip and removable waist tie fastening
- Viscose blend",Sand,"52% Viscose, 48% Linen"
25,TOPSHOP,Burgundy Vinyl Crocodile Print Midi Skirt,S$ 99.90,"- Crocodile textured midi skirt
- High rise
- Regular fit
- Button fastening
- Polyurethane",BURGUNDY,Garment: Polyurethane(100%)
26,Boohoo,Ruffle Hem Floral Midi Skirt,S$ 46.90,"- All over print high waisted midi skirt with ruffle detail
- High rise
- Regular fit
- Polyester",Black,100% Polyester
27,ZALORA,Trumpet Mid Skirt,S$ 44.90,"- Solid hue midi skirt
- Mid rise
- Regular fit
- Zip fastening
- Polyblend",Fuschia,97% Polyester 3% Spandex Woven
28,Lubna,Front Buttoned Pocket Skirt,S$ 28.90,"- Solid shade button front maxi skirt with pockets
- Unlined
- Flared fit
- Side zip fastening
- Two front pockets
- Polyester",Army Green,100% Polyester
29,ZALORA,Colourblock A-line Skirt,S$ 39.90,"- Two tone midi skirt
- Unlined
- High rise
- Regular fit
- Side zip closure
- Polyester",Navy/Multi,100% Polyester Woven
30,WAREHOUSE,INT CHEVRON STRIPE MIDI SKIRT,S$ 99.00,"- Chevron stripe print pleated midi skirt
- Lined
- Regular fit
- Side zip fastening
- Polyester
- Model wears a UK 8 and is 172cm tall",Black Stripe,MAIN: 100% Viscose
