web-scraper-order,web-scraper-start-url,link,link-href,title,brand,price,description,material,colour,category
"1573746651-12603","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","55% OFFICHIFlorence TeeS$ 70.90NOW S$ 31.90International Sizes:XSSML","https://www.zalora.sg/ichi-florence-tee-black-1226899.html","Florence Tee","ICHI","S$ 70.90","- Heart motif casual tee
- V-neckline
- Unlined
- Regular fit
- Modal blend
- Model wears an S and is 175cm tall","67% Modal, 33% Polyester","Black","Tops"
"1573743666-11755","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","11% OFFNikeNike Dri-Fit TopS$ 45.00NOW S$ 39.90International Sizes:L","https://www.zalora.sg/nike-nike-dri-fit-top-pink-988238.html","Nike Dri-Fit Top","Nike","S$ 45.00","- Best for training
- Two toned Dri-Fit tank top
- Scoop neckline
- Unlined
- Regular fit
- Dri-Fit technology
- Polyester
- Model wears an S and is 180cm tall","Polyester","Pink Rise/Heather/White/White","Tops"
"1573761740-16199","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","8% OFFFOREVER 21Buffalo Plaid Crop TopS$ 36.90NOW S$ 33.90International Sizes:L","https://www.zalora.sg/forever-21-buffalo-plaid-crop-top-black-1230734.html","Buffalo Plaid Crop Top","FOREVER 21","S$ 36.90","- Checkered print puff sleeve crop top
- Square neckline
- Slim fit
- Polyblend","Polyblend","Black/Ivory","Tops"
"1573777597-18132","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","52% OFFBoohooWoven Button Back Shell TopS$ 32.90NOW S$ 15.90UK Sizes:68101214","https://www.zalora.sg/boohoo-woven-button-back-shell-top-red-1115193.html","Woven Button Back Shell Top","Boohoo","S$ 32.90","- Crepe top with ruffle trim
- Round neckline
- Regular fit
- Back button fastening
- Short ruffled sleeves
- Hem with frill
- Polyester blend
- Model wears a UK 8 and is 174cm tall","97% Polyester, 3% Elastane","Red","Tops"
"1573756032-14999","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","10% OFFMama.liciousMaternity Patricia Long Sleeve Mix TopS$ 59.00NOW S$ 52.90International Sizes:SMLXL","https://www.zalora.sg/mama-licious-maternity-patricia-long-sleeve-mix-top-black-1262853.html","Maternity Patricia Long Sleeve Mix Top","Mama.licious","S$ 59.00","- Solid tone sheer plumeti sleeve top
- Round neckline
- Unlined
- Regular fit
- Back teardrop button fastening
- Viscose blend
- Model wears an S and is 173cm tall","95% Viscose, 5% Elastane","Black","null"
"1573777624-18135","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","13% OFFSomething BorrowedHigh Neck Victorian Blouse With SmockingS$ 39.90NOW S$ 34.90International Sizes:SLXL","https://www.zalora.sg/something-borrowed-high-neck-victorian-blouse-with-smocking-blue-1149085.html","High Neck Victorian Blouse With Smocking","Something Borrowed","S$ 39.90","- All over print blouse with smocked detail
- High neckline
- Unlined
- Regular fit
- Polyester","100% Polyester Woven","Blue/Multi","Tops"
"1573774186-17805","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","TOPSHOPPintuck Insert BlouseS$ 79.90UK Sizes:681014","https://www.zalora.sg/topshop-pintuck-insert-blouse-black-1285411.html","Pintuck Insert Blouse","TOPSHOP","S$ 79.90","- Solid tone sheer insert frill detail blouse
- V neckline
- Unlined
- Regular fit
- Button fastening
- Polyester","100% Polyester","BLACK","Tops"
"1573747265-12768","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","60% OFFYG FitnessQuick-Drying Running Fitness Yoga Dance Hooded T-ShirtS$ 156.45NOW S$ 62.58International Sizes:SM","https://www.zalora.sg/yg-fitness-quick-drying-running-fitness-yoga-dance-hooded-t-shirt-white-1147412.html","Quick-Drying Running Fitness Yoga Dance Hooded T-Shirt","YG Fitness","S$ 156.45","Body sculpting, 360-degree perfect body, perfect curve. 
 Suitable for: Leisure / Yoga / Running / Fitness / Dance / Outdoor Sports 
 - Comfortable fabric, breathable and quick-drying 
 - Mesh stitching 
 - Beauty back Dimensional cut","Polyester Fiber + Spandex","white","Tops"
"1573782937-18718","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","69% OFFZALORARuffles TopS$ 34.90NOW S$ 10.90International Sizes:XSSM","https://www.zalora.sg/zalora-ruffles-top-blue-1014491.html","Ruffles Top","ZALORA","S$ 34.90","- Solid tone ruffle detail top
- Round neckline
- Regular fit
- Button fastening
- Polyester
- Model wears an S and is 174cm tall","Polyester","Blue","Tops"
"1573753219-14321","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","59% OFFGrace & MilaRounded Collar Tee-shirt With LaceS$ 63.90NOW S$ 25.90International Sizes:SML","https://www.zalora.sg/grace-mila-rounded-collar-tee-shirt-with-lace-black-1117402.html","Rounded Collar Tee-shirt With Lace","Grace & Mila","S$ 63.90","- Short-sleeve tee with lace panels
- Round neckline
- Regular fit
- Rear button fastening
- Polyester
- Model wears an S and is 174cm tall","100% Polyester","Black","Tops"
