web-scraper-order,web-scraper-start-url,link,link-href,title,price,colour,description,material
"1573331974-12693","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH CONTRASTING COLLAR","https://www.zara.com/sg/en/top-with-contrasting-collar-p05584463.html","TOP WITH CONTRASTING COLLAR Details","S$ 45.90","Black","Long sleeve top with a matching high neck and gathers on the shoulders. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573336501-14065","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","null","","","","","",""
"1573332833-12940","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","FAUX LEATHER SKIRT","https://www.zara.com/sg/en/faux-leather-skirt-p02969243.html","FAUX LEATHER SKIRT Details","S$ 69.90","Black","Pleated mini skirt with an elastic waist and interior lining.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573335223-13640","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573337664-14379","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","PRINTED DRAPED TOP","https://www.zara.com/sg/en/printed-draped-top-p09006152.html","PRINTED DRAPED TOP Details","S$ 59.90","Black","V-neck crop top with long sleeves, ruched detail on the front and elastic on the back.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573338953-14794","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","null","","","","","",""
"1573331498-12579","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","FADED-EFFECT T-SHIRT WITH SLOGAN","https://www.zara.com/sg/en/faded-effect-t-shirt-with-slogan-p04424854.html","FADED-EFFECT T-SHIRT WITH SLOGAN Details","S$ 24.90","Grey","Short sleeve T-shirt with a round neckline and a slogan on the front.

Due to the dyeing process, the print on each T-shirt is unique and may differ from what is shown in the photo.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.","null"
"1573338996-14850","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH BOWS","https://www.zara.com/sg/en/dress-with-bows-p08342710.html","DRESS WITH BOWS Details","S$ 59.90","Oyster White","V-neck dress with short ruffled sleeves. Featuring a stretch waist detail with matching bows and a buttoned opening in the back. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341618-15566","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","HOUNDSTOOTH FROCK COAT","https://www.zara.com/sg/en/houndstooth-frock-coat-p07907605.html","HOUNDSTOOTH FROCK COAT Details","S$ 119.00","Ecru / Red","Long sleeve V-neck frock coat. Featuring front patch pockets and a double-breasted button-up front.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573334510-13434","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","LOOSE FIT CARGO TROUSERS","https://www.zara.com/sg/en/loose-fit-cargo-trousers-p07484226.html","LOOSE FIT CARGO TROUSERS Details","S$ 69.90","Light khaki","High-waist trousers with front pockets and side patch pockets. Featuring zipped elastic cuffs and metal hook, inside button and zip fly fastening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573335223-13683","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573339502-14964","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","EMBROIDERED DRESS WITH TASSELS","https://www.zara.com/sg/en/embroidered-dress-with-tassels-p05598030.html","EMBROIDERED DRESS WITH TASSELS Details","S$ 69.90","Maroon","Slot collar dress with V-neckline and adjustable cord. Featuring puff sleeves that reach below the elbow, contrast embroidery details and contrast tassels on the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341703-15590","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","FULL SLEEVE BLAZER","https://www.zara.com/sg/en/full-sleeve-blazer-p08171016.html","FULL SLEEVE BLAZER Details","S$ 139.00","Black","Long double-breasted blazer with a lapel collar and long sleeves puffed at the shoulders. Featuring front welt pockets, a belt with a lined buckle, a back vent and double-breasted fastening with lined buttons.

HEIGHT OF MODEL: 177 CM / 5′ 9″

JOIN LIFE
Care for fiber: at least 25% recycled polyester. 
Recycled polyester is made from recycled plastic bottles and consumes less water, less energy and fewer natural resources.","null"
"1573333743-13209","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","Z1975 RIPPED SKINNY JEANS","https://www.zara.com/sg/en/z1975-ripped-skinny-jeans-p05862191.html","Z1975 RIPPED SKINNY JEANS Details","S$ 59.90","Mid-blue","Mid waist jeans with a five-pocket design, ripped detailing on the front and turn-up hems. Front fastening with zip fly and gem button.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573335223-13675","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573342729-15917","https://www.zara.com/sg/en/woman-outerwear-l1184.html?v1=1281618","LONG CAPE WITH POCKETS","https://www.zara.com/sg/en/long-cape-with-pockets-p08315744.html","LONG CAPE WITH POCKETS Details","S$ 179.00","Mid-camel","Cape-style jacket in a wool blend. Featuring a round neckline, front welt pockets, side vents and front toggle fastener.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573333573-13166","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","Z1975 MOM FIT JEANS WITH CONTRAST POCKET","https://www.zara.com/sg/en/z1975-mom-fit-jeans-with-contrast-pocket-p01889163.html","Z1975 MOM FIT JEANS WITH CONTRAST POCKET Details","S$ 69.90","Mid-blue","Faded high waist jeans featuring a five-pocket design, contrast fabric appliqué on the pocket, frayed hems and zip fly and metal button fastening at the front. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573329902-12039","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","BASIC BLAZER","https://www.zara.com/sg/en/basic-blazer-p07647607.html","BASIC BLAZER Details","S$ 69.90","Bottle green","Blazer with a lapel collar and long sleeves. Featuring front flap pockets, a back vent and single-button fastening at the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573336501-14047","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","null","","","","","",""
"1573333593-13172","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","JEANS ZW PREMIUM NIGHT OUT HIGH WAIST SKINNY DEEP BLACK","https://www.zara.com/sg/en/jeans-zw-premium-night-out-high-waist-skinny-deep-black-p08246251.html","JEANS ZW PREMIUM NIGHT OUT HIGH WAIST SKINNY DEEP BLACK Details","S$ 69.90","Black","The Night Out High Waist Skinny in Deep Black.

High waist stretch jeans with darted detailing and metal zip fastening on the side.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341497-15530","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","null","","","","","",""
"1573329874-12030","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","FLARED TROUSERS","https://www.zara.com/sg/en/flared-trousers-p08043878.html","FLARED TROUSERS Details","S$ 69.90","Black","Mid waist flowing trousers with front pockets and rear welt pockets. Featuring flared hems and metal zip, inside button and hook fastening in the front. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573338899-14763","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","DRAPED CROP TOP","https://www.zara.com/sg/en/draped-crop-top-p08611116.html","DRAPED CROP TOP Details","S$ 89.90","Ecru","Open shoulder V-neck top. Featuring an elasticated back detail, front appliqué and matching hem, and invisible side zip fastening.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
