web-scraper-order,web-scraper-start-url,link,link-href,title,price,colour,description,material
1573331974-12693,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,TOP WITH CONTRASTING COLLAR,https://www.zara.com/sg/en/top-with-contrasting-collar-p05584463.html,TOP WITH CONTRASTING COLLAR Details,S$ 45.90,Black,"Long sleeve top with a matching high neck and gathers on the shoulders. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573338953-14794,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,null,,,,,,
1573331498-12579,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,FADED-EFFECT T-SHIRT WITH SLOGAN,https://www.zara.com/sg/en/faded-effect-t-shirt-with-slogan-p04424854.html,FADED-EFFECT T-SHIRT WITH SLOGAN Details,S$ 24.90,Grey,"Short sleeve T-shirt with a round neckline and a slogan on the front.

Due to the dyeing process, the print on each T-shirt is unique and may differ from what is shown in the photo.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.",null
1573338996-14850,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,DRESS WITH BOWS,https://www.zara.com/sg/en/dress-with-bows-p08342710.html,DRESS WITH BOWS Details,S$ 59.90,Oyster White,"V-neck dress with short ruffled sleeves. Featuring a stretch waist detail with matching bows and a buttoned opening in the back. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573339502-14964,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,EMBROIDERED DRESS WITH TASSELS,https://www.zara.com/sg/en/embroidered-dress-with-tassels-p05598030.html,EMBROIDERED DRESS WITH TASSELS Details,S$ 69.90,Maroon,"Slot collar dress with V-neckline and adjustable cord. Featuring puff sleeves that reach below the elbow, contrast embroidery details and contrast tassels on the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573341313-15468,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,POLKA DOT SATIN DRESS,https://www.zara.com/sg/en/polka-dot-satin-dress-p08342308.html,POLKA DOT SATIN DRESS Details,S$ 69.90,Fuchsia,"Short dress featuring a surplice neckline, long sleeves with elastic trim, front gathering, lining and invisible back zip fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573340978-15367,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,MIDI DRESS WITH SEAM DETAIL,https://www.zara.com/sg/en/midi-dress-with-seam-detail-p08717840.html,MIDI DRESS WITH SEAM DETAIL Details,S$ 89.90,Black,"Flowing A-line midi dress with a high neck and long sleeves. Featuring a gathered detail on the front and invisible back zip fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573340546-15246,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,LONG DRESS WITH RUFFLES,https://www.zara.com/sg/en/long-dress-with-ruffles-p07563270.html,LONG DRESS WITH RUFFLES Details,S$ 139.00,Purple,"Dress with a high neck and long sleeves. Featuring ruffle trims and front fastening with matching covered buttons.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573339956-15087,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,ANIMAL PRINT MINI DRESS,https://www.zara.com/sg/en/animal-print-mini-dress-p08253228.html,ANIMAL PRINT MINI DRESS Details,S$ 69.90,Ecru / Black,"Flowing short dress with a round neckline and long sleeves. Featuring a gathered seam detail, matching ruffle trim and button fastening at the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573331741-12637,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,T-SHIRT WITH DOTTED MESH DETAIL,https://www.zara.com/sg/en/t-shirt-with-dotted-mesh-detail-p01971804.html,T-SHIRT WITH DOTTED MESH DETAIL Details,S$ 24.90,Black,"T-shirt with a round neckline, short sleeves and dotted mesh trim on the neckline and sleeves.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
